state,overall_rank,quality_of_life,economy,infrastructure,tech_innovation,education,access_to_capital,cost_of_living,year,interest_rate, purchase_price 
Alabama,43,48,40,27,30,42,40,11,2010,4.93,236785
Alaska,50,26,41,50,41,45,40,47,2010,4.77,317043
Arizona,18,29,41,23,19,45,25,34,2010,4.98,237080
Arkansas,32,43,27,36,44,33,40,3,2010,4.78,216015
California,32,15,18,16,1,31,1,49,2010,4.95,488282
Colorado,3,2,8,36,12,29,15,35,2010,5.02,309340
Connecticut,35,9,32,40,17,8,8,45,2010,4.92,416718
Delaware,42,47,45,44,33,25,20,32,2010,4.84,325120
Florida,28,31,48,21,13,35,17,30,2010,5,246178
Georgia,10,35,37,2,17,28,13,9,2010,4.9,279100
Hawaii,48,1,22,49,43,38,31,49,2010,5.01,552877
Idaho,26,18,39,29,39,47,28,11,2010,4.94,247840
Illinois,30,24,29,12,14,26,6,17,2010,5.05,228657
Indiana,21,44,41,6,22,16,26,13,2010,5.13,169869
Iowa,6,17,10,32,29,16,36,17,2010,4.92,135879
Kansas,11,27,7,8,31,11,33,5,2010,4.8,226520
Kentucky,40,46,44,4,35,37,38,3,2010,4.94,206582
Louisiana,44,50,25,30,34,32,22,24,2010,4.9,241065
Maine,39,6,25,41,41,7,40,39,2010,4.87,230634
Maryland,27,28,18,43,8,10,12,45,2010,4.82,424150
Massachusetts,5,6,17,39,3,1,2,41,2010,4.79,368844
Michigan,41,36,47,24,7,35,18,24,2010,5.11,185880
Minnesota,8,12,5,11,16,9,19,15,2010,4.88,256935
Mississippi,45,42,35,45,46,49,40,13,2010,4.87,172185
Missouri,17,39,29,7,24,15,20,9,2010,5.11,195518
Montana,36,15,15,24,44,18,36,32,2010,4.93,263997
Nebraska,13,21,14,18,37,22,40,5,2010,5.08,183846
Nevada,47,37,49,31,37,50,40,37,2010,5.12,212800
New Hampshire,19,4,12,47,27,6,16,39,2010,4.66,237781
New Jersey,22,14,28,32,9,2,4,47,2010,4.86,408138
New Mexico,38,34,21,18,31,44,28,29,2010,4.88,230823
New York,24,18,2,22,2,2,3,43,2010,4.87,336105
North Carolina,4,32,37,10,11,26,10,23,2010,4.85,274550
North Dakota,12,13,3,20,47,18,40,17,2010,4.73,203908
Ohio,34,38,34,2,15,18,24,15,2010,4.91,210504
Oklahoma,25,41,6,41,36,40,32,1,2010,4.81,172966
Oregon,23,22,33,15,20,38,14,37,2010,4.83,319977
Pennsylvania,20,25,15,16,6,4,11,30,2010,4.96,251012
Rhode Island,49,33,49,48,28,14,23,41,2010,4.67,361070
South Carolina,31,45,46,8,26,43,34,24,2010,4.77,258740
South Dakota,7,11,4,27,49,21,40,5,2010,4.88,210544
Tennessee,16,49,36,4,23,41,35,1,2010,4.82,231333
Texas,1,29,1,1,4,30,7,8,2010,4.88,258271
Utah,8,5,23,32,25,48,39,17,2010,4.93,296608
Vermont,37,3,12,46,40,4,40,43,2010,4.68,159662
Virginia,2,18,11,12,10,13,9,27,2010,4.82,417640
Washington,15,8,18,35,5,22,5,35,2010,4.91,370350
West Virginia,46,40,24,38,48,34,40,17,2010,4.92,153309
Wisconsin,29,23,31,14,21,12,30,17,2010,4.85,237190
Wyoming,14,10,9,24,50,22,27,27,2010,4.93,284508
Alabama,41,49,39,24,33,44,35,11,2011,4.65,236400
Alaska,49,21,3,47,43,41,35,49,2011,4.63,352600
Arizona,24,35,44,10,18,49,18,36,2011,4.85,232400
Arkansas,32,45,9,40,44,31,35,4,2011,4.66,214600
California,32,22,30,7,1,36,1,48,2011,4.72,478600
Colorado,5,7,26,26,14,30,15,33,2011,4.82,290900
Connecticut,39,11,44,43,19,3,17,47,2011,4.6,459100
Delaware,36,48,22,40,32,26,35,35,2011,4.66,329300
Florida,18,31,47,8,13,35,9,25,2011,4.76,256900
Georgia,4,38,35,2,17,22,13,9,2011,4.7,282200
Hawaii,48,1,16,46,42,40,33,50,2011,4.75,483700
Idaho,31,16,38,36,39,45,35,12,2011,4.85,233100
Illinois,22,28,32,6,6,29,5,20,2011,4.79,226600
Indiana,15,40,30,21,22,12,14,15,2011,5.06,186700
Iowa,9,18,5,37,28,15,35,14,2011,4.81,209700
Kansas,11,26,16,19,30,24,28,7,2011,4.31,226300
Kentucky,35,46,36,16,36,32,34,1,2011,4.65,228700
Louisiana,42,50,28,26,34,33,35,21,2011,4.56,260900
Maine,40,6,34,48,40,9,30,39,2011,4.58,224100
Maryland,29,30,12,39,10,11,12,44,2011,4.66,426700
Massachusetts,6,10,15,29,3,4,2,41,2011,4.5,435200
Michigan,34,35,36,10,8,34,31,18,2011,4.59,216700
Minnesota,7,8,27,15,16,10,16,33,2011,4.65,238800
Mississippi,47,41,39,32,45,48,35,10,2011,4.75,177800
Missouri,16,34,29,9,23,17,22,8,2011,4.71,242000
Montana,38,15,7,34,46,28,35,30,2011,4.69,251000
Nebraska,10,12,5,31,35,20,35,6,2011,4.81,203000
Nevada,45,44,50,25,37,50,29,32,2011,4.99,193900
New Hampshire,17,2,10,45,29,7,20,40,2011,3.98,246400
New Jersey,30,16,42,23,8,2,6,46,2011,4.6,389700
New Mexico,43,24,25,30,31,39,25,29,2011,4.71,219100
New York,26,23,20,14,2,1,3,45,2011,4.59,223200
North Carolina,3,33,41,3,12,18,11,22,2011,4.62,261600
North Dakota,13,9,1,28,48,23,35,19,2011,4.44,226600
Ohio,23,42,24,4,15,13,21,13,2011,4.62,222800
Oklahoma,28,37,4,35,37,42,24,3,2011,4.72,232800
Oregon,27,20,48,16,20,37,19,38,2011,4.67,308400
Pennsylvania,12,29,19,13,7,8,7,31,2011,4.72,234400
Rhode Island,50,24,42,49,27,24,35,43,2011,4.47,377200
South Carolina,37,42,49,19,26,46,35,28,2011,4.57,271300
South Dakota,13,5,11,42,49,20,35,26,2011,4.62,204400
Tennessee,18,47,46,5,24,43,26,2,2011,4.62,241200
Texas,2,32,14,1,4,27,4,5,2011,4.68,280300
Utah,8,14,16,33,25,46,23,17,2011,4.69,261100
Vermont,44,3,21,49,40,4,32,42,2011,4.57,158900
Virginia,1,26,8,10,11,6,10,24,2011,4.63,403300
Washington,20,13,32,18,5,14,8,37,2011,4.57,367400
West Virginia,46,38,13,44,47,38,35,16,2011,4.79,136600
Wisconsin,25,19,22,22,21,15,27,23,2011,4.69,244200
Wyoming,21,4,2,38,50,18,35,27,2011,4.81,292100
Alabama,38,47,6,29,35,43,41,13,2012,3.8,240384
Alaska,47,26,4,37,50,32,48,49,2012,3.73,337464
Arizona,22,32,44,9,21,49,22,34,2012,3.92,255867
Arkansas,20,43,20,31,41,28,40,5,2012,3.77,218440
California,40,20,43,30,3,33,1,46,2012,3.85,532353
Colorado,8,8,33,23,8,27,4,33,2012,3.81,347518
Connecticut,44,12,40,43,18,2,15,48,2012,3.67,515789
Delaware,43,49,19,27,40,31,30,37,2012,3.67,334900
Florida,29,30,47,11,11,42,24,25,2012,3.83,290872
Georgia,9,36,30,3,17,34,20,16,2012,3.78,304116
Hawaii,49,2,41,49,45,39,39,50,2012,3.85,513475
Idaho,13,22,23,23,38,48,32,9,2012,3.91,254013
Illinois,26,31,45,16,4,17,11,18,2012,3.83,313466
Indiana,14,40,11,18,23,25,37,7,2012,3.83,220141
Iowa,12,19,3,31,28,30,28,19,2012,3.7,207721
Kansas,15,24,14,6,30,21,25,10,2012,3.56,226245
Kentucky,36,45,38,22,31,35,45,4,2012,3.79,247788
Louisiana,42,50,36,40,28,35,43,17,2012,3.69,328798
Maine,35,4,42,42,35,6,46,39,2012,3.7,262831
Maryland,31,29,24,43,10,9,7,43,2012,3.74,421786
Massachusetts,28,11,21,45,7,3,1,41,2012,3.69,511105
Michigan,33,34,28,25,12,38,21,12,2012,3.63,253709
Minnesota,11,5,16,2,18,11,15,35,2012,3.78,257973
Mississippi,46,41,48,34,42,44,48,8,2012,3.74,200774
Missouri,27,37,29,20,21,20,37,14,2012,3.78,207962
Montana,24,18,18,14,39,16,42,31,2012,3.74,263437
Nebraska,6,13,9,19,34,18,32,11,2012,3.88,197813
Nevada,45,46,50,5,44,50,34,22,2012,4.15,254345
New Hampshire,19,1,34,46,26,8,19,40,2012,3.77,296211
New Jersey,41,20,39,41,13,4,11,45,2012,3.68,446966
New Mexico,36,24,15,13,32,46,26,29,2012,3.83,274989
New York,34,28,22,39,1,1,5,47,2012,3.71,446958
North Carolina,4,26,31,11,9,13,18,21,2012,3.74,299248
North Dakota,5,5,2,15,47,19,43,28,2012,3.83,228949
Ohio,25,44,31,10,16,23,17,15,2012,3.74,231033
Oklahoma,23,37,17,37,32,37,35,1,2012,3.79,227601
Oregon,18,17,37,16,15,40,13,38,2012,3.77,327960
Pennsylvania,30,33,26,35,5,7,6,32,2012,3.76,291704
Rhode Island,50,23,49,50,37,23,10,44,2012,3.88,403930
South Carolina,32,41,25,21,26,46,30,24,2012,3.74,296130
South Dakota,7,7,12,27,46,22,48,30,2012,3.75,218004
Tennessee,16,48,12,4,25,41,29,2,2012,3.73,278154
Texas,1,35,5,1,2,26,8,3,2012,3.75,323870
Utah,2,10,7,8,24,45,13,6,2012,3.71,328273
Vermont,39,3,27,48,43,4,23,42,2012,3.64,319257
Virginia,3,16,10,33,14,13,9,20,2012,3.77,403847
Washington,21,15,45,36,5,13,3,36,2012,3.73,399973
West Virginia,48,39,7,47,49,29,46,26,2012,3.9,206716
Wisconsin,17,14,34,6,20,10,27,23,2012,3.76,238527
Wyoming,10,9,1,26,48,11,35,27,2012,3.63,310889
Alabama,33,27,25,45,34,37,13,39,2013,4.07,233200
Alaska,44,38,36,35,50,10,49,39,2013,3.94,345270
Arizona,20,10,2,29,19,16,35,33,2013,4.04,277120
Arkansas,24,34,7,40,38,43,7,37,2013,4.08,194970
California,47,34,34,27,2,48,45,1,2013,4.01,585830
Colorado,7,23,10,15,8,17,32,11,2013,4.03,358807
Connecticut,45,49,37,17,21,26,48,19,2013,3.84,456366
Delaware,31,39,30,34,39,1,37,14,2013,4.03,338866
Florida,30,29,4,28,11,35,29,27,2013,4.01,303172
Georgia,8,18,1,32,17,14,14,5,2013,3.96,315477
Hawaii,50,50,45,1,45,40,50,39,2013,3.97,551202
Idaho,10,20,14,16,37,5,3,39,2013,4.01,249863
Illinois,37,5,29,30,5,36,23,25,2013,4.03,307317
Indiana,18,5,27,39,24,10,6,25,2013,4.18,207334
Iowa,11,28,40,14,30,9,16,31,2013,3.99,216471
Kansas,14,4,17,24,29,12,7,35,2013,3.87,225579
Kentucky,36,14,31,38,31,37,3,39,2013,4.02,233561
Louisiana,43,41,22,50,28,39,20,35,2013,3.95,280588
Maine,38,44,43,5,32,27,39,33,2013,3.84,266075
Maryland,40,46,20,25,9,45,42,9,2013,4.01,432647
Massachusetts,16,40,28,13,7,21,43,1,2013,3.81,509249
Michigan,29,25,15,43,12,32,18,23,2013,3.82,246605
Minnesota,15,8,32,3,18,15,34,17,2013,4.04,279160
Mississippi,41,36,18,37,44,49,10,39,2013,4.15,173318
Missouri,26,5,48,47,22,29,11,23,2013,3.93,236553
Montana,19,12,34,12,40,43,30,39,2013,4,290968
Nebraska,4,16,23,4,36,3,5,39,2013,4.02,201420
Nevada,46,30,13,47,42,22,17,39,2013,4.19,304372
New Hampshire,27,45,33,9,27,13,40,15,2013,3.89,287075
New Jersey,42,43,21,23,15,41,46,9,2013,3.86,446637
New Mexico,33,23,38,26,32,47,25,29,2013,3.97,269067
New York,35,42,45,22,1,30,47,3,2013,3.88,464337
North Carolina,12,31,3,30,10,18,20,15,2013,3.93,295550
North Dakota,3,2,8,5,46,6,30,29,2013,4.06,243604
Ohio,28,11,47,44,16,33,14,17,2013,4.08,233733
Oklahoma,25,25,25,45,35,28,1,37,2013,3.98,229936
Oregon,17,13,39,8,14,25,38,11,2013,4.01,348003
Pennsylvania,39,33,44,33,5,41,33,5,2013,4.03,295725
Rhode Island,49,47,42,20,42,46,44,21,2013,3.89,331014
South Carolina,23,15,9,41,26,34,19,19,2013,3.97,296462
