state,year,pop_estimate,pop_change,births,deaths,international_mig,domestic_mig,net_mig,natural_inc,r_birth,r_death,r_natural_inc,r_international_mig,r_domestic_mig,r_net_mig
Alabama,2010,4785448,5310,14227,11073,928,1238,2166,3154,0,0,0,0,0,0
Alabama,2011,4798834,13386,59689,48818,4716,-2239,2477,10871,12.45560179,10.18709591,2.268505872,0.984111277,-0.467223314,0.516887963
Alabama,2012,4815564,16730,59070,48364,5874,59,5933,10706,12.28782083,10.06074431,2.227076516,1.221917379,0.012273259,1.234190638
Alabama,2013,4830460,14896,57936,50847,5111,2641,7752,7089,12.0124105,10.5425821,1.469828398,1.059711234,0.547583129,1.607294363
Alabama,2014,4842481,12021,58907,49692,3753,-755,2998,9215,12.17974968,10.27443463,1.905315043,0.775979095,-0.156105573,0.619873521
Alabama,2015,4853160,10679,59637,51820,4685,-1553,3132,7817,12.30181687,10.68933967,1.612477195,0.96641367,-0.320350145,0.646063525
Alabama,2016,4864745,11585,59388,51662,5950,-1977,3973,7726,12.22238744,10.63233279,1.590054647,1.224543767,-0.40687782,0.817665948
Alabama,2017,4875120,10375,58259,53033,3190,2065,5255,5226,11.96299949,10.889884,1.07311549,0.65503988,0.424030518,1.079070398
Alabama,2018,4887871,12751,57216,53425,3344,5718,9062,3791,11.72099821,10.94439194,0.776606268,0.685035969,1.171362342,1.856398311
Alaska,2010,713906,3657,2893,924,433,1162,1595,1969,0,0,0,0,0,0
Alaska,2011,722038,8132,11702,3936,1320,-979,341,7766,16.29868574,5.482107937,10.81657781,1.838511808,-1.363562924,0.474948884
Alaska,2012,730399,8361,11123,3935,2361,-1274,1087,7188,15.31632697,5.418479425,9.897847549,3.251087655,-1.754292957,1.496794698
Alaska,2013,737045,6646,11342,4046,2881,-3544,-663,7296,15.45817081,5.514350122,9.943820684,3.926555289,-4.830167284,-0.903611995
Alaska,2014,736307,-738,11446,4035,1213,-9593,-8380,7411,15.53735971,5.47730617,10.06005354,1.646585473,-13.02200696,-11.37542149
Alaska,2015,737547,1240,11335,4354,2306,-8178,-5872,6981,15.38144212,5.908319277,9.473122847,3.129210899,-11.0974357,-7.968224804
Alaska,2016,741504,3957,11247,4441,2282,-5175,-2893,6806,15.20840052,6.005201984,9.203198537,3.085762425,-6.997730301,-3.911967877
Alaska,2017,739786,-1718,10981,4586,2595,-10746,-8151,6395,14.8262663,6.191900303,8.634365992,3.503702854,-14.50897529,-11.00527243
Alaska,2018,737438,-2348,10693,4738,2401,-10752,-8351,5955,14.47715445,6.414734665,8.062419782,3.250691838,-14.557034,-11.30634217
Arizona,2010,6407774,15486,20942,11484,2709,3496,6205,9458,0,0,0,0,0,0
Arizona,2011,6473497,65723,86103,48157,17126,10583,27709,37946,13.36871183,7.477057194,5.891654636,2.659054374,1.643160834,4.302215208
Arizona,2012,6556629,83132,85580,48746,15779,30078,45857,36834,13.13571335,7.482045838,5.653667509,2.421925928,4.616685978,7.038611906
Arizona,2013,6634999,78370,86100,50590,18681,23960,42641,35510,13.05373378,7.670016165,5.383717612,2.832250879,3.632606984,6.464857863
Arizona,2014,6733840,98841,86124,50236,22020,40464,62484,35888,12.8842901,7.515387088,5.368903014,3.294227719,6.053480037,9.347707755
Arizona,2015,6833596,99756,86765,52850,20235,45315,65550,33915,12.79018379,7.790712998,4.999470792,2.982877531,6.679965175,9.662842707
Arizona,2016,6945452,111856,84965,56023,20865,61949,82814,28942,12.33249206,8.131621285,4.200870771,3.028511113,8.991767791,12.02027891
Arizona,2017,7048876,103424,83743,57680,14248,62930,77178,26063,11.96813452,8.24333973,3.724794788,2.036253545,8.993643711,11.02989726
Arizona,2018,7171646,122770,83550,58806,14335,83240,97575,24744,11.7506235,8.270582472,3.480041028,2.016100394,11.70702454,13.72312493
Arkansas,2010,2921978,5950,9438,6967,811,2459,3270,2471,0,0,0,0,0,0
Arkansas,2011,2940407,18429,38442,29463,3717,5504,9221,8979,13.11479884,10.05154046,3.063258384,1.268084577,1.877734062,3.145818639
Arkansas,2012,2952109,11702,38596,29775,3799,-1099,2700,8821,13.10000686,10.10603959,2.993967263,1.289432222,-0.373015534,0.916416689
Arkansas,2013,2959549,7440,37977,30939,2384,-2046,338,7038,12.84817221,10.4671143,2.381057903,0.806541921,-0.692191598,0.114350323
Arkansas,2014,2967726,8177,38230,29942,3188,-3305,-117,8288,12.89968831,10.10312496,2.796563345,1.075705109,-1.115183621,-0.039478512
Arkansas,2015,2978407,10681,38779,31331,3398,-146,3252,7448,13.04343512,10.53827757,2.505157554,1.142927681,-0.049107546,1.093820135
Arkansas,2016,2990410,12003,38604,31142,3516,1065,4581,7462,12.93522653,10.43489857,2.500327954,1.178122901,0.356854633,1.534977534
