state,year,interest_rate, purchase_price ,,,,,,
Alabama,2010,4.93," 236,785 ",,,,,,
Alaska,2010,4.77," 317,043 ",,,,,,
Arizona,2010,4.98," 237,080 ",,,,,,
Arkansas,2010,4.78," 216,015 ",,,,,,
California,2010,4.95," 488,282 ",,,,,,
Colorado,2010,5.02," 309,340 ",,,,,,
Connecticut,2010,4.92," 416,718 ",,,,,,
Delaware,2010,4.84," 325,120 ",,,,,,
District of Columbia,2010,4.93," 607,007 ",,,,,,
Florida,2010,5.00," 246,178 ",,,,,,
Georgia,2010,4.90," 279,100 ",,,,,,
Hawaii,2010,5.01," 552,877 ",,,,,,
Idaho,2010,4.94," 247,840 ",,,,,,
Illinois,2010,5.05," 228,657 ",,,,,,
Indiana,2010,5.13," 169,869 ",,,,,,
Iowa,2010,4.92," 135,879 ",,,,,,
Kansas,2010,4.80," 226,520 ",,,,,,
Kentucky,2010,4.94," 206,582 ",,,,,,
Louisiana,2010,4.90," 241,065 ",,,,,,
Maine,2010,4.87," 230,634 ",,,,,,
Maryland,2010,4.82," 424,150 ",,,,,,
Massachusetts,2010,4.79," 368,844 ",,,,,,
Michigan,2010,5.11," 185,880 ",,,,,,
Minnesota,2010,4.88," 256,935 ",,,,,,
Mississippi,2010,4.87," 172,185 ",,,,,,
Missouri,2010,5.11," 195,518 ",,,,,,
Montana,2010,4.93," 263,997 ",,,,,,
Nebraska,2010,5.08," 183,846 ",,,,,,
Nevada,2010,5.12," 212,800 ",,,,,,
New Hampshire,2010,4.66," 237,781 ",,,,,,
New Jersey,2010,4.86," 408,138 ",,,,,,
New Mexico,2010,4.88," 230,823 ",,,,,,
New York,2010,4.87," 336,105 ",,,,,,
North Carolina,2010,4.85," 274,550 ",,,,,,
North Dakota,2010,4.73," 203,908 ",,,,,,
Ohio,2010,4.91," 210,504 ",,,,,,
Oklahoma,2010,4.81," 172,966 ",,,,,,
Oregon,2010,4.83," 319,977 ",,,,,,
