Month,StateID,State,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Median List Price Per Sqft,Median List Price Per Sqft M/M,Median List Price Per Sqft Y/Y,Median Listing Sqft,Median Listing Sqft M/M,Median Listing Sqft Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y
2019-04-01,AK,Alaska,295700,0.0200,0.0375,3072,0.0847,-0.0065,64,-0.1899,-0.0448,1096,0.1417,0.1004,46,0.0455,0.1500,750,0.3112,-0.0672,0,,,168,-0.0068,0.0139,1755,0.0229,0.0041,328600,0.0034,0.0083
2019-04-01,AL,Alabama,229900,0.0222,0.0953,26217,0.0403,-0.0498,74,-0.0864,0.0137,7330,0.0266,-0.0631,552,0.1220,0.1405,4448,0.1312,-0.0710,177,-0.0056,2.9333,108,0.0172,0.0705,2000,0.0070,0.0116,302400,0.0261,0.0925
2019-04-01,AR,Arkansas,185000,0.0165,0.0335,16528,0.0192,-0.0101,79,-0.1023,0.0128,4490,0.1136,-0.0031,168,0.4483,0.1667,2790,0.2478,0.1019,1781,0.1929,0.0028,99,0.0051,0.0296,1959,0.0098,0.0177,252000,0.0194,0.0396
2019-04-01,AZ,Arizona,338900,0.0270,0.0431,32983,0.0141,0.0348,51,-0.0192,0.0200,12826,0.0604,-0.0005,1072,0.0806,-0.1928,11452,-0.0554,0.1796,12190,0.1642,2.2020,170,0.0069,0.0552,2053,0.0081,-0.0099,520100,0.0138,0.0283
2019-04-01,CA,California,559900,0.0182,0.0465,91889,0.0505,0.1600,42,-0.0870,0.1053,48712,0.2059,0.0431,1628,0.0278,-0.1171,19326,0.0988,0.2207,30805,0.1506,0.4379,316,0.0130,0.0709,1830,0.0167,-0.0151,1001600,0.0015,0.0065
2019-04-01,CO,Colorado,450000,0.0002,0.0230,32663,0.1033,0.1273,45,-0.1346,0.0465,14526,0.2733,0.0847,828,0.1250,0.1129,5798,0.1708,0.3509,3510,0.1459,0.1681,194,0.0039,0.0641,2342,0.0097,-0.0229,763500,-0.0249,-0.0017
2019-04-01,CT,Connecticut,364900,0.0164,0.0139,23313,0.1212,0.0645,63,-0.1600,0.0678,7362,0.2512,0.0265,130,0.1607,-0.0972,4108,0.2710,0.0311,39,0.1818,0.2188,185,0.0071,0.0165,1960,0.0093,0.0026,747200,-0.0015,0.0024
2019-04-01,DC,District of Columbia,625000,0.0248,0.0434,1755,0.0928,0.0011,33,-0.1081,0.1379,1258,0.2785,0.1232,22,-0.2143,-0.3889,398,0.1307,0.0699,3,2.0000,0.0000,493,0.0075,-0.1118,1443,0.0141,0.3000,927600,0.0181,0.0271
2019-04-01,DE,Delaware,309900,0.0167,0.0595,5342,0.0574,-0.0537,78,-0.2427,-0.0250,1464,-0.0368,-0.1757,246,0.1827,0.0082,1024,0.3264,-0.0078,0,,,151,0.0034,0.0426,2008,0.0040,0.0431,403300,0.0177,0.0891
2019-04-01,FL,Florida,325000,0.0018,0.0062,171779,-0.0175,0.1051,77,-0.0253,0.0548,45438,-0.0541,0.0477,3838,-0.1205,-0.1285,42768,-0.0843,0.1738,50749,0.0976,-0.0128,180,0.0056,0.0253,1760,0.0026,-0.0181,622700,0.0089,0.0097
