,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
0,2019-04-01,Alaska,295700,0.02,0.1417,0.0455,-0.1899
51,2019-03-01,Alaska,289900,0.0172,0.2435,0.375,-0.3009
102,2019-02-01,Alaska,285000,0.0179,0.3265,-0.1111,-0.0583
153,2019-01-01,Alaska,280000,0.0004,0.5,0.8,0.0526
204,2018-12-01,Alaska,279900,-0.011,-0.2538,0.0,0.1287
255,2018-11-01,Alaska,283000,0.0143,-0.2992,-0.2857,0.1477
306,2018-10-01,Alaska,279000,-0.0036,-0.0237,-0.5,0.1
357,2018-09-01,Alaska,280000,-0.0158,-0.2963,0.12,0.1429
408,2018-08-01,Alaska,284500,-0.0018,-0.0722,0.25,0.0938
459,2018-07-01,Alaska,285000,-0.0149,-0.0791,-0.0909,0.0667
510,2018-06-01,Alaska,289300,-0.0024,-0.0063,-0.0435,-0.0164
561,2018-05-01,Alaska,290000,0.0175,0.2771,0.15,-0.0896
612,2018-04-01,Alaska,285000,0.0304,-0.0197,-0.1304,-0.1299
663,2018-03-01,Alaska,276600,0.0263,0.3161,0.0455,-0.2804
714,2018-02-01,Alaska,269500,-0.0007,0.1029,0.8333,-0.036
765,2018-01-01,Alaska,269700,0.0026,0.5487,-0.1429,0.0183
816,2017-12-01,Alaska,269000,-0.0037,-0.2339,0.0769,0.1848
867,2017-11-01,Alaska,270000,-0.0178,-0.1619,-0.1875,0.122
918,2017-10-01,Alaska,274950,-0.0004,-0.209,0.1429,0.1233
969,2017-09-01,Alaska,275050,-0.0159,-0.238,0.1667,0.1061
1020,2017-08-01,Alaska,279500,-0.0016,0.0104,-0.5,0.1186
1071,2017-07-01,Alaska,279950,-0.0048,-0.0796,0.5,0.0926
1122,2017-06-01,Alaska,281300,0.0011,0.0572,-0.1111,-0.027
1173,2017-05-01,Alaska,281000,0.007,0.1379,-0.1,-0.075
1224,2017-04-01,Alaska,279050,0.0145,0.2458,0.8182,-0.2683
1275,2017-03-01,Alaska,275050,0.0125,0.2972,-0.1538,-0.239
1326,2017-02-01,Alaska,271662,0.0099,0.1138,0.3,-0.0379
1377,2017-01-01,Alaska,269000,-0.0255,0.4356,-0.0909,0.0228
1428,2016-12-01,Alaska,276052,-0.0137,-0.2406,-0.0833,0.1347
1479,2016-11-01,Alaska,279875,-0.0006,-0.1419,-0.4,0.1092
1530,2016-10-01,Alaska,280050,-0.0175,-0.1667,0.3333,0.0675
1581,2016-09-01,Alaska,285050,-0.0083,-0.1788,-0.4,0.0654
1632,2016-08-01,Alaska,287450,-0.0082,-0.1255,-0.0385,0.1087
1683,2016-07-01,Alaska,289827,-0.0008,-0.075,0.1304,0.1174
1734,2016-06-01,Alaska,290050,0.0003,-0.0378,-0.0417,0.0466
1785,2016-05-01,Alaska,289950,0.0,-0.0658,0.2,0.0351
1836,2016-04-01,Alaska,289950,0.0129,0.1777,-0.2857,-0.1618
1887,2016-03-01,Alaska,286250,0.0245,0.2656,0.5556,-0.32
1938,2016-02-01,Alaska,279400,0.0158,0.2222,0.5,-0.0991
1989,2016-01-01,Alaska,275050,0.0206,0.4934,1.0,0.0326
2040,2015-12-01,Alaska,269500,-0.0202,-0.1642,0.0,0.1198
2091,2015-11-01,Alaska,275050,0.0,-0.2238,-0.6842,0.1163
2142,2015-10-01,Alaska,275050,0.0009,-0.1131,0.0556,0.1097
2193,2015-09-01,Alaska,274800,0.018,-0.2918,-0.25,0.1397
2244,2015-08-01,Alaska,269950,0.0033,-0.1843,-0.1724,0.0968
2295,2015-07-01,Alaska,269050,0.0075,0.0058,0.1154,0.0081
2346,2015-06-01,Alaska,267050,-0.0074,0.1571,0.0833,-0.0081
2397,2015-05-01,Alaska,269050,0.002,0.0225,-0.1111,-0.0388
2448,2015-04-01,Alaska,268525,0.0326,0.1721,0.0385,-0.2586
2499,2015-03-01,Alaska,260050,0.04,0.2634,0.1304,-0.2232
2550,2015-02-01,Alaska,250050,0.0004,0.0683,0.5333,-0.0366
2601,2015-01-01,Alaska,249950,0.0,0.5124,0.1538,0.0449
2652,2014-12-01,Alaska,249950,-0.0004,-0.2342,-0.1875,0.1469
2703,2014-11-01,Alaska,250050,-0.0115,-0.2293,-0.3333,0.1086
2754,2014-10-01,Alaska,252950,0.0116,-0.1441,-0.1111,0.0802
2805,2014-09-01,Alaska,250050,0.0,-0.1881,0.125,0.125
2856,2014-08-01,Alaska,250050,-0.0194,-0.056,-0.04,0.0706
2907,2014-07-01,Alaska,255000,-0.0037,-0.0142,0.25,0.0508
2958,2014-06-01,Alaska,255950,0.0,-0.0016,-0.1304,-0.0154
