,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
1,2019-04-01,Alabama,229900,0.0222,0.0266,0.122,-0.0864
52,2019-03-01,Alabama,224900,0.0422,0.0805,0.0424,-0.19
103,2019-02-01,Alabama,215800,0.0146,0.0794,-0.0672,-0.0654
154,2019-01-01,Alabama,212700,0.0085,0.4304,0.2048,0.049
205,2018-12-01,Alabama,210900,-0.0052,-0.1565,0.0145,0.0851
256,2018-11-01,Alabama,212000,0.0,-0.0988,-0.1229,0.0682
307,2018-10-01,Alabama,212000,-0.0135,-0.0837,-0.1324,0.0602
358,2018-09-01,Alabama,214900,0.0,-0.075,0.1674,0.0506
409,2018-08-01,Alabama,214900,0.0,-0.0936,-0.1241,0.0676
460,2018-07-01,Alabama,214900,-0.0005,-0.0041,-0.3955,0.0278
511,2018-06-01,Alabama,215000,0.0165,-0.0303,0.2865,0.0588
562,2018-05-01,Alabama,211500,0.0076,-0.0302,0.4132,-0.0685
613,2018-04-01,Alabama,209900,0.05,-0.0056,-0.2244,-0.1889
664,2018-03-01,Alabama,199900,0.0071,0.1691,-0.1635,-0.1346
715,2018-02-01,Alabama,198500,0.0179,0.2018,0.3866,-0.0459
766,2018-01-01,Alabama,195000,0.0,0.2915,0.6012,0.0283
817,2017-12-01,Alabama,195000,-0.0046,-0.1923,-0.3801,0.1042
868,2017-11-01,Alabama,195900,-0.0106,-0.0796,0.0927,0.0435
919,2017-10-01,Alabama,198050,-0.005,0.0062,0.1324,0.0279
970,2017-09-01,Alabama,199050,-0.0013,-0.1466,-0.0395,0.0287
1021,2017-08-01,Alabama,199300,-0.0033,-0.0358,-0.1493,0.0357
1072,2017-07-01,Alabama,199950,0.0,0.0165,-0.0111,0.0307
1123,2017-06-01,Alabama,199950,0.0048,-0.0695,0.0188,0.0188
1174,2017-05-01,Alabama,199000,0.0171,-0.009,-0.0699,0.0
1225,2017-04-01,Alabama,195650,0.0311,0.0043,-0.0684,-0.1579
1276,2017-03-01,Alabama,189750,0.0257,0.0491,-0.2128,-0.1364
1327,2017-02-01,Alabama,185000,0.0263,0.2002,0.5,-0.0517
1378,2017-01-01,Alabama,180260,-0.0044,0.3375,-0.0076,0.0545
1429,2016-12-01,Alabama,181050,-0.0211,-0.0525,0.3575,0.0377
1480,2016-11-01,Alabama,184950,-0.0005,-0.1643,-0.3058,0.06
1531,2016-10-01,Alabama,185050,-0.0128,-0.1453,0.3365,0.0309
1582,2016-09-01,Alabama,187450,-0.0085,0.0353,-0.0502,0.0319
1633,2016-08-01,Alabama,189050,-0.0039,-0.1211,0.2733,0.0562
1684,2016-07-01,Alabama,189785,-0.0009,-0.0041,-0.3922,0.0289
1735,2016-06-01,Alabama,189950,0.0048,-0.0974,0.0969,0.0176
1786,2016-05-01,Alabama,189050,0.0222,0.0585,-0.0515,-0.0341
1837,2016-04-01,Alabama,184950,0.0278,-0.0655,-0.0145,-0.1737
1888,2016-03-01,Alabama,179950,0.0283,0.2063,0.122,-0.0897
1939,2016-02-01,Alabama,175000,0.0066,-0.0077,0.0165,-0.041
1990,2016-01-01,Alabama,173845,-0.0029,0.5053,0.5031,0.0427
2041,2015-12-01,Alabama,174350,-0.0034,-0.1721,-0.0852,0.0734
2092,2015-11-01,Alabama,174950,0.0,-0.072,-0.1852,0.0481
2143,2015-10-01,Alabama,174950,0.0,-0.0406,0.0237,0.0246
2194,2015-09-01,Alabama,174950,0.0,-0.15,0.0765,0.0464
2245,2015-08-01,Alabama,174950,-0.0006,-0.1766,-0.2097,0.0601
2296,2015-07-01,Alabama,175050,-0.0057,-0.0142,0.0877,0.0281
2347,2015-06-01,Alabama,176050,-0.0084,0.0123,0.1875,-0.0111
2398,2015-05-01,Alabama,177550,0.0146,-0.051,-0.2587,-0.0323
2449,2015-04-01,Alabama,175000,0.0297,0.0714,0.3351,-0.1913
2500,2015-03-01,Alabama,169950,0.0129,0.0557,0.0211,-0.0456
2551,2015-02-01,Alabama,167779,0.0168,-0.0039,-0.1403,-0.0321
2602,2015-01-01,Alabama,165000,-0.0003,0.5432,0.2346,0.0205
2653,2014-12-01,Alabama,165050,-0.0237,-0.1669,-0.0677,0.0702
2704,2014-11-01,Alabama,169050,-0.0053,-0.0325,-0.04,0.0459
2755,2014-10-01,Alabama,169950,0.0,0.1436,0.2579,0.0381
2806,2014-09-01,Alabama,169950,0.0,-0.065,-0.343,0.0194
2857,2014-08-01,Alabama,169950,0.0,-0.0656,0.3297,0.0249
2908,2014-07-01,Alabama,169950,0.0,-0.0357,-0.0421,0.0469
2959,2014-06-01,Alabama,169950,0.0056,-0.0845,-0.0995,-0.0634
3011,2014-05-01,Alabama,169000,0.0153,-0.1293,-0.0186,-0.0766
3063,2014-04-01,Alabama,166450,0.0134,0.003,0.0238,-0.1527
3115,2014-03-01,Alabama,164250,0.0269,0.227,0.2139,-0.0332
3166,2014-02-01,Alabama,159950,0.0,-0.0136,-0.2851,0.0188
3217,2014-01-01,Alabama,159950,0.0,0.4078,1.0167,0.064
3269,2013-12-01,Alabama,159950,0.0,-0.227,-0.3684,0.0684
3321,2013-11-01,Alabama,159950,0.0,-0.0813,-0.3493,0.0541
3373,2013-10-01,Alabama,159950,-0.013,-0.0368,0.5699,0.0374
3425,2013-09-01,Alabama,162050,-0.0152,-0.1186,-0.2218,0.0338
3477,2013-08-01,Alabama,164550,-0.0024,0.0149,0.0766,0.0147
3529,2013-07-01,Alabama,164950,-0.0006,-0.0849,-0.0902,0.0099
3580,2013-06-01,Alabama,165050,0.0006,0.0505,-0.0687,0.01
3631,2013-05-01,Alabama,164950,0.0,-0.0061,-0.3921,0.0
3682,2013-04-01,Alabama,164950,0.0313,0.0111,0.314,-0.1525
3733,2013-03-01,Alabama,159950,0.0,0.0232,-0.3846,-0.056
3784,2013-02-01,Alabama,159950,0.0002,0.0389,0.9888,-0.0234
3835,2013-01-01,Alabama,159922,-0.0002,0.3909,0.34,0.024
3886,2012-12-01,Alabama,159950,0.0,-0.1441,0.1628,0.0373
3937,2012-11-01,Alabama,159950,0.0,-0.0284,-0.3835,0.0299
3988,2012-10-01,Alabama,159950,-0.0017,0.0091,0.4381,0.0174
4039,2012-09-01,Alabama,160230,-0.014,-0.1177,-0.03,0.036
4090,2012-08-01,Alabama,162500,-0.0088,-0.0368,-0.0385,0.0278
4141,2012-07-01,Alabama,163950,-0.0061,-0.0142,-0.1111,0.0189
4192,2012-06-01,Alabama,164950,0.0027,-0.0514,0.0685,0.0242
4243,2012-05-01,Alabama,164500,-0.0027,-0.0729,-0.1344,-0.019
