,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
2,2019-04-01,Arkansas,185000,0.0165,0.1136,0.4483,-0.1023
53,2019-03-01,Arkansas,182000,0.0139,0.0451,0.0741,-0.1111
104,2019-02-01,Arkansas,179500,0.0067,0.0244,-0.194,-0.0294
155,2019-01-01,Arkansas,178300,-0.0067,0.3279,0.5952,0.0515
206,2018-12-01,Arkansas,179500,-0.0022,-0.1483,-0.1064,0.0899
257,2018-11-01,Arkansas,179900,-0.0072,-0.0847,-0.2034,0.023
308,2018-10-01,Arkansas,181200,-0.0017,-0.0496,0.0172,0.0482
359,2018-09-01,Arkansas,181500,0.0083,-0.065,-0.0938,0.0641
410,2018-08-01,Arkansas,180000,-0.0137,-0.1077,-0.2381,0.04
461,2018-07-01,Arkansas,182500,0.0145,0.0547,0.3333,0.0
512,2018-06-01,Arkansas,179900,0.0,-0.0548,-0.1486,0.0
563,2018-05-01,Arkansas,179900,0.005,0.0218,0.0278,-0.0385
614,2018-04-01,Arkansas,179000,0.0229,0.0359,-0.0526,-0.1522
665,2018-03-01,Arkansas,175000,0.0294,0.127,0.027,-0.1068
716,2018-02-01,Arkansas,170000,0.0006,0.1537,-0.1395,-0.0374
767,2018-01-01,Arkansas,169900,0.0,0.1791,0.9545,0.049
818,2017-12-01,Arkansas,169900,0.0,-0.1338,-0.2542,0.0737
869,2017-11-01,Arkansas,169900,0.0,-0.1208,-0.2027,0.0556
920,2017-10-01,Arkansas,169950,0.0,-0.0292,0.2982,0.0286
971,2017-09-01,Arkansas,169950,0.0,-0.0961,-0.1972,0.0417
1022,2017-08-01,Arkansas,169950,0.0,-0.0139,-0.1125,0.012
1073,2017-07-01,Arkansas,169950,0.0,0.0061,0.25,-0.0349
1124,2017-06-01,Arkansas,169950,0.0008,-0.056,0.2075,0.0058
1175,2017-05-01,Arkansas,169812,0.0233,0.0471,-0.3837,0.0059
1226,2017-04-01,Arkansas,165950,0.0088,0.0389,0.2113,-0.1237
1277,2017-03-01,Arkansas,164500,0.0284,-0.0352,-0.2526,-0.0935
1328,2017-02-01,Arkansas,159950,0.0025,0.2075,0.5323,-0.0273
1379,2017-01-01,Arkansas,159550,0.0016,0.2512,-0.0606,0.028
1430,2016-12-01,Arkansas,159300,-0.0041,-0.1927,0.4043,0.0542
1481,2016-11-01,Arkansas,159950,0.0,-0.0232,-0.2167,0.0464
1532,2016-10-01,Arkansas,159950,-0.0003,-0.0543,0.3953,0.0157
1583,2016-09-01,Arkansas,160000,0.0,-0.0047,-0.4416,0.038
1634,2016-08-01,Arkansas,160000,-0.016,-0.0979,0.3276,0.0455
1685,2016-07-01,Arkansas,162600,0.0003,-0.0157,-0.3095,0.0086
1736,2016-06-01,Arkansas,162550,0.0156,-0.0516,0.1667,0.0029
1787,2016-05-01,Arkansas,160050,0.0019,0.0353,-0.1529,-0.0169
1838,2016-04-01,Arkansas,159750,0.024,-0.0152,0.4407,-0.1366
1889,2016-03-01,Arkansas,156000,0.0081,0.0931,-0.3371,-0.0889
1940,2016-02-01,Arkansas,154750,0.032,0.1098,1.0227,-0.0217
1991,2016-01-01,Arkansas,149950,0.0,0.3125,-0.2,0.0455
2042,2015-12-01,Arkansas,149950,-0.0007,-0.2054,0.1,0.0784
2093,2015-11-01,Arkansas,150050,-0.0406,-0.0936,-0.1071,0.0355
2144,2015-10-01,Arkansas,156400,0.0094,-0.0041,-0.2329,0.0479
2195,2015-09-01,Arkansas,154950,-0.0064,-0.0801,-0.0875,0.0444
2246,2015-08-01,Arkansas,155950,0.0026,-0.1764,0.0811,0.0227
2297,2015-07-01,Arkansas,155550,0.0052,-0.0547,-0.119,-0.0056
2348,2015-06-01,Arkansas,154750,-0.0019,0.2414,0.0,-0.0484
2399,2015-05-01,Arkansas,155050,0.0101,-0.1709,0.12,-0.0159
2450,2015-04-01,Arkansas,153500,0.023,0.2283,0.2931,-0.1853
2501,2015-03-01,Arkansas,150047,0.0006,-0.0711,-0.0938,-0.0085
2552,2015-02-01,Arkansas,149950,0.0027,0.0341,0.1228,-0.0209
2603,2015-01-01,Arkansas,149550,-0.0027,0.415,-0.0172,0.0302
2654,2014-12-01,Arkansas,149950,0.0,-0.1507,-0.1212,0.0841
2705,2014-11-01,Arkansas,149950,0.0,-0.1112,0.2222,0.0388
2756,2014-10-01,Arkansas,149950,0.0,0.0048,-0.2394,0.0049
2807,2014-09-01,Arkansas,149950,-0.0007,-0.1005,-0.1932,0.0149
2858,2014-08-01,Arkansas,150050,0.0005,-0.0242,0.1139,0.0466
2909,2014-07-01,Arkansas,149975,0.0002,-0.067,0.0676,0.0266
2960,2014-06-01,Arkansas,149950,0.0027,0.0051,-0.0513,-0.0208
3012,2014-05-01,Arkansas,149550,0.005,-0.0004,0.0,-0.0588
3064,2014-04-01,Arkansas,148800,0.0259,0.129,0.2581,-0.1774
3116,2014-03-01,Arkansas,145050,0.0052,0.1411,-0.2439,-0.004
3167,2014-02-01,Arkansas,144300,0.0109,-0.0937,0.1389,0.004
3218,2014-01-01,Arkansas,142750,-0.0021,0.5726,0.8,0.0598
3270,2013-12-01,Arkansas,143050,-0.0134,-0.3279,-0.4521,0.0986
