,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
3,2019-04-01,Arizona,338900,0.027,0.0604,0.0806,-0.0192
54,2019-03-01,Arizona,330000,0.0154,0.0013,0.1429,-0.0877
105,2019-02-01,Arizona,325000,0.0015,-0.02,-0.0606,-0.1364
156,2019-01-01,Arizona,324500,0.0172,0.4646,0.3051,0.1
207,2018-12-01,Arizona,319000,-0.0062,-0.2374,0.1531,0.1538
258,2018-11-01,Arizona,321000,0.0031,-0.0382,-0.2943,0.0
309,2018-10-01,Arizona,320000,-0.0108,0.0289,0.0023,0.0
360,2018-09-01,Arizona,323500,-0.0015,0.0065,-0.0545,-0.0189
411,2018-08-01,Arizona,324000,-0.0031,0.0465,-0.1774,0.0192
462,2018-07-01,Arizona,325000,-0.0055,-0.0769,-0.1254,0.0612
513,2018-06-01,Arizona,326800,-0.0037,-0.0766,-0.1039,0.0208
564,2018-05-01,Arizona,328000,0.0095,-0.032,0.0723,-0.04
615,2018-04-01,Arizona,324900,0.0156,0.0041,0.2206,-0.0196
666,2018-03-01,Arizona,319900,0.0156,0.0333,-0.1067,-0.1053
717,2018-02-01,Arizona,315000,0.0194,0.0129,0.1113,-0.1493
768,2018-01-01,Arizona,309000,0.03,0.5149,0.6606,0.0308
819,2017-12-01,Arizona,300000,0.0003,-0.2562,-0.2466,0.2037
870,2017-11-01,Arizona,299900,0.0,-0.071,-0.1544,-0.0182
921,2017-10-01,Arizona,299950,0.0,0.045,-0.0208,-0.0678
972,2017-09-01,Arizona,299950,0.0,0.0107,0.0252,-0.0084
1023,2017-08-01,Arizona,299950,-0.0003,0.0256,0.0617,0.0259
1074,2017-07-01,Arizona,300050,-0.0164,-0.0674,-0.0041,0.0357
1125,2017-06-01,Arizona,305047,0.0,-0.0828,-0.1191,0.037
1176,2017-05-01,Arizona,305050,0.0167,-0.0181,-0.0918,0.0189
1227,2017-04-01,Arizona,300050,0.0033,-0.0325,0.0702,-0.0536
1278,2017-03-01,Arizona,299050,0.0181,0.0308,0.0775,-0.1642
1329,2017-02-01,Arizona,293743,0.0166,0.1001,0.058,-0.1067
1380,2017-01-01,Arizona,288950,0.0137,0.3308,-0.0909,0.1029
1431,2016-12-01,Arizona,285050,0.0,-0.1938,0.1555,0.1148
1482,2016-11-01,Arizona,285050,0.0,-0.0873,-0.0165,-0.0161
1533,2016-10-01,Arizona,285050,0.0002,0.0352,0.0386,-0.0746
1584,2016-09-01,Arizona,285000,0.0002,0.0686,-0.0717,-0.0074
1635,2016-08-01,Arizona,284950,-0.0004,0.0359,-0.0669,0.0385
1686,2016-07-01,Arizona,285050,-0.0138,-0.0951,0.0653,0.0078
1737,2016-06-01,Arizona,289050,0.0,-0.0572,-0.0399,0.0238
1788,2016-05-01,Arizona,289050,0.014,-0.0726,0.1097,0.0328
1839,2016-04-01,Arizona,285050,0.02,0.0162,0.0194,0.0339
1890,2016-03-01,Arizona,279450,0.0162,0.0,0.0043,-0.1748
1941,2016-02-01,Arizona,275000,0.0187,0.0162,-0.0512,-0.0949
1992,2016-01-01,Arizona,269950,0.0,0.5839,0.6159,0.0897
2043,2015-12-01,Arizona,269950,0.0,-0.2074,-0.2053,0.1154
2094,2015-11-01,Arizona,269950,0.0,-0.1356,-0.1667,0.0078
2145,2015-10-01,Arizona,269950,0.0,0.0555,-0.0694,-0.0584
2196,2015-09-01,Arizona,269950,0.0033,0.0727,0.0746,-0.0352
2247,2015-08-01,Arizona,269050,-0.0218,-0.0854,0.0531,0.029
2298,2015-07-01,Arizona,275050,-0.0121,-0.0512,-0.0979,0.0222
2349,2015-06-01,Arizona,278420,0.0123,-0.0311,-0.1045,0.0227
2400,2015-05-01,Arizona,275050,0.0189,-0.0606,0.051,0.0
2451,2015-04-01,Arizona,269950,0.0381,0.0337,-0.0727,0.0
2502,2015-03-01,Arizona,260050,0.0402,-0.0094,-0.0214,-0.1902
2553,2015-02-01,Arizona,250000,0.002,-0.0048,0.4712,-0.024
2604,2015-01-01,Arizona,249500,0.002,0.5275,0.0106,0.0774
2655,2014-12-01,Arizona,249000,-0.0002,-0.2444,-0.1085,0.0764
2706,2014-11-01,Arizona,249050,0.0,-0.1077,-0.0959,-0.0204
2757,2014-10-01,Arizona,249050,0.0042,0.0794,0.1552,-0.0577
2808,2014-09-01,Arizona,248000,0.0335,0.0608,-0.2132,0.0263
2859,2014-08-01,Arizona,239950,0.0,-0.0889,0.1097,0.034
2910,2014-07-01,Arizona,239950,-0.0004,-0.0312,-0.0393,0.0208
2961,2014-06-01,Arizona,240050,0.0004,-0.0771,-0.2317,0.036
