,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
4,2019-04-01,California,559900,0.0182,0.2059,0.0278,-0.087
55,2019-03-01,California,549900,0.0435,0.1402,0.0407,-0.08
106,2019-02-01,California,527000,0.0193,-0.0146,0.1426,-0.2424
157,2019-01-01,California,517000,-0.0152,0.5194,0.2198,0.1
208,2018-12-01,California,525000,-0.0214,-0.3296,-0.3217,0.2
259,2018-11-01,California,536500,-0.0046,-0.1474,-0.0405,0.087
310,2018-10-01,California,539000,-0.0017,-0.0583,-0.0488,0.0222
361,2018-09-01,California,539900,-0.0048,-0.0141,-0.0526,0.0227
412,2018-08-01,California,542500,-0.0118,-0.012,0.0011,0.0732
463,2018-07-01,California,549000,-0.0016,-0.0558,-0.0272,0.0513
514,2018-06-01,California,549900,0.0016,-0.016,-0.0031,0.0541
565,2018-05-01,California,549000,0.0262,0.0401,0.0401,-0.0263
616,2018-04-01,California,535000,0.019,0.1292,0.0549,0.0
667,2018-03-01,California,525000,0.0448,0.0793,0.1148,-0.0256
718,2018-02-01,California,502500,0.009,0.1584,0.1216,-0.3158
769,2018-01-01,California,498000,-0.002,0.517,0.0754,-0.0172
820,2017-12-01,California,499000,-0.0115,-0.3076,-0.1514,0.16
871,2017-11-01,California,504800,-0.0198,-0.1086,-0.059,0.0638
922,2017-10-01,California,515050,0.0049,-0.0461,-0.0502,0.0217
973,2017-09-01,California,512550,-0.0077,-0.1033,-0.1128,0.0455
1024,2017-08-01,California,516550,-0.0162,0.0198,0.1078,0.0233
1075,2017-07-01,California,525050,-0.0084,-0.0873,-0.0407,0.075
1126,2017-06-01,California,529500,0.0066,-0.0125,-0.058,0.039
1177,2017-05-01,California,526050,0.0334,0.0305,0.1326,-0.0128
1228,2017-04-01,California,509049,0.0192,0.0909,-0.1324,-0.1522
1279,2017-03-01,California,499450,0.0331,0.1635,0.0425,-0.1858
1330,2017-02-01,California,483443,0.0177,0.1506,0.3047,-0.1929
1381,2017-01-01,California,475050,-0.0042,0.2519,-0.0373,0.0606
1432,2016-12-01,California,477050,-0.0113,-0.2383,-0.1007,0.1282
1483,2016-11-01,California,482500,-0.0129,-0.1588,-0.1576,0.0636
1534,2016-10-01,California,488800,0.0067,-0.0327,0.0345,0.0185
1585,2016-09-01,California,485550,-0.0091,-0.0955,-0.1402,0.0385
1636,2016-08-01,California,490000,-0.0102,0.0002,0.05,0.0833
1687,2016-07-01,California,495050,0.0,-0.0618,-0.039,0.0323
1738,2016-06-01,California,495050,0.0154,-0.0374,0.027,0.0109
1789,2016-05-01,California,487550,0.0328,0.0269,0.0103,-0.0108
1840,2016-04-01,California,472050,0.0385,0.1168,0.0993,-0.0313
1891,2016-03-01,California,454550,0.0168,0.0744,0.0756,-0.1193
1942,2016-02-01,California,447050,0.0396,0.1064,-0.0271,-0.2431
1993,2016-01-01,California,430040,0.0191,0.5427,0.1393,0.1339
2044,2015-12-01,California,422000,-0.0164,-0.3268,-0.1499,0.1545
2095,2015-11-01,California,429050,-0.005,-0.1242,-0.047,0.0577
2146,2015-10-01,California,431196,0.0027,-0.0523,-0.053,0.0196
2197,2015-09-01,California,430045,0.0012,-0.0493,-0.1012,0.0625
2248,2015-08-01,California,429550,-0.0009,-0.2075,0.075,0.0323
2299,2015-07-01,California,429950,0.0021,0.0622,-0.0512,0.0449
2350,2015-06-01,California,429050,0.0094,0.0192,-0.0626,-0.0111
