,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
5,2019-04-01,Colorado,450000,0.0002,0.2733,0.125,-0.1346
56,2019-03-01,Colorado,449900,0.0227,0.1356,-0.0491,-0.2239
107,2019-02-01,Colorado,439900,0.0113,0.1018,0.1835,-0.1728
158,2019-01-01,Colorado,435000,0.0023,0.4899,0.2874,0.08
209,2018-12-01,Colorado,434000,0.0093,-0.3105,0.0496,0.2097
260,2018-11-01,Colorado,430000,0.0,-0.1283,-0.1655,0.069
311,2018-10-01,Colorado,430000,0.0,-0.1161,-0.1714,0.0943
362,2018-09-01,Colorado,430000,-0.0088,-0.0663,0.0294,0.06
413,2018-08-01,Colorado,433800,-0.0118,-0.0607,-0.1099,0.1364
464,2018-07-01,Colorado,439000,-0.0023,-0.1089,0.0352,0.1
515,2018-06-01,Colorado,440000,0.0011,0.0569,-0.1297,0.0256
566,2018-05-01,Colorado,439500,-0.0009,0.0415,0.1398,-0.093
617,2018-04-01,Colorado,439900,-0.0214,0.1778,0.0598,-0.2321
668,2018-03-01,Colorado,449500,0.0085,0.2885,-0.0057,-0.3086
719,2018-02-01,Colorado,445700,0.0136,0.1198,-0.0355,-0.1383
770,2018-01-01,Colorado,439700,0.0108,0.3662,0.3358,0.0562
821,2017-12-01,Colorado,435000,0.0,-0.2701,0.0538,0.1558
872,2017-11-01,Colorado,435000,0.0,-0.1904,-0.0972,0.1324
923,2017-10-01,Colorado,435050,0.0,-0.1148,-0.0432,0.1148
974,2017-09-01,Colorado,435050,0.0116,-0.1026,-0.1015,0.1091
1025,2017-08-01,Colorado,430050,-0.0183,-0.0555,-0.0847,0.1224
1076,2017-07-01,Colorado,438050,-0.0023,-0.0997,0.0487,0.0426
1127,2017-06-01,Colorado,439050,0.0092,0.0732,-0.1097,-0.0208
1178,2017-05-01,Colorado,435050,0.0119,0.1347,0.1264,-0.0769
1229,2017-04-01,Colorado,429949,0.0115,0.0825,-0.0595,-0.1811
1280,2017-03-01,Colorado,425050,0.0241,0.2973,0.3262,-0.3135
1331,2017-02-01,Colorado,415050,0.0375,0.2265,-0.0445,-0.1019
1382,2017-01-01,Colorado,400050,0.0009,0.1698,0.1103,0.1075
1433,2016-12-01,Colorado,399697,0.0016,-0.244,-0.1054,0.1273
1484,2016-11-01,Colorado,399050,0.0,-0.2215,0.073,0.1149
1535,2016-10-01,Colorado,399050,0.0,-0.0384,-0.0805,0.1045
1586,2016-09-01,Colorado,399050,0.0076,-0.1323,-0.0449,0.1074
1637,2016-08-01,Colorado,396044,-0.0038,-0.0487,-0.1613,0.1204
1688,2016-07-01,Colorado,397550,0.0025,-0.0747,0.0598,0.0286
1739,2016-06-01,Colorado,396550,0.0102,0.0636,-0.025,-0.0948
1790,2016-05-01,Colorado,392550,0.0067,0.1178,-0.0244,-0.1212
1841,2016-04-01,Colorado,389950,0.0101,0.181,0.146,-0.1538
1892,2016-03-01,Colorado,386050,0.0151,0.1829,-0.0213,-0.25
1943,2016-02-01,Colorado,380323,0.0168,0.1771,0.1835,-0.0631
1994,2016-01-01,Colorado,374050,0.0122,0.2438,0.4555,0.1045
2045,2015-12-01,Colorado,369525,0.0016,-0.2621,-0.271,0.1686
2096,2015-11-01,Colorado,368950,0.0011,-0.1935,-0.2202,0.1544
2147,2015-10-01,Colorado,368537,0.0236,-0.1121,0.1915,0.0567
2198,2015-09-01,Colorado,360050,0.0028,-0.069,-0.1019,0.1371
2249,2015-08-01,Colorado,359050,0.0,-0.1383,-0.1759,0.042
2300,2015-07-01,Colorado,359050,0.0272,-0.1394,0.0467,0.0171
2351,2015-06-01,Colorado,349550,0.031,0.2285,-0.0854,-0.025
2402,2015-05-01,Colorado,339050,-0.0271,-0.041,0.1437,-0.1304
2453,2015-04-01,Colorado,348500,0.01,0.2077,-0.2301,-0.2737
2504,2015-03-01,Colorado,345050,0.015,0.2214,0.0022,-0.1667
2555,2015-02-01,Colorado,339950,0.0027,0.17,0.1081,-0.0617
2606,2015-01-01,Colorado,339050,0.003,0.2216,0.153,0.0429
2657,2014-12-01,Colorado,338050,-0.0029,-0.1097,0.0444,0.1202
2708,2014-11-01,Colorado,339050,0.0,-0.2059,-0.2028,0.1005
2759,2014-10-01,Colorado,339050,0.0052,-0.1277,0.06,0.125
2810,2014-09-01,Colorado,337300,0.0254,-0.116,0.0929,0.1507
2861,2014-08-01,Colorado,328950,0.012,-0.0871,0.0517,0.1318
2912,2014-07-01,Colorado,325050,0.0003,-0.1173,-0.1031,0.0574
