,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
6,2019-04-01,Connecticut,364900,0.0164,0.2512,0.1607,-0.16
57,2019-03-01,Connecticut,359000,0.0275,0.2904,0.0566,-0.2991
108,2019-02-01,Connecticut,349400,0.0286,0.1287,-0.1017,-0.0183
159,2019-01-01,Connecticut,339700,-0.0006,0.4306,1.2692,0.09
210,2018-12-01,Connecticut,339900,-0.0205,-0.2481,-0.4583,0.1364
261,2018-11-01,Connecticut,347000,-0.0083,-0.2136,-0.3239,0.0115
312,2018-10-01,Connecticut,349900,0.0,-0.1002,-0.1341,0.0482
363,2018-09-01,Connecticut,349900,0.0,0.0784,0.1884,0.1067
414,2018-08-01,Connecticut,349900,-0.0281,-0.1508,-0.1786,0.1364
465,2018-07-01,Connecticut,360000,-0.0252,-0.1566,-0.087,0.1579
516,2018-06-01,Connecticut,369300,0.0063,-0.0558,0.2432,0.0364
567,2018-05-01,Connecticut,367000,0.0197,0.0148,0.0278,-0.0678
618,2018-04-01,Connecticut,359900,0.0268,0.231,-0.0769,-0.1449
669,2018-03-01,Connecticut,350500,0.0043,0.1699,0.04,-0.31
720,2018-02-01,Connecticut,349000,0.028,0.3126,0.3393,-0.0291
771,2018-01-01,Connecticut,339500,0.0,0.4503,0.0,0.0842
822,2017-12-01,Connecticut,339500,-0.0179,-0.3505,0.0769,0.1446
873,2017-11-01,Connecticut,345700,-0.0109,-0.1905,-0.2121,0.0122
924,2017-10-01,Connecticut,349550,-0.0011,-0.1252,-0.34,-0.0061
975,2017-09-01,Connecticut,349950,0.0026,0.0471,0.4925,0.0927
1026,2017-08-01,Connecticut,349050,-0.0026,-0.0443,-0.1184,0.0634
1077,2017-07-01,Connecticut,349950,0.0,-0.2079,-0.1461,0.1452
1128,2017-06-01,Connecticut,349950,0.0,-0.1253,-0.0532,0.0081
1179,2017-05-01,Connecticut,349950,0.0145,0.0671,0.2703,-0.0956
1230,2017-04-01,Connecticut,344950,0.0236,0.2013,0.1563,-0.1338
1281,2017-03-01,Connecticut,337000,0.0369,0.176,-0.0986,-0.2341
1332,2017-02-01,Connecticut,325000,0.0186,0.1579,-0.0405,-0.0509
1383,2017-01-01,Connecticut,319050,-0.0014,0.3151,0.3214,0.0854
1434,2016-12-01,Connecticut,319500,-0.0171,-0.2012,-0.0968,0.0419
1485,2016-11-01,Connecticut,325050,0.0,-0.1302,-0.4038,0.0269
1536,2016-10-01,Connecticut,325050,0.0,-0.1372,0.1685,-0.0106
1587,2016-09-01,Connecticut,325050,0.0,0.0844,-0.0111,0.0805
1638,2016-08-01,Connecticut,325049,-0.0149,-0.1121,-0.1667,0.1299
1689,2016-07-01,Connecticut,329950,0.0,-0.1846,0.1739,0.1241
1740,2016-06-01,Connecticut,329950,0.0,-0.0929,-0.1321,0.0538
1791,2016-05-01,Connecticut,329950,0.0154,-0.0386,0.2045,-0.0226
1842,2016-04-01,Connecticut,324950,0.0156,0.0638,-0.1619,-0.1939
1893,2016-03-01,Connecticut,319950,0.0396,0.4766,0.6667,-0.2431
1944,2016-02-01,Connecticut,307774,0.0261,0.125,-0.1711,-0.0091
1995,2016-01-01,Connecticut,299950,0.0,0.4658,-0.013,0.0732
2046,2015-12-01,Connecticut,299950,-0.0294,-0.2588,0.0694,0.0677
2097,2015-11-01,Connecticut,309050,-0.0029,-0.2384,-0.1818,0.0267
2148,2015-10-01,Connecticut,309950,0.0,-0.1386,-0.1927,0.0447
2199,2015-09-01,Connecticut,309950,-0.0003,0.1239,-0.0268,0.1049
2250,2015-08-01,Connecticut,310050,-0.0221,-0.2527,0.0667,0.1571
2301,2015-07-01,Connecticut,317050,-0.0091,-0.0654,-0.0541,0.1475
2352,2015-06-01,Connecticut,319950,0.0013,-0.1826,0.0278,0.0517
2403,2015-05-01,Connecticut,319550,0.0275,0.1246,0.08,-0.1831
2454,2015-04-01,Connecticut,311000,0.0368,0.4633,0.0417,-0.29
2505,2015-03-01,Connecticut,299950,0.0168,0.3008,0.5,-0.0991
2556,2015-02-01,Connecticut,295000,0.0174,-0.1218,-0.1899,0.0091
2607,2015-01-01,Connecticut,289950,0.0,0.7801,0.2951,0.0476
2658,2014-12-01,Connecticut,289950,-0.0304,-0.2969,-0.1757,0.0396
2709,2014-11-01,Connecticut,299050,-0.003,-0.1865,-0.0864,0.0466
2760,2014-10-01,Connecticut,299950,0.0,-0.2124,-0.1563,0.0212
2811,2014-09-01,Connecticut,299950,0.0,0.1529,-0.04,0.0925
2862,2014-08-01,Connecticut,299950,-0.0309,-0.1059,0.0417,0.1382
2913,2014-07-01,Connecticut,309500,-0.0112,-0.1823,-0.04,0.1176
2964,2014-06-01,Connecticut,313000,0.0098,-0.0876,-0.115,0.0709
3016,2014-05-01,Connecticut,309950,0.0332,-0.0211,0.1649,-0.1361
