,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
7,2019-04-01,District of Columbia,625000,0.0248,0.2785,-0.2143,-0.1081
58,2019-03-01,District of Columbia,609900,0.0167,0.1686,0.4,-0.1957
109,2019-02-01,District of Columbia,599900,0.0054,0.2605,0.4286,-0.2923
160,2019-01-01,District of Columbia,596700,-0.0038,0.2014,-0.3,0.1818
211,2018-12-01,District of Columbia,599000,-0.0013,-0.3236,-0.4118,0.3095
262,2018-11-01,District of Columbia,599800,-0.0357,-0.2514,0.0625,0.2727
313,2018-10-01,District of Columbia,622000,0.0368,-0.1202,0.0,-0.1081
364,2018-09-01,District of Columbia,599900,0.0,0.8035,-0.0588,-0.0976
415,2018-08-01,District of Columbia,599900,-0.0084,-0.2851,0.4167,0.1081
466,2018-07-01,District of Columbia,605000,0.0083,-0.0936,-0.2941,0.1935
517,2018-06-01,District of Columbia,600000,0.0002,-0.0582,0.3077,0.0333
568,2018-05-01,District of Columbia,599900,0.0015,0.0125,-0.2778,0.0345
619,2018-04-01,District of Columbia,599000,0.0111,0.0895,0.5,0.0
670,2018-03-01,District of Columbia,592400,0.0439,0.3892,0.0909,-0.2368
721,2018-02-01,District of Columbia,567500,0.0296,0.1078,0.0,-0.3333
772,2018-01-01,District of Columbia,551200,0.0022,0.3689,0.1,0.14
823,2017-12-01,District of Columbia,550000,-0.0747,-0.4467,-0.0909,0.1905
874,2017-11-01,District of Columbia,594400,0.0054,-0.1453,-0.3125,0.3125
925,2017-10-01,District of Columbia,591244,0.0071,-0.1623,-0.0588,-0.0857
976,2017-09-01,District of Columbia,587050,0.0673,0.8554,-0.15,-0.2135
1027,2017-08-01,District of Columbia,550050,-0.0832,-0.1309,0.25,0.2714
1078,2017-07-01,District of Columbia,599950,-0.0284,-0.2751,0.2308,0.129
1129,2017-06-01,District of Columbia,617500,0.0291,-0.0623,0.0,0.1923
1180,2017-05-01,District of Columbia,600024,0.0,0.0891,1.1667,-0.1613
1231,2017-04-01,District of Columbia,600044,0.0046,0.2257,-0.5,-0.0313
1282,2017-03-01,District of Columbia,597300,0.0351,0.0293,-0.0769,-0.1351
1333,2017-02-01,District of Columbia,577050,0.0035,0.1425,0.625,-0.3148
1384,2017-01-01,District of Columbia,575050,0.0314,0.4206,1.0,0.1739
1435,2016-12-01,District of Columbia,557550,-0.0202,-0.362,-0.5556,0.2105
1486,2016-11-01,District of Columbia,569050,0.0,-0.0271,-0.25,0.2258
1537,2016-10-01,District of Columbia,569050,0.0216,-0.2698,-0.2941,-0.1268
1588,2016-09-01,District of Columbia,557000,-0.0046,0.817,0.5455,-0.1744
1639,2016-08-01,District of Columbia,559550,-0.0394,-0.2234,0.1,0.1026
1690,2016-07-01,District of Columbia,582500,0.0001,-0.1005,-0.1667,0.0833
1741,2016-06-01,District of Columbia,582450,0.0043,-0.0478,-0.25,0.1613
1792,2016-05-01,District of Columbia,579950,0.0061,-0.1154,0.1429,0.0877
1843,2016-04-01,District of Columbia,576425,0.0615,0.0744,0.2727,-0.0806
1894,2016-03-01,District of Columbia,543050,0.0343,0.4622,-0.1538,-0.2791
1945,2016-02-01,District of Columbia,525050,0.0314,0.1414,0.625,-0.2833
1996,2016-01-01,District of Columbia,509050,-0.0233,0.3551,-0.3333,0.1215
2047,2015-12-01,District of Columbia,521175,-0.0332,-0.3989,0.0,0.3375
2098,2015-11-01,District of Columbia,539050,-0.0054,-0.1927,-0.2,0.25
2149,2015-10-01,District of Columbia,541999,0.0271,-0.16,0.0,-0.0857
2200,2015-09-01,District of Columbia,527675,0.0205,0.3963,0.0714,-0.1463
2251,2015-08-01,District of Columbia,517050,-0.0152,-0.1826,0.0769,0.0933
2302,2015-07-01,District of Columbia,525050,0.0024,-0.0688,-0.1333,0.2097
2353,2015-06-01,District of Columbia,523797,-0.0024,-0.0426,-0.0625,0.1481
2404,2015-05-01,District of Columbia,525050,-0.0013,-0.0096,0.4545,-0.027
2455,2015-04-01,District of Columbia,525721,0.075,0.2005,-0.0833,-0.25
2506,2015-03-01,District of Columbia,489050,0.0241,0.3152,-0.0769,-0.1957
2557,2015-02-01,District of Columbia,477550,0.0107,0.1458,0.3,-0.284
2608,2015-01-01,District of Columbia,472500,-0.0095,0.44,-0.2308,0.1272
2659,2014-12-01,District of Columbia,477050,-0.0165,-0.4595,1.1667,0.2667
2710,2014-11-01,District of Columbia,485050,-0.0101,-0.1553,-0.5385,0.25
2761,2014-10-01,District of Columbia,489999,-0.0142,-0.2289,-0.1875,0.0746
2812,2014-09-01,District of Columbia,497050,0.1069,0.6512,0.3333,-0.2872
2863,2014-08-01,District of Columbia,449050,-0.0022,-0.2092,-0.2,0.2129
2914,2014-07-01,District of Columbia,450046,-0.0424,-0.2148,0.0714,0.0473
2965,2014-06-01,District of Columbia,469950,-0.0107,0.0884,-0.3913,-0.1957
3017,2014-05-01,District of Columbia,475045,0.0,-0.0591,0.5333,0.0
3069,2014-04-01,District of Columbia,475050,0.0349,0.3525,0.0714,-0.2203
3121,2014-03-01,District of Columbia,459050,0.02,0.2308,-0.2632,-0.2107
3172,2014-02-01,District of Columbia,450050,-0.0055,0.0031,0.9,0.017
3223,2014-01-01,District of Columbia,452550,-0.0161,0.5882,-0.5,0.2049
3275,2013-12-01,District of Columbia,459950,-0.0458,-0.4809,0.0,0.3261
3327,2013-11-01,District of Columbia,482050,-0.0103,-0.1382,0.25,0.15
3379,2013-10-01,District of Columbia,487050,0.0362,-0.1618,-0.1111,-0.1667
3431,2013-09-01,District of Columbia,470050,0.0331,0.4392,-0.4194,-0.068
3483,2013-08-01,District of Columbia,455000,-0.0216,-0.137,0.4091,0.1573
3535,2013-07-01,District of Columbia,465050,-0.0411,-0.0837,-0.2143,0.141
3586,2013-06-01,District of Columbia,485000,0.0606,-0.0324,0.8667,0.0833
3637,2013-05-01,District of Columbia,457300,0.0525,0.0186,-0.25,-0.0526
3688,2013-04-01,District of Columbia,434500,0.0127,0.1659,-0.0909,-0.1163
3739,2013-03-01,District of Columbia,429050,0.0082,0.2455,0.0,-0.3676
3790,2013-02-01,District of Columbia,425549,0.0639,0.0405,0.375,-0.1758
3841,2013-01-01,District of Columbia,400000,-0.0001,0.2159,0.1429,0.1301
3892,2012-12-01,District of Columbia,400050,-0.0587,-0.0294,-0.1765,0.2269
3943,2012-11-01,District of Columbia,425000,0.0095,-0.2747,0.3077,0.1442
3994,2012-10-01,District of Columbia,421000,0.0534,-0.1812,-0.0714,-0.1475
4045,2012-09-01,District of Columbia,399675,0.0273,0.3921,0.0,-0.0963
4096,2012-08-01,District of Columbia,389050,-0.0251,-0.0653,0.0,0.0887
4147,2012-07-01,District of Columbia,399050,-0.016,-0.2331,-0.2222,0.1481
4198,2012-06-01,District of Columbia,405525,0.0151,0.0432,-0.1818,0.0588
4249,2012-05-01,District of Columbia,399500,0.0081,-0.1941,0.0,-0.0097
