,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
8,2019-04-01,Delaware,309900,0.0167,-0.0368,0.1827,-0.2427
59,2019-03-01,Delaware,304800,0.017,0.1856,0.284,-0.1043
110,2019-02-01,Delaware,299700,0.0084,0.0828,0.2656,0.0268
161,2019-01-01,Delaware,297200,0.0075,0.3516,0.7778,0.098
212,2018-12-01,Delaware,295000,-0.015,-0.2396,-0.625,0.0968
263,2018-11-01,Delaware,299500,-0.0007,-0.1876,0.1429,0.0449
314,2018-10-01,Delaware,299700,0.0023,-0.0014,0.0244,-0.0111
365,2018-09-01,Delaware,299000,0.0071,-0.0353,-0.1368,0.0345
416,2018-08-01,Delaware,296900,-0.007,-0.0588,-0.0865,0.061
467,2018-07-01,Delaware,299000,0.0,-0.0928,-0.1545,0.0513
518,2018-06-01,Delaware,299000,0.0,-0.1095,-0.0889,0.013
569,2018-05-01,Delaware,299000,0.0222,0.0901,0.1066,-0.0375
620,2018-04-01,Delaware,292500,0.0153,0.0534,0.0167,-0.1837
671,2018-03-01,Delaware,288100,0.0238,0.0808,0.7143,-0.1327
722,2018-02-01,Delaware,281400,0.0054,0.3518,0.1667,-0.0583
773,2018-01-01,Delaware,279900,0.0178,0.3114,-0.375,0.1009
824,2017-12-01,Delaware,275000,-0.0036,-0.3462,-0.0495,0.09
875,2017-11-01,Delaware,276000,-0.0143,-0.093,-0.0818,-0.0099
926,2017-10-01,Delaware,280049,-0.0172,-0.0426,0.746,0.0359
977,2017-09-01,Delaware,284950,-0.0001,0.0459,-0.3824,0.0263
1028,2017-08-01,Delaware,284977,0.018,-0.0806,0.2143,0.0556
1079,2017-07-01,Delaware,279950,0.0,-0.1064,0.012,0.0227
1130,2017-06-01,Delaware,279950,0.0,-0.0196,-0.1616,-0.0112
1181,2017-05-01,Delaware,279950,0.0,0.011,0.0532,-0.043
1232,2017-04-01,Delaware,279950,0.0178,0.0631,-0.1966,-0.247
1283,2017-03-01,Delaware,275050,0.0094,0.1074,0.2581,-0.0463
1334,2017-02-01,Delaware,272499,0.0094,0.3236,0.2237,0.0117
1385,2017-01-01,Delaware,269950,0.0,0.2295,-0.0732,0.0802
1436,2016-12-01,Delaware,269950,0.0,-0.1976,0.2813,0.0872
1487,2016-11-01,Delaware,269950,-0.0004,-0.2086,-0.1111,0.0686
1538,2016-10-01,Delaware,270050,-0.0016,-0.0889,0.0286,0.0
1589,2016-09-01,Delaware,270495,-0.0162,0.0012,-0.3578,0.0099
1640,2016-08-01,Delaware,274950,0.0,0.0024,0.3625,0.0521
1691,2016-07-01,Delaware,274950,0.0,-0.0532,0.0,0.0213
1742,2016-06-01,Delaware,274950,0.0088,-0.0789,0.0526,-0.0309
1793,2016-05-01,Delaware,272550,0.0094,-0.0554,-0.2897,-0.106
1844,2016-04-01,Delaware,270012,0.013,0.1157,0.4079,-0.1622
1895,2016-03-01,Delaware,266550,0.0019,0.2861,0.0133,-0.0616
1946,2016-02-01,Delaware,266050,0.0042,0.0058,0.7857,0.0455
1997,2016-01-01,Delaware,264950,0.0,0.5601,-0.2222,0.0435
2048,2015-12-01,Delaware,264950,-0.0004,-0.2933,-0.069,0.1
2099,2015-11-01,Delaware,265047,-0.0108,-0.199,-0.1831,0.0132
2150,2015-10-01,Delaware,267950,0.0113,-0.0418,-0.3604,-0.013
2201,2015-09-01,Delaware,264950,0.0,0.1198,0.4605,0.0849
2252,2015-08-01,Delaware,264950,0.0192,-0.1684,0.1515,0.0495
2303,2015-07-01,Delaware,259950,-0.006,-0.0169,0.0,0.0306
2354,2015-06-01,Delaware,261522,-0.0133,-0.1084,0.0,-0.02
2405,2015-05-01,Delaware,265050,0.0157,-0.0158,0.0476,-0.1228
2456,2015-04-01,Delaware,260950,0.0074,0.2048,-0.4273,-0.1679
2507,2015-03-01,Delaware,259045,0.036,0.0895,-0.1339,-0.0072
2558,2015-02-01,Delaware,250050,0.0004,0.089,1.1897,0.026
2609,2015-01-01,Delaware,249950,-0.0002,0.3855,-0.0492,0.0267
2660,2014-12-01,Delaware,250000,-0.0002,-0.2637,-0.3068,0.0826
2711,2014-11-01,Delaware,250050,-0.0175,-0.0558,0.0602,0.0386
2762,2014-10-01,Delaware,254500,0.0063,-0.1424,0.0921,0.0175
2813,2014-09-01,Delaware,252917,0.0237,0.0821,-0.1915,0.0701
2864,2014-08-01,Delaware,247054,0.0041,-0.1161,-0.1215,0.07
2915,2014-07-01,Delaware,246050,-0.0095,-0.1267,0.5735,0.0417
2966,2014-06-01,Delaware,248422,0.0017,0.025,-0.2688,-0.04
3018,2014-05-01,Delaware,247995,0.0224,-0.0356,0.1481,-0.115
3070,2014-04-01,Delaware,242550,0.0108,0.2416,0.1912,-0.1691
3122,2014-03-01,Delaware,239950,0.0019,0.1531,-0.3061,-0.0456
3173,2014-02-01,Delaware,239500,0.0097,0.1581,0.1529,0.0233
3224,2014-01-01,Delaware,237208,0.0092,0.4358,2.8636,0.0549
3276,2013-12-01,Delaware,235050,0.0,-0.3928,0.0476,0.082
3328,2013-11-01,Delaware,235050,-0.0032,-0.0565,-0.4474,0.0041
3380,2013-10-01,Delaware,235800,-0.0049,-0.0535,0.0,-0.0041
3432,2013-09-01,Delaware,236950,0.0062,-0.0429,0.4074,0.0383
3484,2013-08-01,Delaware,235500,0.0019,0.0231,-0.7353,0.078
3536,2013-07-01,Delaware,235050,0.0,-0.0012,0.275,0.0481
3587,2013-06-01,Delaware,235050,-0.0036,-0.1075,0.0256,0.0097
3638,2013-05-01,Delaware,235900,0.0191,-0.0315,-0.3333,-0.1159
3689,2013-04-01,Delaware,231475,0.0155,0.1486,0.4625,-0.1496
3740,2013-03-01,Delaware,227950,0.0326,0.1025,-0.2793,-0.0616
3791,2013-02-01,Delaware,220750,-0.0033,0.0232,0.4231,-0.0331
3842,2013-01-01,Delaware,221475,-0.0111,0.4563,0.3448,0.0486
3893,2012-12-01,Delaware,223950,-0.0049,-0.0701,0.1373,0.0105
3944,2012-11-01,Delaware,225044,0.0,-0.2257,-0.1207,0.0326
