,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
9,2019-04-01,Florida,325000,0.0018,-0.0541,-0.1205,-0.0253
60,2019-03-01,Florida,324400,0.0141,-0.0126,0.1059,-0.0366
111,2019-02-01,Florida,319900,0.0019,-0.0318,0.0056,-0.0353
162,2019-01-01,Florida,319300,0.0044,0.3737,0.2386,0.0625
213,2018-12-01,Florida,317900,-0.0034,-0.1572,-0.1136,0.039
264,2018-11-01,Florida,319000,0.0,0.028,0.091,-0.0253
315,2018-10-01,Florida,319000,0.0,0.0317,-0.0203,-0.0125
366,2018-09-01,Florida,319000,-0.0028,0.0087,-0.1228,0.0
417,2018-08-01,Florida,319900,-0.0127,-0.0193,0.0565,0.0127
468,2018-07-01,Florida,324000,-0.0031,-0.0246,-0.0734,0.0395
519,2018-06-01,Florida,325000,0.0003,-0.0375,-0.0333,0.0411
570,2018-05-01,Florida,324900,0.0059,0.0159,-0.0854,0.0
621,2018-04-01,Florida,323000,0.0097,-0.0815,0.0147,0.0735
672,2018-03-01,Florida,319900,0.0028,-0.0068,0.0601,-0.1282
723,2018-02-01,Florida,319000,0.0031,0.0156,0.0034,-0.0488
774,2018-01-01,Florida,318000,0.0095,0.3332,0.2624,0.0
825,2017-12-01,Florida,315000,0.0032,-0.1552,-0.0605,-0.0575
876,2017-11-01,Florida,314000,0.0136,0.0373,0.0263,-0.0114
927,2017-10-01,Florida,309800,-0.0006,0.6143,0.2707,0.0292
978,2017-09-01,Florida,310000,-0.0112,-0.3907,-0.3225,0.0556
1029,2017-08-01,Florida,313500,-0.0046,-0.0341,0.1177,0.0
1080,2017-07-01,Florida,314950,-0.0002,0.0521,-0.0836,0.0125
1131,2017-06-01,Florida,315000,0.0,-0.0821,-0.0952,0.039
1182,2017-05-01,Florida,315000,0.0002,-0.0196,0.0537,0.0267
1233,2017-04-01,Florida,314950,0.016,-0.0143,0.0391,0.0067
1284,2017-03-01,Florida,310000,0.0077,-0.0254,-0.0144,-0.1024
1335,2017-02-01,Florida,307630,0.0256,0.0249,0.0226,-0.046
1386,2017-01-01,Florida,299950,0.003,0.2673,0.2151,0.0058
1437,2016-12-01,Florida,299050,0.0007,-0.1174,-0.0979,0.0237
1488,2016-11-01,Florida,298847,0.0129,0.0693,0.023,0.0181
1539,2016-10-01,Florida,295050,0.0263,-0.034,0.0113,0.0
1590,2016-09-01,Florida,287500,-0.0088,0.0198,-0.0181,0.0122
1641,2016-08-01,Florida,290050,0.0003,-0.0355,0.0491,0.0123
1692,2016-07-01,Florida,289950,0.0,-0.022,-0.0965,0.0189
1743,2016-06-01,Florida,289950,0.0031,-0.077,-0.0174,0.0461
1794,2016-05-01,Florida,289050,0.0234,-0.021,-0.0737,0.034
1845,2016-04-01,Florida,282450,0.0106,-0.0481,0.0393,0.0426
1896,2016-03-01,Florida,279500,0.0184,-0.0408,0.0149,-0.1296
1947,2016-02-01,Florida,274450,0.0201,0.0151,-0.0203,-0.0471
1998,2016-01-01,Florida,269050,0.0155,0.3613,0.1789,0.0494
2049,2015-12-01,Florida,264950,0.015,-0.1482,-0.0735,0.0125
2100,2015-11-01,Florida,261040,0.0077,0.0083,-0.1018,0.0
2151,2015-10-01,Florida,259050,0.0157,0.0619,0.1159,-0.0244
2202,2015-09-01,Florida,255050,0.0,-0.002,-0.0011,0.0123
2253,2015-08-01,Florida,255050,0.0036,-0.1722,-0.0595,0.0318
2304,2015-07-01,Florida,254138,0.0045,0.0196,0.0531,0.0329
2355,2015-06-01,Florida,253000,0.0118,-0.0201,-0.0269,0.0133
2406,2015-05-01,Florida,250050,0.0004,-0.0408,-0.0681,0.0067
2457,2015-04-01,Florida,249950,0.02,-0.0358,0.0344,0.0068
2508,2015-03-01,Florida,245050,0.0213,-0.0051,-0.0353,-0.1345
2559,2015-02-01,Florida,239950,0.0162,-0.024,0.0404,-0.0339
2610,2015-01-01,Florida,236125,0.0048,0.229,0.1734,0.0291
2661,2014-12-01,Florida,235000,0.0002,-0.0296,-0.1035,0.0488
2712,2014-11-01,Florida,234950,0.0181,-0.0628,-0.0619,-0.0061
2763,2014-10-01,Florida,230772,0.0034,0.0642,0.0292,-0.012
2814,2014-09-01,Florida,230000,0.0548,-0.0516,-0.0561,-0.0291
2865,2014-08-01,Florida,218050,0.0002,-0.0693,-0.0453,0.0058
2916,2014-07-01,Florida,218000,0.0044,0.076,0.0637,0.0427
2967,2014-06-01,Florida,217050,-0.0332,-0.1007,-0.0671,0.0
3019,2014-05-01,Florida,224500,0.0205,-0.0216,-0.0972,-0.012
3071,2014-04-01,Florida,220000,0.0043,0.0175,0.1093,-0.0119
3123,2014-03-01,Florida,219050,0.0048,-0.0329,-0.0461,-0.0667
3174,2014-02-01,Florida,218000,0.0137,0.0502,0.077,-0.0164
3225,2014-01-01,Florida,215050,0.0,0.2605,0.1731,0.0517
3277,2013-12-01,Florida,215050,0.0,-0.1575,-0.1355,0.0482
3329,2013-11-01,Florida,215050,0.0,-0.0832,-0.0217,0.0
3381,2013-10-01,Florida,215050,0.0005,0.1501,-0.015,-0.0349
3433,2013-09-01,Florida,214950,-0.0051,-0.0111,-0.0929,-0.0282
3485,2013-08-01,Florida,216045,-0.0068,-0.0181,0.1132,-0.0167
3537,2013-07-01,Florida,217525,0.012,0.0546,-0.0239,0.0227
3588,2013-06-01,Florida,214950,-0.014,0.0177,-0.0686,0.0
3639,2013-05-01,Florida,217995,0.0137,-0.0374,-0.1471,0.0115
3690,2013-04-01,Florida,215050,0.0238,0.0187,0.1621,-0.0745
3741,2013-03-01,Florida,210050,0.0244,-0.0482,-0.0399,-0.0784
3792,2013-02-01,Florida,205049,0.0255,0.0046,0.0617,-0.0423
3843,2013-01-01,Florida,199950,0.0023,0.2479,0.2422,-0.0047
3894,2012-12-01,Florida,199500,0.0023,-0.0934,0.0305,-0.0273
3945,2012-11-01,Florida,199050,0.0205,-0.0061,-0.017,-0.0435
3996,2012-10-01,Florida,195050,0.0026,0.0627,0.1228,-0.0254
4047,2012-09-01,Florida,194550,0.0013,0.0054,-0.0284,0.0172
4098,2012-08-01,Florida,194300,-0.0033,0.0088,0.1174,0.0175
4149,2012-07-01,Florida,194950,0.0112,-0.0334,-0.1412,0.027
4200,2012-06-01,Florida,192800,0.0013,-0.0686,-0.0271,0.023
4251,2012-05-01,Florida,192550,0.0108,-0.0198,0.0248,0.0093
