,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
10,2019-04-01,Georgia,299900,0.0345,0.064,-0.2208,-0.0702
61,2019-03-01,Georgia,289900,0.0357,0.0571,0.1381,-0.2083
112,2019-02-01,Georgia,279900,0.0134,0.1064,-0.0358,-0.1
163,2019-01-01,Georgia,276200,-0.01,0.3794,0.3886,0.0811
214,2018-12-01,Georgia,279000,-0.0036,-0.1989,-0.1568,0.1045
265,2018-11-01,Georgia,280000,-0.0106,-0.1303,-0.1835,0.0152
316,2018-10-01,Georgia,283000,-0.007,0.0219,0.0792,0.0645
367,2018-09-01,Georgia,285000,-0.0104,-0.0841,-0.0912,0.069
418,2018-08-01,Georgia,288000,-0.0089,-0.0516,0.013,0.0175
469,2018-07-01,Georgia,290600,-0.0149,-0.0284,-0.1135,0.0364
520,2018-06-01,Georgia,295000,0.0037,0.0108,-0.1954,0.0377
571,2018-05-01,Georgia,293900,0.0152,0.0291,0.0285,-0.0185
622,2018-04-01,Georgia,289500,0.047,0.0129,0.0592,0.0
673,2018-03-01,Georgia,276500,0.0245,0.1188,0.0922,-0.25
724,2018-02-01,Georgia,269900,0.0173,0.2601,0.2312,-0.1111
775,2018-01-01,Georgia,265300,0.0011,0.2695,0.047,0.0658
826,2017-12-01,Georgia,265000,0.0,-0.2553,-0.1111,0.0556
877,2017-11-01,Georgia,265000,0.0,-0.0632,-0.0372,0.0286
928,2017-10-01,Georgia,265050,-0.0036,0.0229,-0.0725,0.0606
979,2017-09-01,Georgia,266015,0.0036,-0.1554,-0.0469,0.0476
1030,2017-08-01,Georgia,265050,-0.0021,-0.0421,0.3704,0.0328
1081,2017-07-01,Georgia,265615,-0.0035,-0.0219,-0.1154,0.0517
1132,2017-06-01,Georgia,266550,0.0097,-0.09,0.0837,0.0087
1183,2017-05-01,Georgia,264000,0.0157,0.0848,0.0337,-0.0086
1234,2017-04-01,Georgia,259926,0.0409,-0.0152,0.0467,-0.0169
1285,2017-03-01,Georgia,249720,0.038,0.1677,-0.0278,-0.1973
1336,2017-02-01,Georgia,240585,0.0107,0.1352,0.3095,-0.1145
1387,2017-01-01,Georgia,238050,0.0128,0.3563,0.0646,0.044
1438,2016-12-01,Georgia,235050,-0.0167,-0.2128,-0.0686,0.1042
1489,2016-11-01,Georgia,239050,-0.0025,-0.1109,-0.262,0.0435
1540,2016-10-01,Georgia,239646,0.0014,-0.061,0.0135,0.0147
1591,2016-09-01,Georgia,239300,0.001,-0.0172,0.0766,0.0382
1642,2016-08-01,Georgia,239050,-0.0038,-0.0873,-0.1328,0.0397
1693,2016-07-01,Georgia,239950,-0.0025,-0.0795,-0.051,0.05
1744,2016-06-01,Georgia,240550,0.0025,-0.0055,0.0848,0.0345
1795,2016-05-01,Georgia,239940,0.0421,-0.0029,-0.0178,-0.0252
1846,2016-04-01,Georgia,230250,0.0348,0.0492,0.0949,-0.0775
1897,2016-03-01,Georgia,222500,0.0301,0.185,0.0327,-0.2134
1948,2016-02-01,Georgia,216000,0.0283,0.0952,-0.0948,-0.0682
1999,2016-01-01,Georgia,210050,0.0,0.3054,0.4447,0.0798
2050,2015-12-01,Georgia,210049,-0.017,-0.1325,0.0076,0.1014
2101,2015-11-01,Georgia,213693,-0.0058,-0.1449,-0.1667,0.0571
2152,2015-10-01,Georgia,214950,0.0,-0.0292,0.0406,0.0219
2203,2015-09-01,Georgia,214950,0.0,-0.0805,-0.228,0.0224
2254,2015-08-01,Georgia,214950,-0.0121,-0.2248,0.2369,0.0308
2305,2015-07-01,Georgia,217585,0.0042,0.0107,-0.0897,0.0569
2356,2015-06-01,Georgia,216670,0.0075,-0.0157,0.1828,0.0082
2407,2015-05-01,Georgia,215050,0.0289,0.0455,-0.1254,-0.0758
2458,2015-04-01,Georgia,209000,0.0453,0.0733,0.0295,-0.0149
2509,2015-03-01,Georgia,199950,0.0228,0.0453,0.1604,-0.2164
2560,2015-02-01,Georgia,195500,0.0042,0.0757,-0.007,-0.0604
2611,2015-01-01,Georgia,194688,-0.0002,0.4519,0.2011,0.04
2662,2014-12-01,Georgia,194727,-0.0011,-0.2021,-0.0694,0.0802
2713,2014-11-01,Georgia,194950,-0.0157,-0.1464,-0.1595,0.0318
2764,2014-10-01,Georgia,198050,-0.005,0.0451,0.0939,0.0397
2815,2014-09-01,Georgia,199050,0.0,-0.0674,-0.0908,0.0342
2866,2014-08-01,Georgia,199050,-0.0045,-0.0308,-0.0449,0.0735
2917,2014-07-01,Georgia,199950,0.0045,-0.0408,-0.0235,0.0303
2968,2014-06-01,Georgia,199050,0.033,-0.0091,0.0999,-0.0294
3020,2014-05-01,Georgia,192700,0.0149,0.0357,-0.0176,-0.0685
