,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
11,2019-04-01,Hawaii,666500,-0.0126,0.1403,-0.0556,0.0233
62,2019-03-01,Hawaii,675000,-0.0059,-0.117,0.0909,0.0361
113,2019-02-01,Hawaii,679000,0.0003,-0.0324,-0.0294,-0.0119
164,2019-01-01,Hawaii,678800,0.0056,0.173,0.4167,-0.0562
215,2018-12-01,Hawaii,675000,0.0155,-0.0417,-0.04,0.0
266,2018-11-01,Hawaii,664700,0.0079,0.0435,-0.3421,-0.0111
317,2018-10-01,Hawaii,659500,-0.023,0.0874,-0.0952,0.0112
368,2018-09-01,Hawaii,675000,0.0057,-0.0626,1.1,0.0114
419,2018-08-01,Hawaii,671200,0.0201,-0.0844,-0.5238,0.0115
470,2018-07-01,Hawaii,658000,0.0123,0.0235,0.05,-0.0225
521,2018-06-01,Hawaii,650000,0.0003,0.0516,0.0526,-0.0111
572,2018-05-01,Hawaii,649800,-0.0078,-0.0219,0.1176,0.0345
623,2018-04-01,Hawaii,654900,0.0075,0.0,-0.2093,0.0116
674,2018-03-01,Hawaii,650000,0.0,-0.045,-0.1569,-0.0337
725,2018-02-01,Hawaii,650000,-0.0104,0.0084,0.0851,-0.022
776,2018-01-01,Hawaii,656800,0.0105,0.1779,0.3824,-0.0215
827,2017-12-01,Hawaii,650000,0.0167,-0.1175,-0.0556,0.0109
878,2017-11-01,Hawaii,639300,0.0068,0.0259,0.125,-0.0108
929,2017-10-01,Hawaii,635050,-0.0185,0.0219,0.2308,-0.0106
980,2017-09-01,Hawaii,647050,-0.0031,-0.0419,-0.1034,-0.0053
1031,2017-08-01,Hawaii,649050,-0.0015,0.0498,-0.1471,0.0053
1082,2017-07-01,Hawaii,650050,0.0012,-0.0442,0.0,0.0
1133,2017-06-01,Hawaii,649300,-0.0011,-0.0055,0.0625,-0.0259
1184,2017-05-01,Hawaii,650000,0.0015,-0.0472,-0.0588,0.0052
1235,2017-04-01,Hawaii,649050,0.0142,-0.001,-0.0811,0.0
1286,2017-03-01,Hawaii,639944,-0.014,0.067,0.1935,0.0323
1337,2017-02-01,Hawaii,649050,0.0156,0.0102,-0.0882,0.0
1388,2017-01-01,Hawaii,639050,0.0191,0.0411,0.0303,0.0
1439,2016-12-01,Hawaii,627050,0.0292,-0.0263,0.0,-0.0412
1490,2016-11-01,Hawaii,609250,0.017,-0.0396,-0.175,-0.0102
1541,2016-10-01,Hawaii,599050,-0.0058,0.188,0.3333,0.0103
1592,2016-09-01,Hawaii,602550,0.0,-0.0401,-0.2857,0.0211
1643,2016-08-01,Hawaii,602550,0.0058,-0.0432,0.2353,0.0556
