,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
12,2019-04-01,Iowa,213300,0.0162,0.4066,0.1,-0.2093
63,2019-03-01,Iowa,209900,0.0521,0.2799,0.8519,-0.1042
114,2019-02-01,Iowa,199500,0.0231,-0.1392,-0.5179,0.0323
165,2019-01-01,Iowa,195000,0.0263,0.4592,0.75,0.0449
216,2018-12-01,Iowa,190000,-0.0251,-0.3231,-0.4754,0.141
267,2018-11-01,Iowa,194900,-0.0005,-0.1254,-0.2179,0.0833
318,2018-10-01,Iowa,195000,0.0,-0.0966,0.3929,0.0746
369,2018-09-01,Iowa,195000,-0.0245,-0.0598,-0.0508,0.0469
420,2018-08-01,Iowa,199900,-0.0244,-0.0309,0.0536,0.0492
471,2018-07-01,Iowa,204900,-0.0238,-0.0327,-0.2432,0.0517
522,2018-06-01,Iowa,209900,0.0,-0.0129,-0.1957,-0.0169
573,2018-05-01,Iowa,209900,0.0495,0.0841,0.122,-0.0923
624,2018-04-01,Iowa,200000,0.0035,0.0997,0.1549,-0.1447
675,2018-03-01,Iowa,199300,0.0289,0.2437,0.3922,-0.1915
726,2018-02-01,Iowa,193700,0.0249,0.1216,0.0625,-0.0105
777,2018-01-01,Iowa,189000,0.0216,0.2047,-0.1111,0.0674
828,2017-12-01,Iowa,185000,0.0005,-0.2051,0.1489,0.1558
879,2017-11-01,Iowa,184900,0.0232,-0.1867,-0.1296,0.1159
930,2017-10-01,Iowa,180750,-0.0109,-0.1201,0.0,0.0222
981,2017-09-01,Iowa,182750,-0.0122,-0.0552,-0.129,0.0305
1032,2017-08-01,Iowa,185000,-0.0136,0.0159,0.2917,0.0397
1083,2017-07-01,Iowa,187550,-0.004,-0.0645,-0.4217,0.0328
1134,2017-06-01,Iowa,188300,0.0176,-0.0277,0.2206,0.0
1185,2017-05-01,Iowa,185050,0.0165,0.0302,-0.1707,-0.0317
1236,2017-04-01,Iowa,182050,0.0142,0.0805,-0.0238,-0.125
1287,2017-03-01,Iowa,179500,0.0479,0.1738,0.1831,-0.2381
1338,2017-02-01,Iowa,171300,0.0254,0.1996,0.1833,-0.0156
1389,2017-01-01,Iowa,167050,0.0127,0.3857,0.5789,0.0909
1440,2016-12-01,Iowa,164950,0.0,-0.3121,-0.3091,0.1
1491,2016-11-01,Iowa,164950,0.0,-0.1448,-0.1667,0.0811
1542,2016-10-01,Iowa,164950,0.004,-0.0511,0.1579,0.0068
1593,2016-09-01,Iowa,164300,0.0064,-0.0415,-0.1231,0.0576
1644,2016-08-01,Iowa,163250,-0.028,-0.048,0.0484,0.053
1695,2016-07-01,Iowa,167950,0.0179,-0.047,0.069,0.056
1746,2016-06-01,Iowa,165000,0.0303,-0.0495,-0.1944,0.0081
1797,2016-05-01,Iowa,160150,0.0006,-0.0186,0.1613,-0.1014
1848,2016-04-01,Iowa,160050,0.0273,0.0961,-0.1948,-0.1481
1899,2016-03-01,Iowa,155800,0.0383,0.3362,0.4528,-0.194
1950,2016-02-01,Iowa,150050,0.0067,0.0827,-0.0185,0.0152
2001,2016-01-01,Iowa,149050,0.0136,0.3389,0.3171,0.0879
2052,2015-12-01,Iowa,147050,0.0075,-0.2475,-0.1087,0.1235
2103,2015-11-01,Iowa,145950,-0.0041,-0.3808,-0.2333,0.0588
2154,2015-10-01,Iowa,146550,-0.0098,0.4493,0.1765,0.0132
2205,2015-09-01,Iowa,148000,-0.0104,-0.2996,-0.2031,0.0486
2256,2015-08-01,Iowa,149550,-0.0027,-0.0491,0.0492,0.0511
2307,2015-07-01,Iowa,149950,0.0,-0.0041,-0.0615,0.0458
2358,2015-06-01,Iowa,149950,0.0,-0.0887,-0.0972,0.0565
2409,2015-05-01,Iowa,149950,0.0111,-0.073,0.1613,-0.1143
2460,2015-04-01,Iowa,148300,0.0231,0.2681,-0.2439,-0.2473
2511,2015-03-01,Iowa,144950,0.0357,0.196,0.2059,-0.1226
2562,2015-02-01,Iowa,139950,0.0,0.0262,0.4167,0.0242
2613,2015-01-01,Iowa,139950,0.0029,0.4274,0.0667,0.0615
2664,2014-12-01,Iowa,139550,-0.0029,-0.2234,0.0227,0.0955
2715,2014-11-01,Iowa,139950,-0.0002,-0.1558,-0.2,0.0854
2766,2014-10-01,Iowa,139975,0.0002,-0.0292,-0.3529,0.0123
2817,2014-09-01,Iowa,139950,0.0,-0.0965,0.1806,0.0658
2868,2014-08-01,Iowa,139950,-0.0004,-0.0112,0.0746,0.034
2919,2014-07-01,Iowa,140000,-0.0004,-0.108,-0.1625,0.097
2970,2014-06-01,Iowa,140050,0.0007,-0.0183,0.2903,-0.0822
3022,2014-05-01,Iowa,139950,0.0047,-0.0111,-0.2619,-0.1751
3074,2014-04-01,Iowa,139300,0.0315,0.2193,0.1053,-0.2436
3126,2014-03-01,Iowa,135050,0.0173,0.5035,0.6522,0.0
3177,2014-02-01,Iowa,132750,0.0061,-0.1219,-0.193,0.0636
3229,2014-01-01,Iowa,131950,0.0146,0.4616,0.5833,0.134
3281,2013-12-01,Iowa,130050,-0.0166,-0.3135,-0.4462,0.1023
3333,2013-11-01,Iowa,132250,-0.0171,-0.2001,-0.1216,0.0732
3385,2013-10-01,Iowa,134550,0.0037,-0.0634,0.1212,0.025
3437,2013-09-01,Iowa,134050,-0.0067,0.0141,-0.2747,0.0667
3489,2013-08-01,Iowa,134950,-0.0007,-0.0782,0.0225,0.0135
3540,2013-07-01,Iowa,135050,0.0,-0.0486,0.1125,0.0725
3591,2013-06-01,Iowa,135050,-0.0214,-0.0332,0.1765,0.0
3642,2013-05-01,Iowa,138000,0.0018,0.0355,-0.2444,-0.0861
3693,2013-04-01,Iowa,137750,0.02,0.1652,0.1538,-0.2135
3744,2013-03-01,Iowa,135050,0.0384,0.1948,0.2,-0.1233
3795,2013-02-01,Iowa,130050,0.0008,-0.0381,0.0317,0.0
3846,2013-01-01,Iowa,129950,0.0,0.2944,0.3696,0.0735
3897,2012-12-01,Iowa,129950,0.0,-0.1128,-0.2069,0.0737
3948,2012-11-01,Iowa,129950,-0.0084,-0.1455,-0.0645,0.0383
3999,2012-10-01,Iowa,131050,-0.0224,-0.0678,-0.0606,0.0167
4050,2012-09-01,Iowa,134050,-0.0067,-0.0476,0.1786,0.0112
4101,2012-08-01,Iowa,134950,0.0,-0.0502,-0.0667,0.023
4152,2012-07-01,Iowa,134950,-0.0007,-0.0223,-0.1304,0.0741
4203,2012-06-01,Iowa,135050,-0.016,-0.0291,-0.0676,0.0189
4254,2012-05-01,Iowa,137250,-0.0076,-0.072,0.2542,-0.0245
