,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
13,2019-04-01,Idaho,339900,0.0149,0.1674,0.1909,-0.1803
64,2019-03-01,Idaho,334900,-0.0003,0.2537,-0.009,-0.2078
115,2019-02-01,Idaho,335000,0.0078,0.0338,0.4416,-0.0833
166,2019-01-01,Idaho,332400,0.0076,0.3522,-0.2143,0.05
217,2018-12-01,Idaho,329900,0.0107,-0.3067,-0.1091,0.1268
268,2018-11-01,Idaho,326400,-0.0079,-0.1543,0.236,0.0758
319,2018-10-01,Idaho,329000,-0.0027,-0.112,-0.0111,0.082
370,2018-09-01,Idaho,329900,-0.0111,-0.0806,-0.2174,0.0893
421,2018-08-01,Idaho,333600,0.0112,-0.106,-0.2434,0.098
472,2018-07-01,Idaho,329900,0.0015,-0.0622,0.216,0.1333
523,2018-06-01,Idaho,329400,0.0073,0.0177,-0.1259,0.0
574,2018-05-01,Idaho,327000,0.0222,0.1156,-0.3941,-0.1346
625,2018-04-01,Idaho,319900,0.0165,0.1927,-0.3038,-0.1333
676,2018-03-01,Idaho,314700,0.0284,0.2357,1.2157,-0.3182
727,2018-02-01,Idaho,306000,0.022,0.1913,-0.3319,-0.1111
778,2018-01-01,Idaho,299400,0.0013,0.128,1.8625,0.0645
829,2017-12-01,Idaho,299000,0.004,-0.1819,-0.3985,0.1625
880,2017-11-01,Idaho,297800,0.0167,-0.2075,-0.4845,0.1111
931,2017-10-01,Idaho,292950,0.0103,-0.2157,0.5,0.1077
982,2017-09-01,Idaho,289950,-0.0085,-0.1186,0.2028,0.1111
1033,2017-08-01,Idaho,292432,-0.0089,-0.0809,0.2544,0.0833
1084,2017-07-01,Idaho,295050,0.0002,0.0602,-0.245,0.0909
1135,2017-06-01,Idaho,295000,0.0017,-0.0534,-0.0904,0.0313
1186,2017-05-01,Idaho,294500,0.0405,0.2199,0.2576,-0.1724
1237,2017-04-01,Idaho,283040,0.0347,0.1643,-0.4081,-0.2883
1288,2017-03-01,Idaho,273559,0.0281,0.3182,-0.1357,-0.2126
1339,2017-02-01,Idaho,266095,0.0232,0.3753,3.3,-0.0417
1390,2017-01-01,Idaho,260050,-0.0053,-0.017,-0.2208,0.0537
1441,2016-12-01,Idaho,261437,0.0053,-0.212,0.0405,0.0963
1492,2016-11-01,Idaho,260050,0.0004,-0.1306,-0.1957,0.1
1543,2016-10-01,Idaho,259950,-0.0002,-0.1932,-0.1238,0.0828
1594,2016-09-01,Idaho,260000,0.0,-0.1628,-0.0278,0.0979
1645,2016-08-01,Idaho,260000,-0.0114,-0.082,0.2273,0.1
1696,2016-07-01,Idaho,262990,-0.0078,0.0197,-0.2212,0.1111
1747,2016-06-01,Idaho,265050,0.0232,-0.1664,-0.5252,0.0086
1798,2016-05-01,Idaho,259050,0.0364,0.1575,0.2727,-0.0938
1849,2016-04-01,Idaho,249950,0.0117,0.1724,0.1198,-0.205
1900,2016-03-01,Idaho,247050,0.0294,0.2573,0.0774,-0.2222
1951,2016-02-01,Idaho,240000,0.0211,0.1721,0.1923,-0.0591
2002,2016-01-01,Idaho,235050,-0.0095,0.3647,0.4773,-0.0265
2053,2015-12-01,Idaho,237300,-0.0032,-0.1828,-0.3803,0.1188
2104,2015-11-01,Idaho,238050,-0.0042,-0.1997,0.5778,0.0745
2155,2015-10-01,Idaho,239050,0.0021,-0.05,-0.2623,0.0621
2206,2015-09-01,Idaho,238550,-0.0019,-0.1787,0.0167,0.1645
2257,2015-08-01,Idaho,239000,0.003,-0.2108,-0.375,0.0483
2308,2015-07-01,Idaho,238295,0.0138,-0.1045,0.1163,0.0662
2359,2015-06-01,Idaho,235050,0.0222,0.076,0.0361,0.0
2410,2015-05-01,Idaho,229950,0.0197,0.0217,-0.2783,-0.0685
2461,2015-04-01,Idaho,225500,0.0294,0.0904,0.7969,-0.2234
2512,2015-03-01,Idaho,219050,0.0456,0.1585,-0.2289,-0.1966
2563,2015-02-01,Idaho,209500,0.0163,0.1583,0.908,-0.0602
2614,2015-01-01,Idaho,206150,-0.0115,0.4009,0.061,0.0081
2665,2014-12-01,Idaho,208550,-0.0024,-0.1473,0.025,0.0739
2716,2014-11-01,Idaho,209050,-0.0048,-0.1574,-0.0476,0.0849
2767,2014-10-01,Idaho,210050,-0.0047,-0.0636,0.0909,0.1042
2818,2014-09-01,Idaho,211050,-0.0163,-0.2207,-0.2596,0.1294
2869,2014-08-01,Idaho,214550,-0.0004,-0.0132,-0.2,0.0968
2920,2014-07-01,Idaho,214638,0.018,-0.1007,-0.1875,0.0616
2971,2014-06-01,Idaho,210850,0.0173,-0.0514,-0.0123,-0.0818
3023,2014-05-01,Idaho,207272,0.0377,0.1185,-0.1818,-0.1719
3075,2014-04-01,Idaho,199750,0.0114,0.0837,-0.161,-0.2131
3127,2014-03-01,Idaho,197504,0.0176,0.4654,0.3801,-0.0279
3178,2014-02-01,Idaho,194085,0.0146,-0.0715,0.71,0.0121
3230,2014-01-01,Idaho,191297,0.0066,0.6532,0.1364,0.042
3282,2013-12-01,Idaho,190050,-0.0331,-0.3235,0.0115,0.0917
3334,2013-11-01,Idaho,196550,-0.017,-0.1792,-0.1869,0.0846
3386,2013-10-01,Idaho,199950,0.0,-0.0179,0.0288,0.0806
3438,2013-09-01,Idaho,199950,0.0,-0.1523,-0.1186,0.1341
3490,2013-08-01,Idaho,199950,0.0,-0.0688,-0.1061,0.0789
3541,2013-07-01,Idaho,199950,0.002,-0.0786,-0.3714,0.0133
3592,2013-06-01,Idaho,199550,0.0207,0.0132,-0.1026,-0.0066
3643,2013-05-01,Idaho,195500,0.0292,0.105,0.1759,-0.0793
3694,2013-04-01,Idaho,189950,0.0074,0.0994,0.1307,-0.2407
3745,2013-03-01,Idaho,188550,0.0329,0.3064,0.3435,-0.1563
3796,2013-02-01,Idaho,182545,0.0144,0.0662,-0.3879,-0.0266
3847,2013-01-01,Idaho,179950,0.0,0.2849,1.2766,0.0038
3898,2012-12-01,Idaho,179950,-0.027,-0.196,0.0805,0.0871
3949,2012-11-01,Idaho,184950,-0.0222,-0.0504,-0.3696,0.0299
4000,2012-10-01,Idaho,189155,-0.0042,-0.0781,0.3019,0.0734
4051,2012-09-01,Idaho,189950,-0.0108,-0.0701,0.1522,0.0792
4102,2012-08-01,Idaho,192022,0.0104,-0.0544,-0.1321,0.086
4153,2012-07-01,Idaho,190050,0.0029,-0.081,-0.209,-0.0106
4204,2012-06-01,Idaho,189500,0.0186,-0.0555,-0.029,-0.06
4255,2012-05-01,Idaho,186047,0.0286,-0.0549,-0.0612,-0.0385
