,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
14,2019-04-01,Illinois,258500,0.0428,0.187,-0.0513,-0.1296
65,2019-03-01,Illinois,247900,0.046,0.2183,0.0086,-0.28
116,2019-02-01,Illinois,237000,0.0533,0.1529,0.1429,-0.1071
167,2019-01-01,Illinois,225000,0.0,0.575,0.4926,0.1053
218,2018-12-01,Illinois,225000,-0.0426,-0.3097,-0.2486,0.1692
269,2018-11-01,Illinois,235000,-0.0196,-0.2159,-0.1697,0.0833
320,2018-10-01,Illinois,239700,-0.0013,-0.1159,0.0283,0.0345
371,2018-09-01,Illinois,240000,-0.02,-0.027,-0.113,0.0741
422,2018-08-01,Illinois,244900,-0.0165,-0.0764,-0.234,0.0385
473,2018-07-01,Illinois,249000,-0.0036,-0.0452,-0.085,0.0833
524,2018-06-01,Illinois,249900,0.0,-0.0388,0.1107,0.0
575,2018-05-01,Illinois,249900,0.02,0.0762,-0.1229,-0.04
626,2018-04-01,Illinois,245000,0.0538,0.0328,0.5217,-0.0566
677,2018-03-01,Illinois,232500,0.0292,0.2917,-0.08,-0.2838
728,2018-02-01,Illinois,225900,0.0453,0.1842,0.1261,-0.1494
779,2018-01-01,Illinois,216100,-0.0064,0.5898,0.3875,0.1013
830,2017-12-01,Illinois,217500,-0.0333,-0.342,-0.2079,0.1618
881,2017-11-01,Illinois,225000,-0.0175,-0.1683,-0.0472,0.0794
932,2017-10-01,Illinois,229050,-0.0039,-0.1383,-0.0578,0.0413
983,2017-09-01,Illinois,229950,-0.0002,-0.0493,0.0181,0.0431
1034,2017-08-01,Illinois,230000,-0.0334,-0.0608,-0.1875,0.0545
1085,2017-07-01,Illinois,237950,-0.0083,-0.0471,-0.0389,0.0185
1136,2017-06-01,Illinois,239950,0.0038,-0.0174,-0.1184,0.0
1187,2017-05-01,Illinois,239050,0.0391,0.0353,-0.0389,0.0189
1238,2017-04-01,Illinois,230050,0.0132,0.0208,-0.006,-0.0275
1289,2017-03-01,Illinois,227050,0.0685,0.149,0.12,-0.323
1340,2017-02-01,Illinois,212500,0.0628,0.2722,0.049,-0.1344
1391,2017-01-01,Illinois,199950,-0.0003,0.5583,0.3816,0.0941
1442,2016-12-01,Illinois,200000,-0.0476,-0.284,-0.0921,0.1333
1493,2016-11-01,Illinois,210000,-0.0235,-0.172,-0.05,0.0417
1544,2016-10-01,Illinois,215050,-0.0046,-0.1028,-0.2053,0.0511
1595,2016-09-01,Illinois,216050,-0.0148,-0.023,0.0671,0.0379
1646,2016-08-01,Illinois,219300,-0.0034,-0.0767,0.0481,0.082
1697,2016-07-01,Illinois,220050,-0.0218,-0.1149,-0.1456,0.0427
1748,2016-06-01,Illinois,224950,0.004,0.0326,-0.076,0.0086
1799,2016-05-01,Illinois,224050,0.0334,-0.0448,-0.0144,-0.0085
1850,2016-04-01,Illinois,216800,0.0473,0.047,0.0515,-0.064
1901,2016-03-01,Illinois,207000,0.0753,0.2148,0.0963,-0.2978
1952,2016-02-01,Illinois,192500,0.0408,0.2216,0.2336,-0.0729
2003,2016-01-01,Illinois,184950,-0.0056,0.5313,0.0383,0.0847
2054,2015-12-01,Illinois,185999,-0.0415,-0.2997,-0.2468,0.1203
2105,2015-11-01,Illinois,194050,-0.0251,-0.2026,0.0331,0.0604
2156,2015-10-01,Illinois,199050,-0.0035,-0.0558,-0.0765,0.0276
2207,2015-09-01,Illinois,199750,-0.001,-0.0827,-0.003,0.0507
2258,2015-08-01,Illinois,199950,0.0,-0.1266,0.1673,0.0781
2309,2015-07-01,Illinois,199950,0.0,0.0096,-0.0757,0.0756
2360,2015-06-01,Illinois,199950,0.005,-0.0302,-0.0675,0.0259
2411,2015-05-01,Illinois,198950,0.0474,0.0214,-0.0712,-0.0492
2462,2015-04-01,Illinois,189950,0.055,0.1363,0.1178,-0.1528
2513,2015-03-01,Illinois,180050,0.0468,0.2371,0.0753,-0.2539
2564,2015-02-01,Illinois,172000,0.0121,0.063,0.021,-0.0398
2615,2015-01-01,Illinois,169950,-0.0061,0.4518,0.126,0.0924
2666,2014-12-01,Illinois,171000,-0.0444,-0.2376,-0.1181,0.1084
2717,2014-11-01,Illinois,178950,-0.0151,-0.2003,-0.0432,0.071
2768,2014-10-01,Illinois,181700,-0.0176,-0.1109,-0.1301,0.0333
2819,2014-09-01,Illinois,184950,-0.0005,-0.0677,0.0058,0.0417
2870,2014-08-01,Illinois,185050,-0.0212,-0.0606,-0.1464,0.0667
2921,2014-07-01,Illinois,189050,0.0,-0.0617,0.0126,0.0887
2972,2014-06-01,Illinois,189050,0.0416,-0.0282,-0.0197,-0.008
3024,2014-05-01,Illinois,181500,0.0371,0.0082,0.1667,-0.1497
3076,2014-04-01,Illinois,175000,0.0482,0.2261,0.1013,-0.2423
3128,2014-03-01,Illinois,166950,0.0664,0.2462,-0.0247,-0.1182
3179,2014-02-01,Illinois,156550,0.0199,0.1837,0.0485,0.0
3231,2014-01-01,Illinois,153500,-0.01,0.3635,0.4575,0.134
3283,2013-12-01,Illinois,155050,-0.0306,-0.3422,-0.3537,0.0838
3335,2013-11-01,Illinois,159950,-0.0006,-0.1025,-0.0575,0.0783
3387,2013-10-01,Illinois,160050,-0.0123,-0.0663,-0.0225,0.0247
3439,2013-09-01,Illinois,162050,-0.0176,-0.1151,-0.101,0.0658
3491,2013-08-01,Illinois,164950,-0.0006,0.0264,0.0532,-0.013
3542,2013-07-01,Illinois,165050,-0.0114,-0.1497,-0.1048,0.0132
3593,2013-06-01,Illinois,166950,0.0118,0.0435,-0.0141,0.0133
3644,2013-05-01,Illinois,165000,0.0345,-0.0101,-0.0252,-0.0741
3695,2013-04-01,Illinois,159500,0.0294,0.1194,0.0659,-0.1474
3746,2013-03-01,Illinois,154950,0.0365,0.1574,0.1517,-0.1441
3797,2013-02-01,Illinois,149486,0.0306,0.0259,-0.022,-0.0306
3848,2013-01-01,Illinois,145050,-0.0129,0.4024,0.1592,0.0315
3899,2012-12-01,Illinois,146950,-0.02,-0.1474,0.0572,0.0622
3950,2012-11-01,Illinois,149950,-0.004,-0.168,-0.149,0.0347
4001,2012-10-01,Illinois,150547,-0.029,-0.0137,0.0772,0.01
4052,2012-09-01,Illinois,155050,-0.0251,-0.0297,-0.0414,0.0363
4103,2012-08-01,Illinois,159050,-0.0056,-0.0856,0.006,0.0266
4154,2012-07-01,Illinois,159950,-0.0006,-0.0449,0.0151,0.0444
4205,2012-06-01,Illinois,160050,-0.0181,-0.0165,-0.0293,0.0112
4256,2012-05-01,Illinois,163000,0.0028,-0.0254,0.0965,-0.0481
