,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
15,2019-04-01,Indiana,199900,0.0527,0.2379,0.175,-0.1884
66,2019-03-01,Indiana,189900,0.0492,0.2099,0.0909,-0.1977
117,2019-02-01,Indiana,181000,0.0197,0.0528,0.0476,0.0361
168,2019-01-01,Indiana,177500,-0.0111,0.2064,0.3462,0.1216
219,2018-12-01,Indiana,179500,-0.0022,-0.3292,-0.2571,0.1563
270,2018-11-01,Indiana,179900,-0.0233,-0.1827,-0.0708,0.0667
321,2018-10-01,Indiana,184200,-0.0043,-0.0446,-0.1567,0.0714
372,2018-09-01,Indiana,185000,-0.0212,-0.0595,0.0469,0.0566
423,2018-08-01,Indiana,189000,-0.0047,-0.05,-0.1579,0.0816
474,2018-07-01,Indiana,189900,0.0,-0.0176,-0.0732,0.0426
525,2018-06-01,Indiana,189900,0.0026,0.0176,-0.1135,0.0
576,2018-05-01,Indiana,189400,0.0522,0.1546,0.2671,-0.1455
627,2018-04-01,Indiana,180000,0.0345,0.0791,0.0657,-0.1667
678,2018-03-01,Indiana,174000,0.0514,0.2226,0.4574,-0.2143
729,2018-02-01,Indiana,165500,0.0344,0.2741,-0.1532,-0.0345
780,2018-01-01,Indiana,160000,0.0,0.0214,0.1809,0.1154
831,2017-12-01,Indiana,160000,-0.0297,-0.2864,-0.0505,0.0986
882,2017-11-01,Indiana,164900,-0.0214,-0.0946,-0.3125,0.0597
933,2017-10-01,Indiana,168550,-0.0082,-0.0949,-0.1377,0.0551
984,2017-09-01,Indiana,169950,0.0,-0.1041,0.0373,0.0763
1035,2017-08-01,Indiana,169950,0.0,-0.0453,-0.0747,0.0536
1086,2017-07-01,Indiana,169950,0.0027,-0.0325,0.0058,0.0275
1137,2017-06-01,Indiana,169500,0.0092,0.0414,0.0359,-0.0091
1188,2017-05-01,Indiana,167950,0.0458,0.0454,-0.1302,-0.0833
1239,2017-04-01,Indiana,160590,0.053,0.0661,0.1779,-0.1111
1290,2017-03-01,Indiana,152500,0.0517,0.1856,0.2835,-0.2458
1341,2017-02-01,Indiana,145000,0.0361,0.1747,0.1545,-0.0272
1392,2017-01-01,Indiana,139950,-0.0247,0.2675,0.0,0.1084
1443,2016-12-01,Indiana,143500,-0.0107,-0.2813,-0.1129,0.0993
1494,2016-11-01,Indiana,145050,-0.0169,-0.1426,0.069,0.0486
1545,2016-10-01,Indiana,147550,0.0,-0.0836,-0.1145,0.0435
1596,2016-09-01,Indiana,147550,-0.0051,-0.0544,-0.0966,0.0455
1647,2016-08-01,Indiana,148300,-0.011,-0.0491,-0.1471,0.0645
1698,2016-07-01,Indiana,149950,0.0013,-0.0614,-0.0395,0.0333
1749,2016-06-01,Indiana,149750,0.0184,-0.0164,-0.1324,-0.0164
1800,2016-05-01,Indiana,147050,0.0504,0.0272,0.1792,-0.1029
1851,2016-04-01,Indiana,140000,0.0108,0.0465,0.0813,-0.1656
1902,2016-03-01,Indiana,138500,0.039,0.2499,-0.1753,-0.1931
1953,2016-02-01,Indiana,133300,0.0258,0.1662,0.6724,0.0
2004,2016-01-01,Indiana,129950,0.0,0.2087,-0.0492,0.0978
2055,2015-12-01,Indiana,129950,-0.0226,-0.2695,0.0,0.0698
2106,2015-11-01,Indiana,132950,-0.0148,-0.1208,-0.1644,0.0683
2157,2015-10-01,Indiana,134950,0.0,-0.0582,0.0735,0.0126
2208,2015-09-01,Indiana,134950,0.0,-0.1317,-0.0933,0.089
2259,2015-08-01,Indiana,134950,-0.0055,-0.0662,-0.0683,0.0815
2310,2015-07-01,Indiana,135700,-0.0066,-0.0771,0.0952,0.0887
2361,2015-06-01,Indiana,136600,0.0115,-0.0658,-0.0696,0.0
2412,2015-05-01,Indiana,135050,0.0082,0.0706,0.0395,-0.1507
2463,2015-04-01,Indiana,133949,0.0308,0.2257,0.1014,-0.2316
2514,2015-03-01,Indiana,129950,0.0396,0.1675,-0.1636,-0.0909
2565,2015-02-01,Indiana,125000,0.0004,0.0346,0.4602,-0.0188
2616,2015-01-01,Indiana,124950,0.0,0.3605,0.2151,0.0812
