,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
16,2019-04-01,Kansas,194800,0.053,0.2353,-0.125,-0.2235
67,2019-03-01,Kansas,185000,0.0452,0.185,0.4426,-0.0957
118,2019-02-01,Kansas,177000,0.0418,0.0504,-0.3579,0.0217
169,2019-01-01,Kansas,169900,-0.0122,0.2989,0.9792,0.1084
220,2018-12-01,Kansas,172000,-0.0407,-0.3265,-0.1724,0.137
271,2018-11-01,Kansas,179300,-0.0255,-0.1443,-0.3696,0.058
322,2018-10-01,Kansas,184000,-0.0054,0.015,0.3939,0.0455
373,2018-09-01,Kansas,185000,-0.0107,-0.0546,-0.2326,0.0645
424,2018-08-01,Kansas,187000,-0.0106,-0.0325,-0.0227,0.069
475,2018-07-01,Kansas,189000,-0.0016,-0.1446,-0.3333,0.0741
526,2018-06-01,Kansas,189300,0.0,0.0411,0.2941,0.0
577,2018-05-01,Kansas,189300,0.0523,0.0073,-0.1774,-0.0847
628,2018-04-01,Kansas,179900,0.0411,0.0634,0.6986,-0.1324
679,2018-03-01,Kansas,172800,0.028,0.3514,-0.1705,-0.2273
730,2018-02-01,Kansas,168100,0.0357,0.1335,0.1579,-0.0222
781,2018-01-01,Kansas,162300,-0.0043,0.1328,0.3571,0.0714
832,2017-12-01,Kansas,163000,-0.0406,-0.1849,-0.1884,0.1507
883,2017-11-01,Kansas,169900,0.0,-0.1289,-0.0921,0.0896
934,2017-10-01,Kansas,169950,0.0,-0.1275,-0.1739,0.0308
985,2017-09-01,Kansas,169950,-0.0004,-0.0052,0.3333,0.0117
1036,2017-08-01,Kansas,170025,-0.0287,-0.0805,-0.1375,0.0708
1087,2017-07-01,Kansas,175050,0.0,-0.0446,0.1111,0.0169
1138,2017-06-01,Kansas,175050,0.0,0.0402,-0.3455,0.0
1189,2017-05-01,Kansas,175050,0.0355,0.0091,0.5278,0.0172
1240,2017-04-01,Kansas,169050,0.0471,-0.0421,-0.2088,-0.0413
1291,2017-03-01,Kansas,161450,0.0689,0.2336,0.0341,-0.2798
1342,2017-02-01,Kansas,151050,0.01,0.2675,0.1892,-0.0769
1393,2017-01-01,Kansas,149549,-0.0027,0.3041,0.5745,0.1098
1444,2016-12-01,Kansas,149950,-0.0329,-0.2781,0.0444,0.1156
1495,2016-11-01,Kansas,155050,-0.0276,-0.0753,-0.3571,0.0652
1546,2016-10-01,Kansas,159450,-0.0031,-0.1008,-0.2308,0.0222
1597,2016-09-01,Kansas,159950,-0.0002,-0.0372,0.2133,0.0305
1648,2016-08-01,Kansas,159975,-0.0248,-0.0641,0.1364,0.0565
1699,2016-07-01,Kansas,164050,-0.0027,-0.0764,-0.0294,0.0248
1750,2016-06-01,Kansas,164500,0.0278,0.0417,0.0,0.0431
1801,2016-05-01,Kansas,160049,0.0003,-0.1078,-0.3761,0.0265
1852,2016-04-01,Kansas,160000,0.0373,0.0621,0.3625,-0.1439
1903,2016-03-01,Kansas,154250,0.0321,0.2345,-0.0588,-0.2667
1954,2016-02-01,Kansas,149450,0.0303,0.1931,0.0897,-0.0323
2005,2016-01-01,Kansas,145050,0.007,0.2813,0.6596,0.0941
2056,2015-12-01,Kansas,144048,-0.0368,-0.2055,-0.1296,0.1333
2107,2015-11-01,Kansas,149550,-0.003,-0.1584,-0.1563,0.0601
2158,2015-10-01,Kansas,149999,0.0003,-0.0697,-0.2558,0.0328
2209,2015-09-01,Kansas,149950,0.0,-0.0483,0.1944,0.0224
2260,2015-08-01,Kansas,149950,-0.017,-0.1861,-0.04,0.0308
2311,2015-07-01,Kansas,152550,-0.0142,-0.0832,-0.1573,0.0569
2362,2015-06-01,Kansas,154750,-0.027,0.0849,0.0349,0.0424
2413,2015-05-01,Kansas,159050,0.046,-0.0236,-0.0753,-0.0407
2464,2015-04-01,Kansas,152050,0.0154,0.1201,0.0333,-0.1087
2515,2015-03-01,Kansas,149750,0.0487,0.1767,0.0,-0.2775
2566,2015-02-01,Kansas,142800,0.02,0.1027,0.1688,-0.0155
2617,2015-01-01,Kansas,140000,-0.0004,0.3761,0.2833,0.0718
2668,2014-12-01,Kansas,140050,-0.0345,-0.2229,0.0345,0.1313
2719,2014-11-01,Kansas,145050,-0.0119,-0.1737,-0.3483,0.0458
2770,2014-10-01,Kansas,146800,0.0009,-0.108,0.2714,0.0479
2821,2014-09-01,Kansas,146675,-0.0093,0.0263,-0.0541,0.0139
2872,2014-08-01,Kansas,148050,-0.0127,-0.0997,-0.1685,0.0827
2923,2014-07-01,Kansas,149950,-0.0003,0.0104,0.2361,0.0726
2974,2014-06-01,Kansas,150000,0.0017,-0.0994,-0.191,0.0081
3026,2014-05-01,Kansas,149750,0.0342,-0.007,0.0988,-0.1087
3078,2014-04-01,Kansas,144800,0.0414,0.1543,-0.0357,-0.2333
3130,2014-03-01,Kansas,139050,0.0392,0.4008,0.1351,-0.1176
3181,2014-02-01,Kansas,133800,0.0128,-0.01,0.5417,0.0149
3233,2014-01-01,Kansas,132107,-0.0182,0.4205,0.2632,0.1167
3285,2013-12-01,Kansas,134550,-0.0055,-0.3127,-0.4648,0.1043
3337,2013-11-01,Kansas,135300,-0.0035,-0.1623,-0.0658,0.0316
3389,2013-10-01,Kansas,135775,-0.0158,-0.0061,-0.0256,0.0395
3441,2013-09-01,Kansas,137950,0.0047,-0.0744,-0.0127,0.078
3493,2013-08-01,Kansas,137300,-0.0034,-0.0773,0.0972,0.0368
3544,2013-07-01,Kansas,137775,0.0127,-0.0953,-0.2,0.0303
3595,2013-06-01,Kansas,136050,-0.0089,0.0364,-0.1892,-0.0149
3646,2013-05-01,Kansas,137275,0.009,0.0127,0.1809,-0.0694
3697,2013-04-01,Kansas,136050,0.0187,0.083,0.4688,-0.04
3748,2013-03-01,Kansas,133550,0.0275,0.0801,-0.1233,-0.2105
3799,2013-02-01,Kansas,129975,0.0017,0.0692,0.058,-0.0594
3850,2013-01-01,Kansas,129750,-0.0015,0.3448,0.0781,0.0632
3901,2012-12-01,Kansas,129950,-0.0114,-0.1233,0.561,0.0497
3952,2012-11-01,Kansas,131455,-0.0261,-0.0791,-0.3279,0.0226
4003,2012-10-01,Kansas,134975,-0.0187,-0.0929,-0.1029,0.0536
4054,2012-09-01,Kansas,137550,-0.0157,-0.0513,-0.0556,0.0435
4105,2012-08-01,Kansas,139750,-0.0014,-0.0479,-0.027,0.0063
4156,2012-07-01,Kansas,139950,-0.0007,-0.0486,0.1935,0.0526
4207,2012-06-01,Kansas,140050,-0.0158,-0.0137,-0.1948,0.034
4258,2012-05-01,Kansas,142300,0.0018,-0.0652,-0.0941,-0.02
