,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
17,2019-04-01,Kentucky,200000,0.0065,0.0695,0.0,-0.0946
68,2019-03-01,Kentucky,198700,0.0463,0.2441,0.0137,-0.2043
119,2019-02-01,Kentucky,189900,0.0032,-0.0804,0.0139,0.0109
170,2019-01-01,Kentucky,189300,-0.0032,0.362,-0.2174,0.0698
221,2018-12-01,Kentucky,189900,-0.0211,-0.2155,0.7692,0.1316
272,2018-11-01,Kentucky,194000,-0.0051,-0.1712,-0.3659,0.0857
323,2018-10-01,Kentucky,195000,0.0,-0.0349,-0.1087,0.0448
374,2018-09-01,Kentucky,195000,-0.0031,-0.1168,0.0,0.0308
425,2018-08-01,Kentucky,195600,-0.0081,0.0088,-0.1481,0.0484
476,2018-07-01,Kentucky,197200,0.0077,-0.0398,0.1739,0.0333
527,2018-06-01,Kentucky,195700,0.014,0.0507,-0.0417,-0.0323
578,2018-05-01,Kentucky,193000,0.0271,0.057,0.0909,-0.0606
629,2018-04-01,Kentucky,187900,0.0313,0.0694,-0.1927,-0.1538
680,2018-03-01,Kentucky,182200,0.019,0.1579,0.3293,-0.1875
731,2018-02-01,Kentucky,178800,0.0136,0.1823,-0.1458,0.0
782,2018-01-01,Kentucky,176400,-0.0028,0.1369,0.5,0.0909
833,2017-12-01,Kentucky,176900,-0.0167,-0.2415,-0.4074,0.1139
884,2017-11-01,Kentucky,179900,-0.0006,-0.1247,-0.0357,0.0533
935,2017-10-01,Kentucky,180050,-0.0067,-0.0369,0.4,0.0274
986,2017-09-01,Kentucky,181259,-0.0165,-0.0852,-0.3846,0.0429
1037,2017-08-01,Kentucky,184300,0.0014,-0.0415,0.1818,0.0448
1088,2017-07-01,Kentucky,184050,0.0003,-0.0379,0.1224,0.0152
1139,2017-06-01,Kentucky,184000,0.016,0.0435,-0.3194,-0.0222
1190,2017-05-01,Kentucky,181100,0.0346,0.0708,0.1613,-0.0493
1241,2017-04-01,Kentucky,175050,0.03,0.0217,-0.1842,-0.118
1292,2017-03-01,Kentucky,169950,0.03,0.157,0.2459,-0.1744
1343,2017-02-01,Kentucky,165000,0.0316,0.0756,0.2449,-0.025
1394,2017-01-01,Kentucky,159950,-0.0039,0.3278,0.1951,0.087
1445,2016-12-01,Kentucky,160584,-0.0265,-0.2425,-0.2264,0.0888
1496,2016-11-01,Kentucky,164950,-0.0006,-0.137,0.1277,0.0563
1547,2016-10-01,Kentucky,165050,0.0,-0.0746,-0.1132,0.0127
1598,2016-09-01,Kentucky,165050,0.0,-0.0708,0.191,0.0327
1649,2016-08-01,Kentucky,165050,-0.0288,-0.01,0.0114,0.0479
1700,2016-07-01,Kentucky,169950,0.0056,-0.0465,-0.0737,0.0504
1751,2016-06-01,Kentucky,169000,0.0239,-0.0518,-0.1204,0.0221
1802,2016-05-01,Kentucky,165050,0.0123,0.0091,-0.027,-0.0811
1853,2016-04-01,Kentucky,163050,0.0252,0.0739,-0.2071,-0.2043
1904,2016-03-01,Kentucky,159045,0.0298,0.275,0.3462,-0.1468
1955,2016-02-01,Kentucky,154450,0.0158,0.2355,0.4054,0.0093
2006,2016-01-01,Kentucky,152050,-0.0059,0.1345,-0.119,0.0693
2057,2015-12-01,Kentucky,152950,-0.0199,-0.2189,-0.16,0.1222
2108,2015-11-01,Kentucky,156050,-0.017,-0.1553,0.1236,0.0526
2159,2015-10-01,Kentucky,158750,-0.0075,-0.088,0.0723,0.0301
2210,2015-09-01,Kentucky,159950,0.0,-0.1278,-0.2455,0.0375
2261,2015-08-01,Kentucky,159950,0.0,-0.163,0.2644,0.0667
2312,2015-07-01,Kentucky,159950,0.0016,0.0378,-0.2162,0.0345
