,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
18,2019-04-01,Louisiana,229700,0.0209,-0.0114,0.0612,-0.1236
69,2019-03-01,Louisiana,225000,0.0045,0.1208,-0.1695,-0.11
120,2019-02-01,Louisiana,224000,0.0182,-0.0004,0.0826,-0.0196
171,2019-01-01,Louisiana,220000,0.0,0.4187,0.5571,0.0625
222,2018-12-01,Louisiana,220000,-0.0077,-0.1514,-0.0789,0.0667
273,2018-11-01,Louisiana,221700,-0.004,-0.1151,-0.2083,0.0345
324,2018-10-01,Louisiana,222600,-0.0102,-0.0185,0.0,0.0482
375,2018-09-01,Louisiana,224900,-0.0004,-0.0581,-0.2672,0.0375
426,2018-08-01,Louisiana,225000,0.0004,-0.0761,0.1491,0.0667
477,2018-07-01,Louisiana,224900,-0.0004,0.0365,0.2391,0.0274
528,2018-06-01,Louisiana,225000,0.0,-0.0924,-0.2397,0.0139
579,2018-05-01,Louisiana,225000,0.0112,0.0504,0.1,0.0
630,2018-04-01,Louisiana,222500,0.0183,-0.0388,-0.0678,-0.1429
681,2018-03-01,Louisiana,218500,0.0163,0.2052,0.3111,-0.125
732,2018-02-01,Louisiana,215000,0.0108,0.1273,0.1538,0.0
783,2018-01-01,Louisiana,212700,-0.0028,0.1568,-0.093,0.0787
834,2017-12-01,Louisiana,213300,-0.0079,-0.1908,-0.0227,0.0723
885,2017-11-01,Louisiana,215000,0.0,0.0023,0.0476,0.0122
936,2017-10-01,Louisiana,215050,-0.0095,-0.0059,0.1507,0.025
987,2017-09-01,Louisiana,217105,-0.0018,-0.0285,-0.2626,0.0596
1038,2017-08-01,Louisiana,217500,-0.0071,-0.0679,0.375,0.0067
1089,2017-07-01,Louisiana,219050,-0.0032,0.0435,-0.4545,0.0135
1140,2017-06-01,Louisiana,219750,0.0101,-0.1002,0.1379,0.0137
1191,2017-05-01,Louisiana,217550,0.0121,0.0321,-0.0333,-0.0135
1242,2017-04-01,Louisiana,214950,0.0322,0.0088,0.1215,-0.0513
1293,2017-03-01,Louisiana,208250,0.041,0.1007,0.507,-0.1333
1344,2017-02-01,Louisiana,200049,0.0,0.0388,-0.0139,-0.0625
1395,2017-01-01,Louisiana,200049,0.0,0.2517,0.2,0.0549
1446,2016-12-01,Louisiana,200050,-0.0244,-0.0717,-0.0769,0.052
1497,2016-11-01,Louisiana,205050,-0.0097,-0.1151,-0.3085,0.0176
1548,2016-10-01,Louisiana,207050,-0.006,0.0014,0.1325,0.0494
1599,2016-09-01,Louisiana,208300,0.0014,-0.0157,-0.443,0.0519
1650,2016-08-01,Louisiana,208000,-0.005,-0.0913,0.5851,0.0132
1701,2016-07-01,Louisiana,209050,-0.0046,0.0241,0.0444,0.0
1752,2016-06-01,Louisiana,210020,0.0042,-0.0507,-0.2105,0.0133
1803,2016-05-01,Louisiana,209150,0.0335,0.0503,0.0179,-0.0132
1854,2016-04-01,Louisiana,202378,0.0144,0.0157,0.0874,-0.0318
1905,2016-03-01,Louisiana,199500,0.0207,-0.0418,0.0098,-0.1649
1956,2016-02-01,Louisiana,195450,0.0151,0.0898,0.5455,-0.0208
2007,2016-01-01,Louisiana,192550,0.0137,0.3851,0.1,0.0492
2058,2015-12-01,Louisiana,189950,0.0,-0.1707,-0.2308,0.0893
2109,2015-11-01,Louisiana,189950,0.0,-0.1075,-0.1034,0.05
2160,2015-10-01,Louisiana,189950,0.0,-0.0951,-0.044,0.039
