,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
19,2019-04-01,Massachusetts,499000,0.031,0.3709,0.0667,-0.2308
70,2019-03-01,Massachusetts,484000,0.042,0.4225,-0.0909,-0.3158
121,2019-02-01,Massachusetts,464500,0.0325,0.0656,0.125,-0.0732
172,2019-01-01,Massachusetts,449900,-0.0002,0.4989,0.5172,0.1233
223,2018-12-01,Massachusetts,450000,-0.0207,-0.4458,-0.1471,0.2373
274,2018-11-01,Massachusetts,459500,-0.0108,-0.2462,-0.2842,0.1346
325,2018-10-01,Massachusetts,464500,0.0098,-0.1015,-0.246,-0.0189
376,2018-09-01,Massachusetts,460000,0.0,0.0794,-0.0308,0.0
427,2018-08-01,Massachusetts,460000,-0.0316,0.0429,-0.058,0.1522
478,2018-07-01,Massachusetts,475000,-0.0104,-0.2946,-0.035,0.2105
529,2018-06-01,Massachusetts,480000,-0.0052,0.0325,-0.0069,0.1176
580,2018-05-01,Massachusetts,482500,0.0073,0.1257,-0.0526,-0.15
631,2018-04-01,Massachusetts,479000,0.0312,0.3178,0.434,-0.1667
682,2018-03-01,Massachusetts,464500,0.0345,0.2995,-0.1846,-0.3924
733,2018-02-01,Massachusetts,449000,0.0263,0.4048,0.5116,-0.092
784,2018-01-01,Massachusetts,437500,0.0057,0.3393,-0.14,0.1757
835,2017-12-01,Massachusetts,435000,-0.0301,-0.4479,-0.0291,0.2131
886,2017-11-01,Massachusetts,448500,0.0065,-0.2264,-0.3224,0.0893
937,2017-10-01,Massachusetts,445688,0.0014,-0.1521,0.0556,-0.0345
988,2017-09-01,Massachusetts,445050,0.0011,0.1576,0.0286,-0.0252
1039,2017-08-01,Massachusetts,444550,-0.012,0.0265,-0.1139,0.1019
1090,2017-07-01,Massachusetts,449950,0.0,-0.2927,-0.0186,0.1868
1141,2017-06-01,Massachusetts,449950,0.0,-0.0473,-0.0747,0.0706
1192,2017-05-01,Massachusetts,449950,0.002,0.0751,0.2254,-0.0761
1243,2017-04-01,Massachusetts,449050,0.0334,0.3239,-0.034,-0.2137
1294,2017-03-01,Massachusetts,434550,0.0353,0.3671,0.0576,-0.3237
1345,2017-02-01,Massachusetts,419750,0.0495,0.1645,0.3365,-0.0798
1396,2017-01-01,Massachusetts,399950,-0.0125,0.3166,-0.1405,0.1325
1447,2016-12-01,Massachusetts,405000,-0.0242,-0.3293,-0.1295,0.1942
1498,2016-11-01,Massachusetts,415050,-0.0117,-0.2609,-0.0071,0.053
1549,2016-10-01,Massachusetts,419950,0.0011,-0.1819,0.0448,-0.0571
1600,2016-09-01,Massachusetts,419500,0.0029,0.2317,-0.0563,0.0294
1651,2016-08-01,Massachusetts,418300,0.0226,-0.0749,-0.0658,0.1148
1702,2016-07-01,Massachusetts,409050,0.0022,-0.2503,-0.1958,0.1296
1753,2016-06-01,Massachusetts,408150,0.0205,-0.1058,0.1524,0.0385
1804,2016-05-01,Massachusetts,399950,0.0023,0.1778,0.025,-0.0095
1855,2016-04-01,Massachusetts,399050,0.0298,0.0545,0.0127,-0.2164
1906,2016-03-01,Massachusetts,387500,0.0474,0.5689,0.188,-0.3093
1957,2016-02-01,Massachusetts,369950,0.0278,0.1181,-0.0075,0.0
2008,2016-01-01,Massachusetts,359950,-0.0193,0.463,0.1261,0.1023
2059,2015-12-01,Massachusetts,367049,-0.0173,-0.3934,0.266,0.1733
2110,2015-11-01,Massachusetts,373500,-0.0041,-0.2378,-0.3517,0.0309
