,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
20,2019-04-01,Maryland,335000,0.0311,0.1747,0.1846,-0.2295
71,2019-03-01,Maryland,324900,0.039,0.3553,-0.0714,-0.2375
122,2019-02-01,Maryland,312700,0.0087,0.1721,0.1111,-0.0361
173,2019-01-01,Maryland,310000,-0.0127,0.1153,0.1667,0.1216
224,2018-12-01,Maryland,314000,-0.0264,-0.2515,-0.0442,0.1385
275,2018-11-01,Maryland,322500,-0.0077,-0.1663,-0.1472,0.0656
326,2018-10-01,Maryland,325000,0.0,-0.028,-0.1107,0.0167
377,2018-09-01,Maryland,325000,-0.0137,-0.0062,0.0758,0.0345
428,2018-08-01,Maryland,329500,-0.0164,-0.1173,-0.0767,0.0943
479,2018-07-01,Maryland,335000,0.0075,-0.0184,-0.1597,0.0816
530,2018-06-01,Maryland,332500,0.014,-0.0284,0.0562,0.0426
581,2018-05-01,Maryland,327900,0.0092,-0.0539,-0.1289,0.0217
632,2018-04-01,Maryland,324900,0.0252,0.1238,0.2516,-0.1481
683,2018-03-01,Maryland,316900,0.0563,0.3316,0.0839,-0.325
734,2018-02-01,Maryland,300000,0.0003,0.2701,0.04,-0.0698
785,2018-01-01,Maryland,299900,0.0,0.1624,0.2277,0.1316
836,2017-12-01,Maryland,299900,-0.0326,-0.3536,-0.0468,0.0556
887,2017-11-01,Maryland,310000,-0.019,-0.1078,-0.0524,0.0909
938,2017-10-01,Maryland,316040,-0.0071,-0.0044,-0.0849,0.0313
989,2017-09-01,Maryland,318300,0.0041,0.026,-0.123,0.0756
1040,2017-08-01,Maryland,317000,-0.0247,-0.0668,0.5,0.0085
1091,2017-07-01,Maryland,325040,0.0003,-0.0459,-0.1825,0.1028
1142,2017-06-01,Maryland,324950,0.0153,-0.0575,-0.1,0.07
1193,2017-05-01,Maryland,320044,0.0159,-0.0285,0.0606,-0.0196
1244,2017-04-01,Maryland,315050,0.0502,0.0846,0.0518,-0.1282
1295,2017-03-01,Maryland,299999,0.0309,0.2721,0.201,-0.3036
1346,2017-02-01,Maryland,291000,0.0067,0.2739,-0.164,-0.0769
1397,2017-01-01,Maryland,289050,-0.0033,0.1906,0.269,0.0964
1448,2016-12-01,Maryland,290000,-0.0317,-0.2603,-0.0437,0.1067
1499,2016-11-01,Maryland,299500,-0.0015,-0.1431,-0.0721,0.0135
1550,2016-10-01,Maryland,299950,0.0,-0.019,-0.0306,0.0137
1601,2016-09-01,Maryland,299950,0.0,0.0153,-0.0418,0.0429
1652,2016-08-01,Maryland,299950,0.0,-0.1084,-0.0363,0.0938
1703,2016-07-01,Maryland,299950,-0.0003,-0.1037,0.0164,0.0756
1754,2016-06-01,Maryland,300044,0.0003,-0.0327,-0.0615,0.1019
1805,2016-05-01,Maryland,299950,0.022,-0.0968,-0.037,-0.027
1856,2016-04-01,Maryland,293500,0.0445,0.096,0.0588,-0.2649
1907,2016-03-01,Maryland,281000,0.0409,0.4554,0.0408,-0.2374
1958,2016-02-01,Maryland,269950,0.0118,0.3689,0.056,0.0421
2009,2016-01-01,Maryland,266795,-0.0173,-0.0366,0.1959,0.0795
2060,2015-12-01,Maryland,271500,-0.0302,-0.2567,-0.2114,0.1282
2111,2015-11-01,Maryland,279950,-0.0179,-0.1467,-0.0752,0.04
2162,2015-10-01,Maryland,285050,-0.0169,-0.0606,0.0472,-0.0066
2213,2015-09-01,Maryland,289950,0.0015,0.0291,-0.0231,0.0342
2264,2015-08-01,Maryland,289526,-0.0015,-0.2158,0.0039,0.0977
2315,2015-07-01,Maryland,289950,0.0,-0.0075,-0.0616,0.1083
2366,2015-06-01,Maryland,289950,-0.0003,-0.082,0.0952,0.0909
2417,2015-05-01,Maryland,290049,0.0193,-0.0297,-0.1032,-0.1538
2468,2015-04-01,Maryland,284550,0.0349,0.2515,0.0725,-0.2697
2519,2015-03-01,Maryland,274950,0.0374,0.2964,0.1696,-0.1144
2570,2015-02-01,Maryland,265050,0.0023,0.0251,-0.104,0.0
2621,2015-01-01,Maryland,264450,-0.0205,0.2529,0.0823,0.0984
2672,2014-12-01,Maryland,269975,-0.0356,-0.227,-0.0685,0.1296
2723,2014-11-01,Maryland,279950,-0.029,-0.1281,-0.0388,0.0318
2774,2014-10-01,Maryland,288300,-0.0057,-0.0621,-0.048,0.0
2825,2014-09-01,Maryland,289950,0.0354,0.038,-0.1086,0.0064
2876,2014-08-01,Maryland,280050,-0.0165,-0.0299,-0.0225,0.0759
2927,2014-07-01,Maryland,284750,0.006,-0.143,0.0032,0.1154
2978,2014-06-01,Maryland,283050,0.0295,-0.016,-0.146,-0.078
3030,2014-05-01,Maryland,274950,0.0193,-0.0384,-0.0522,-0.1242
3082,2014-04-01,Maryland,269750,0.0334,0.326,0.3207,-0.2682
3134,2014-03-01,Maryland,261040,0.0357,0.2684,0.0507,-0.0476
3185,2014-02-01,Maryland,252050,0.008,0.0539,-0.1834,0.05
3237,2014-01-01,Maryland,250050,-0.0118,0.416,0.2612,0.0891
3289,2013-12-01,Maryland,253040,-0.0268,-0.3613,-0.2024,0.116
3341,2013-11-01,Maryland,260000,-0.0209,-0.0829,-0.0795,0.0343
3393,2013-10-01,Maryland,265549,-0.013,-0.0503,0.0928,-0.0057
3445,2013-09-01,Maryland,269050,0.0058,-0.0242,-0.0592,0.0233
3497,2013-08-01,Maryland,267500,-0.0082,-0.0821,0.0028,0.0818
3548,2013-07-01,Maryland,269721,0.0025,0.0143,-0.0829,0.1042
3599,2013-06-01,Maryland,269050,0.0153,-0.082,-0.1187,0.0588
3650,2013-05-01,Maryland,265000,0.0292,-0.0383,-0.1187,-0.0685
3701,2013-04-01,Maryland,257490,0.0302,0.1845,0.2181,-0.2396
3752,2013-03-01,Maryland,249950,0.0337,0.2091,0.193,-0.2099
3803,2013-02-01,Maryland,241800,0.0097,0.1193,0.2347,-0.0122
3854,2013-01-01,Maryland,239467,-0.0024,0.3527,-0.0107,0.0513
3905,2012-12-01,Maryland,240045,-0.0362,-0.1597,0.2174,0.0308
3956,2012-11-01,Maryland,249050,-0.0036,-0.1721,-0.2256,0.0225
4007,2012-10-01,Maryland,249950,-0.0004,-0.0956,0.1336,0.0183
4058,2012-09-01,Maryland,250050,0.0,0.0459,0.0116,0.0332
4109,2012-08-01,Maryland,250049,0.0,-0.0049,0.0117,0.099
4160,2012-07-01,Maryland,250050,-0.0194,-0.1162,-0.1263,0.0787
4211,2012-06-01,Maryland,254993,0.0182,-0.0262,-0.0298,0.0289
4262,2012-05-01,Maryland,250442,0.0018,-0.1579,-0.1039,-0.0389
