,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
21,2019-04-01,Maine,249500,0.0184,0.2869,0.3636,-0.0915
72,2019-03-01,Maine,245000,0.0251,0.329,0.1,0.0314
123,2019-02-01,Maine,239000,0.0,0.1957,0.6667,0.0671
174,2019-01-01,Maine,239000,-0.0038,0.1995,0.0,0.1288
225,2018-12-01,Maine,239900,-0.0208,-0.4025,-0.4545,0.1092
276,2018-11-01,Maine,245000,-0.0069,-0.2191,-0.4211,0.1019
327,2018-10-01,Maine,246700,0.0033,-0.192,-0.1364,0.125
378,2018-09-01,Maine,245900,-0.0124,-0.1446,0.0732,0.1294
429,2018-08-01,Maine,249000,0.0,-0.0839,0.1389,0.1333
480,2018-07-01,Maine,249000,0.0081,-0.0931,0.0,0.0
531,2018-06-01,Maine,247000,0.0207,-0.0106,-0.3898,-0.2574
582,2018-05-01,Maine,242000,0.0298,0.4272,0.18,-0.3804
633,2018-04-01,Maine,235000,0.024,0.2539,0.5152,-0.0578
684,2018-03-01,Maine,229500,0.02,0.4119,0.5,0.0298
735,2018-02-01,Maine,225000,0.0,0.0966,-0.0435,0.0701
786,2018-01-01,Maine,225000,-0.0175,0.2185,-0.0417,0.1056
837,2017-12-01,Maine,229000,-0.0039,-0.301,-0.3514,0.136
888,2017-11-01,Maine,229900,-0.0217,-0.2786,-0.119,0.0684
939,2017-10-01,Maine,235050,0.0,-0.1813,-0.0455,0.1471
990,2017-09-01,Maine,235050,0.0,-0.144,-0.0638,0.1271
1041,2017-08-01,Maine,235050,-0.0125,-0.0837,0.119,0.0904
1092,2017-07-01,Maine,238022,0.0084,-0.0673,-0.1765,-0.0568
1143,2017-06-01,Maine,236050,0.0153,-0.0762,0.3421,-0.2511
1194,2017-05-01,Maine,232500,0.0331,0.4939,-0.1739,-0.3247
1245,2017-04-01,Maine,225050,0.0253,0.2427,-0.0213,-0.0333
1296,2017-03-01,Maine,219500,0.0209,0.3615,-0.1455,0.0286
1347,2017-02-01,Maine,215000,0.0187,0.0647,1.1154,0.0542
1398,2017-01-01,Maine,211050,-0.0248,0.2554,-0.1333,0.0885
1449,2016-12-01,Maine,216413,-0.021,-0.2649,0.1111,0.0893
1500,2016-11-01,Maine,221050,-0.0178,-0.2367,-0.2895,0.0938
1551,2016-10-01,Maine,225049,0.0002,-0.1943,-0.1163,0.0894
1602,2016-09-01,Maine,224999,0.0049,-0.0684,0.1622,0.093
1653,2016-08-01,Maine,223900,0.0175,-0.0763,-0.0263,0.075
1704,2016-07-01,Maine,220050,0.0023,-0.1637,-0.0952,-0.0196
1755,2016-06-01,Maine,219555,0.021,-0.0502,-0.125,-0.2154
1806,2016-05-01,Maine,215050,0.0386,0.1638,0.0213,-0.2635
1857,2016-04-01,Maine,207050,0.0378,0.2052,0.093,-0.0561
1908,2016-03-01,Maine,199500,0.0073,0.4974,0.2286,0.0081
1959,2016-02-01,Maine,198050,0.0028,0.0599,0.75,0.0785
2010,2016-01-01,Maine,197500,-0.0123,0.259,-0.4118,0.0852
2061,2015-12-01,Maine,199950,-0.0244,-0.333,0.0625,0.1084
2112,2015-11-01,Maine,204950,-0.0243,-0.1465,-0.1351,0.1128
2163,2015-10-01,Maine,210050,-0.0223,-0.1565,-0.0976,0.1126
2214,2015-09-01,Maine,214850,-0.0005,-0.1753,-0.1458,0.1436
2265,2015-08-01,Maine,214956,0.0187,-0.1903,0.2973,0.0521
2316,2015-07-01,Maine,211000,0.0045,-0.1649,-0.3621,-0.09
2367,2015-06-01,Maine,210050,0.0199,-0.0087,0.1154,-0.3528
2418,2015-05-01,Maine,205950,0.0323,0.2782,0.5294,-0.1891
2469,2015-04-01,Maine,199500,0.0223,0.4461,-0.15,-0.0147
2520,2015-03-01,Maine,195150,-0.0019,0.2955,0.6,0.0794
2571,2015-02-01,Maine,195525,-0.0121,-0.1572,-0.2857,0.0678
2622,2015-01-01,Maine,197925,-0.0057,0.5768,1.5,0.131
2673,2014-12-01,Maine,199050,-0.0045,-0.2752,-0.5882,0.0944
2724,2014-11-01,Maine,199950,-0.0141,-0.187,-0.1905,0.1042
2775,2014-10-01,Maine,202800,-0.0107,-0.18,0.0769,0.1068
2826,2014-09-01,Maine,205000,-0.0147,-0.1229,-0.3276,0.1359
2877,2014-08-01,Maine,208050,-0.0023,-0.0986,0.2609,0.0785
2928,2014-07-01,Maine,208525,0.0071,-0.0915,-0.1786,-0.0354
2979,2014-06-01,Maine,207050,0.035,-0.0968,0.1429,-0.2929
3031,2014-05-01,Maine,200049,0.0015,0.3062,-0.2222,-0.2222
3083,2014-04-01,Maine,199750,0.006,0.2902,0.5,-0.0374
3135,2014-03-01,Maine,198550,0.0248,0.3086,0.2353,0.0418
3186,2014-02-01,Maine,193750,0.0023,0.1077,0.0625,0.0559
3238,2014-01-01,Maine,193300,-0.0225,0.4627,0.1429,0.0897
3290,2013-12-01,Maine,197750,-0.0065,-0.4008,-0.2432,0.1025
3342,2013-11-01,Maine,199050,-0.0045,-0.1615,-0.0263,0.0885
3394,2013-10-01,Maine,199950,0.0,-0.067,0.0556,0.1017
3446,2013-09-01,Maine,199950,-0.0005,-0.1445,-0.2174,0.0977
3498,2013-08-01,Maine,200049,-0.0031,-0.0819,-0.098,0.0539
3549,2013-07-01,Maine,200675,0.0031,-0.0947,0.1087,-0.0467
3600,2013-06-01,Maine,200050,0.0005,-0.0792,-0.0612,-0.2246
3651,2013-05-01,Maine,199950,0.001,0.2268,-0.02,-0.2438
3702,2013-04-01,Maine,199750,0.0035,0.2585,0.3158,-0.0593
3753,2013-03-01,Maine,199050,0.0205,0.2961,-0.0256,0.0211
3804,2013-02-01,Maine,195050,0.0005,0.0152,0.3,0.0411
3855,2013-01-01,Maine,194950,-0.0181,0.2319,0.3636,0.0735
3906,2012-12-01,Maine,198550,-0.0038,0.0126,-0.12,0.0968
3957,2012-11-01,Maine,199300,-0.0033,-0.2258,-0.375,0.0764
4008,2012-10-01,Maine,199950,0.0,-0.1432,-0.0909,0.0909
4059,2012-09-01,Maine,199950,-0.0002,-0.1367,-0.0638,0.1
4110,2012-08-01,Maine,199999,-0.0246,-0.0996,0.3824,0.0435
4161,2012-07-01,Maine,205050,0.025,-0.0736,0.0303,-0.0688
4212,2012-06-01,Maine,200050,0.0,-0.0315,-0.2667,-0.1767
4263,2012-05-01,Maine,200050,0.0003,0.01,0.0227,-0.1585
