,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
22,2019-04-01,Michigan,219900,0.0527,0.2062,0.1471,-0.2436
73,2019-03-01,Michigan,208900,0.0713,0.3365,0.0099,-0.1702
124,2019-02-01,Michigan,195000,0.0269,-0.0415,0.0359,0.0682
175,2019-01-01,Michigan,189900,-0.0068,0.2082,0.0372,0.1
226,2018-12-01,Michigan,191200,-0.0343,-0.3064,-0.0157,0.1765
277,2018-11-01,Michigan,198000,-0.0095,-0.1507,-0.0905,0.0462
328,2018-10-01,Michigan,199900,0.0,-0.0671,-0.1667,0.1818
379,2018-09-01,Michigan,199900,-0.0206,-0.1435,-0.0836,0.0377
430,2018-08-01,Michigan,204100,-0.0276,-0.0447,0.335,0.0392
481,2018-07-01,Michigan,209900,0.0,0.009,-0.2167,0.1087
532,2018-06-01,Michigan,209900,0.0365,0.0281,-0.1933,-0.098
583,2018-05-01,Michigan,202500,0.0279,0.2631,0.2636,-0.1774
634,2018-04-01,Michigan,197000,0.08,0.0987,-0.0115,-0.2706
685,2018-03-01,Michigan,182400,0.0423,0.366,0.0116,-0.1414
736,2018-02-01,Michigan,175000,0.03,0.0522,-0.0264,0.0313
787,2018-01-01,Michigan,169900,-0.0064,0.1498,0.6159,0.1034
838,2017-12-01,Michigan,171000,-0.0312,-0.2792,-0.2545,0.1154
889,2017-11-01,Michigan,176500,-0.0189,-0.1907,-0.2199,0.0833
940,2017-10-01,Michigan,179950,-0.0115,-0.1044,-0.0035,0.0992
991,2017-09-01,Michigan,182050,-0.0157,-0.1493,0.0,0.0826
1042,2017-08-01,Michigan,184950,-0.0005,-0.0066,-0.0752,0.0614
1093,2017-07-01,Michigan,185050,0.0,-0.0315,0.1461,0.0755
1144,2017-06-01,Michigan,185050,0.0283,-0.0113,-0.1958,-0.0619
1195,2017-05-01,Michigan,179950,0.0286,0.2901,0.1293,-0.1691
1246,2017-04-01,Michigan,174950,0.0517,0.0527,-0.0068,-0.2184
1297,2017-03-01,Michigan,166350,0.0562,0.1838,-0.0166,-0.1714
1348,2017-02-01,Michigan,157500,0.0297,0.1794,0.2336,0.0194
1399,2017-01-01,Michigan,152950,-0.0135,0.1844,0.3407,0.0842
1450,2016-12-01,Michigan,155050,-0.0306,-0.2887,-0.1911,0.0857
1501,2016-11-01,Michigan,159950,-0.0006,-0.1817,-0.1071,0.0671
1552,2016-10-01,Michigan,160050,-0.0244,-0.0629,-0.0195,0.0581
1603,2016-09-01,Michigan,164050,-0.0061,-0.1132,-0.1376,0.0993
1654,2016-08-01,Michigan,165050,0.0,-0.0834,0.0276,0.1016
1705,2016-07-01,Michigan,165050,0.0,-0.056,-0.0492,0.0667
1756,2016-06-01,Michigan,165050,0.0006,-0.0434,-0.1335,-0.0476
1807,2016-05-01,Michigan,164950,0.0381,0.1024,-0.014,-0.1818
1858,2016-04-01,Michigan,158900,0.0463,0.1974,0.1591,-0.1492
1909,2016-03-01,Michigan,151875,0.0435,0.1534,0.0336,-0.1422
1960,2016-02-01,Michigan,145550,0.0041,0.0427,-0.0067,0.0243
2011,2016-01-01,Michigan,144950,-0.0021,0.1549,0.3825,0.0899
2062,2015-12-01,Michigan,145250,-0.0313,-0.2246,-0.2465,0.0862
2113,2015-11-01,Michigan,149950,0.0,-0.1984,-0.1377,0.0807
2164,2015-10-01,Michigan,149950,-0.004,-0.0177,-0.0118,0.0592
2215,2015-09-01,Michigan,150550,-0.0257,-0.135,0.1192,0.1014
2266,2015-08-01,Michigan,154525,-0.0027,-0.1607,-0.2296,0.0866
2317,2015-07-01,Michigan,154950,0.0004,-0.0402,0.1073,0.1043
2368,2015-06-01,Michigan,154890,0.0329,-0.0092,0.0114,0.0088
2419,2015-05-01,Michigan,149950,0.0128,0.1019,-0.0223,-0.24
2470,2015-04-01,Michigan,148050,0.0579,0.2748,0.0848,-0.2424
2521,2015-03-01,Michigan,139950,0.016,0.242,0.1498,-0.0435
2572,2015-02-01,Michigan,137750,0.0166,-0.0792,0.0106,0.0455
2623,2015-01-01,Michigan,135500,-0.0142,0.2648,0.2622,0.0532
