,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
23,2019-04-01,Minnesota,299900,0.0166,0.4102,0.3837,-0.2308
74,2019-03-01,Minnesota,295000,0.0592,0.1297,0.1467,-0.2529
125,2019-02-01,Minnesota,278500,0.0288,0.172,-0.0132,-0.0645
176,2019-01-01,Minnesota,270700,0.0215,0.4864,0.2258,0.1772
227,2018-12-01,Minnesota,265000,-0.0163,-0.358,-0.2346,0.197
278,2018-11-01,Minnesota,269400,-0.0096,-0.251,-0.0795,0.1186
329,2018-10-01,Minnesota,272000,-0.0105,-0.1801,-0.3529,0.0727
380,2018-09-01,Minnesota,274900,-0.0004,-0.1484,0.1057,0.0577
431,2018-08-01,Minnesota,275000,-0.009,-0.04,-0.25,0.1304
482,2018-07-01,Minnesota,277500,-0.0086,-0.0224,0.0,0.0455
533,2018-06-01,Minnesota,279900,0.0,-0.0516,0.0861,-0.0222
584,2018-05-01,Minnesota,279900,0.0,0.2867,0.0634,-0.1176
635,2018-04-01,Minnesota,279900,0.005,0.0761,-0.0658,-0.1053
686,2018-03-01,Minnesota,278500,0.0589,0.2535,0.078,-0.3372
737,2018-02-01,Minnesota,263000,0.0314,0.3966,0.1016,-0.0947
788,2018-01-01,Minnesota,255000,0.0204,0.3769,0.2549,0.0674
839,2017-12-01,Minnesota,249900,0.0,-0.3005,-0.0377,0.2192
890,2017-11-01,Minnesota,249900,-0.0004,-0.3669,-0.0185,0.1061
941,2017-10-01,Minnesota,250050,0.0,-0.0778,-0.0769,0.0732
992,2017-09-01,Minnesota,250050,-0.0167,-0.1376,-0.1986,0.0424
1043,2017-08-01,Minnesota,254300,-0.0183,-0.016,0.0282,0.0727
1094,2017-07-01,Minnesota,259050,-0.0037,-0.111,-0.0658,0.1111
1145,2017-06-01,Minnesota,260000,0.0002,-0.0466,0.0411,0.0532
1196,2017-05-01,Minnesota,259950,0.0,0.0867,-0.1512,-0.0408
1247,2017-04-01,Minnesota,259950,0.0293,0.1155,0.2741,-0.1327
1298,2017-03-01,Minnesota,252550,0.0412,0.3384,0.0547,-0.3892
1349,2017-02-01,Minnesota,242550,0.0498,0.4027,0.3617,-0.0842
1400,2017-01-01,Minnesota,231050,0.0048,0.3784,0.3056,0.1099
1451,2016-12-01,Minnesota,229950,-0.0194,-0.3225,-0.2871,0.1519
1502,2016-11-01,Minnesota,234500,-0.0023,-0.3002,-0.0982,0.0972
1553,2016-10-01,Minnesota,235050,0.0,-0.079,-0.1181,0.0667
1604,2016-09-01,Minnesota,235050,-0.0019,-0.1008,-0.0305,0.0465
1655,2016-08-01,Minnesota,235500,0.0019,-0.0533,-0.0903,0.075
