,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
24,2019-04-01,Missouri,199900,0.0257,0.1561,-0.0989,-0.1899
75,2019-03-01,Missouri,194900,0.0263,0.308,0.3582,-0.1771
126,2019-02-01,Missouri,189900,0.0171,0.0564,0.1074,0.0213
177,2019-01-01,Missouri,186700,-0.0116,0.1996,0.8906,0.093
228,2018-12-01,Missouri,188900,-0.0053,-0.2305,-0.2727,0.1781
279,2018-11-01,Missouri,189900,0.0,-0.1742,-0.2,0.0429
330,2018-10-01,Missouri,189900,-0.0005,-0.0589,-0.1791,0.0606
381,2018-09-01,Missouri,190000,0.0005,-0.0885,-0.141,0.082
432,2018-08-01,Missouri,189900,-0.0109,-0.0694,0.1143,0.0339
483,2018-07-01,Missouri,192000,0.0105,-0.0169,-0.2,0.0536
534,2018-06-01,Missouri,190000,0.0005,0.0107,-0.359,-0.0175
585,2018-05-01,Missouri,189900,0.0128,0.0136,0.0664,-0.0339
636,2018-04-01,Missouri,187500,0.0422,0.0624,0.4971,-0.1194
687,2018-03-01,Missouri,179900,0.0204,0.2548,0.0491,-0.2637
738,2018-02-01,Missouri,176300,0.008,0.2218,-0.0578,-0.0215
789,2018-01-01,Missouri,174900,0.011,0.1464,0.291,0.0814
840,2017-12-01,Missouri,173000,-0.0114,-0.2463,0.1964,0.1467
891,2017-11-01,Missouri,175000,-0.0113,-0.0787,-0.1642,0.0135
942,2017-10-01,Missouri,177049,-0.0014,-0.0968,-0.1067,0.0882
993,2017-09-01,Missouri,177300,-0.0067,-0.0684,0.0274,0.0462
1044,2017-08-01,Missouri,178500,-0.0081,-0.0992,-0.1098,0.0317
1095,2017-07-01,Missouri,179950,0.0,0.0092,-0.0061,0.0161
1146,2017-06-01,Missouri,179950,0.0054,-0.0083,0.1379,0.0248
1197,2017-05-01,Missouri,178987,0.0269,0.0448,-0.0068,-0.0082
1248,2017-04-01,Missouri,174295,0.0465,0.0284,-0.0135,-0.1223
1299,2017-03-01,Missouri,166550,0.0413,0.1104,-0.2525,-0.2606
1350,2017-02-01,Missouri,159950,0.012,0.3806,0.2532,-0.0309
1401,2017-01-01,Missouri,158050,-0.0078,0.1879,0.5192,0.1023
1452,2016-12-01,Missouri,159300,-0.0044,-0.2494,-0.0957,0.0667
1503,2016-11-01,Missouri,159999,-0.0003,-0.1137,-0.3235,0.0313
1554,2016-10-01,Missouri,160050,0.0003,-0.071,0.0897,0.0127
1605,2016-09-01,Missouri,160000,0.0,-0.0262,0.4054,0.0464
1656,2016-08-01,Missouri,160000,-0.012,-0.0677,-0.4764,0.0342
1707,2016-07-01,Missouri,161950,-0.0182,-0.0492,0.0047,0.0977
1758,2016-06-01,Missouri,164950,0.0,-0.048,0.1344,0.0231
1809,2016-05-01,Missouri,164950,0.0313,-0.0647,-0.1696,-0.0076
1860,2016-04-01,Missouri,159950,0.0319,0.0805,-0.0549,-0.1088
1911,2016-03-01,Missouri,155000,0.0337,0.1909,0.896,-0.265
1962,2016-02-01,Missouri,149950,0.006,0.1835,-0.4104,-0.0196
2013,2016-01-01,Missouri,149050,-0.003,0.4116,0.8435,0.0681
2064,2015-12-01,Missouri,149500,-0.003,-0.2532,-0.1418,0.0977
2115,2015-11-01,Missouri,149950,-0.0007,-0.1766,-0.0219,0.0482
2166,2015-10-01,Missouri,150050,0.0,-0.1089,0.1048,0.0
2217,2015-09-01,Missouri,150050,0.0,-0.0225,-0.1507,0.0247
2268,2015-08-01,Missouri,150050,-0.0316,-0.1439,-0.1512,0.0728
2319,2015-07-01,Missouri,154950,0.0,-0.0616,0.0361,0.0634
2370,2015-06-01,Missouri,154950,0.0131,-0.0167,-0.0568,0.0758
2421,2015-05-01,Missouri,152950,0.0197,-0.0102,-0.0538,-0.0365
2472,2015-04-01,Missouri,149999,0.0064,0.0627,0.069,-0.1747
2523,2015-03-01,Missouri,149050,0.0297,0.2617,0.1083,-0.1741
2574,2015-02-01,Missouri,144750,0.0339,0.0154,-0.0655,-0.0383
2625,2015-01-01,Missouri,140000,-0.021,0.4944,0.7143,0.0347
2676,2014-12-01,Missouri,143000,-0.0141,-0.2373,-0.1404,0.086
2727,2014-11-01,Missouri,145050,-0.0199,-0.1249,-0.3091,0.0877
2778,2014-10-01,Missouri,148000,0.0014,-0.0802,0.0377,0.0491
2829,2014-09-01,Missouri,147800,-0.0084,-0.06,0.1197,0.0724
2880,2014-08-01,Missouri,149050,-0.0017,-0.1047,-0.2155,0.027
2931,2014-07-01,Missouri,149300,-0.0043,-0.1093,0.0774,0.0137
2983,2014-06-01,Missouri,149950,0.0306,-0.0086,-0.0615,0.0657
3035,2014-05-01,Missouri,145500,0.0034,0.0783,-0.0056,-0.1046
3087,2014-04-01,Missouri,145000,0.0354,0.1149,-0.1,-0.323
3138,2014-03-01,Missouri,140040,0.0071,0.2667,0.3889,-0.0504
3189,2014-02-01,Missouri,139050,0.0094,0.0889,-0.0526,0.0259
3241,2014-01-01,Missouri,137750,-0.0093,0.4464,0.551,0.0943
3293,2013-12-01,Missouri,139050,-0.0064,-0.3148,-0.3988,0.0928
3345,2013-11-01,Missouri,139950,0.0,-0.1422,0.1399,0.0601
3397,2013-10-01,Missouri,139950,-0.0148,-0.078,-0.1966,0.0398
3449,2013-09-01,Missouri,142050,-0.0039,-0.0413,-0.0532,0.0667
3501,2013-08-01,Missouri,142600,-0.0149,-0.076,0.0273,0.0248
3552,2013-07-01,Missouri,144750,-0.0021,-0.0444,0.2039,0.019
3603,2013-06-01,Missouri,145050,0.0007,-0.0079,-0.3391,0.0
3654,2013-05-01,Missouri,144950,0.0188,0.0106,-0.1873,-0.0366
3705,2013-04-01,Missouri,142275,0.0166,0.0962,0.6845,-0.1546
3756,2013-03-01,Missouri,139950,0.0325,0.0825,0.1053,-0.1182
3807,2013-02-01,Missouri,135550,0.0044,0.0958,0.0857,-0.0351
3858,2013-01-01,Missouri,134950,0.0,0.3378,0.0145,0.0364
3909,2012-12-01,Missouri,134950,-0.0312,-0.1684,0.2545,0.0732
3960,2012-11-01,Missouri,139300,-0.0046,-0.0765,-0.2029,0.0406
4011,2012-10-01,Missouri,139950,0.0,-0.087,-0.0417,0.0155
4062,2012-09-01,Missouri,139950,-0.0007,-0.0442,0.1339,0.0319
4113,2012-08-01,Missouri,140047,-0.0271,-0.0323,-0.2349,0.0444
4164,2012-07-01,Missouri,143950,-0.0055,-0.0823,-0.0829,0.0526
4215,2012-06-01,Missouri,144750,0.0087,-0.0265,0.1456,0.0556
4266,2012-05-01,Missouri,143500,0.0053,-0.1729,0.0,-0.0182
