,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
25,2019-04-01,Mississippi,199300,0.0221,-0.0092,-0.1129,-0.1845
76,2019-03-01,Mississippi,195000,0.0269,0.0614,-0.0159,-0.1043
127,2019-02-01,Mississippi,189900,0.0048,0.1115,0.0161,-0.0171
178,2019-01-01,Mississippi,189000,0.0,0.4378,0.8235,0.0541
229,2018-12-01,Mississippi,189000,-0.0047,-0.1682,-0.2917,0.0882
280,2018-11-01,Mississippi,189900,-0.0005,-0.141,0.0435,0.0515
331,2018-10-01,Mississippi,190000,-0.0104,-0.1028,-0.3611,0.0319
382,2018-09-01,Mississippi,192000,-0.0052,-0.0725,0.2203,0.0562
433,2018-08-01,Mississippi,193000,-0.0097,0.0101,-0.2237,0.0114
484,2018-07-01,Mississippi,194900,0.0031,-0.0996,0.0556,0.0353
535,2018-06-01,Mississippi,194300,0.0067,0.0,-0.191,0.0241
586,2018-05-01,Mississippi,193000,0.0163,-0.0165,-0.0326,0.0
637,2018-04-01,Mississippi,189900,0.021,0.0607,0.2267,-0.1942
688,2018-03-01,Mississippi,186000,0.0203,0.0342,-0.0741,-0.0636
739,2018-02-01,Mississippi,182300,0.0128,0.2922,0.2857,-0.0179
790,2018-01-01,Mississippi,180000,0.0,0.2405,0.3125,0.0769
841,2017-12-01,Mississippi,180000,0.0006,-0.2761,-0.2941,0.04
892,2017-11-01,Mississippi,179900,-0.0006,-0.0306,0.1333,0.0417
943,2017-10-01,Mississippi,180050,0.0,0.0392,-0.2308,0.0267
994,2017-09-01,Mississippi,180050,-0.0083,-0.128,0.4182,0.0275
1045,2017-08-01,Mississippi,181550,-0.0144,-0.0551,-0.5339,0.0111
1096,2017-07-01,Mississippi,184200,-0.0041,0.002,0.5733,0.0227
1147,2017-06-01,Mississippi,184950,0.0133,-0.0382,0.25,0.0233
1198,2017-05-01,Mississippi,182523,0.0143,0.0737,-0.5313,0.0238
1249,2017-04-01,Mississippi,179950,0.0112,-0.009,0.1429,-0.1845
1300,2017-03-01,Mississippi,177950,0.0171,0.0218,0.3659,-0.1043
1351,2017-02-01,Mississippi,174950,0.0169,0.1545,-0.1961,-0.0336
1402,2017-01-01,Mississippi,172050,-0.0115,0.4891,2.0,0.0578
1453,2016-12-01,Mississippi,174050,-0.0048,-0.245,-0.3061,0.087
1504,2016-11-01,Mississippi,174887,-0.0004,-0.1135,-0.3,0.035
1555,2016-10-01,Mississippi,174950,0.0066,-0.0839,0.1111,0.0417
1606,2016-09-01,Mississippi,173800,0.0046,0.006,0.1887,0.0159
1657,2016-08-01,Mississippi,173000,-0.0043,-0.0688,-0.0185,0.0161
1708,2016-07-01,Mississippi,173750,0.0218,-0.0407,-0.2603,0.0449
1759,2016-06-01,Mississippi,170050,0.0006,-0.0513,0.3036,0.0
1810,2016-05-01,Mississippi,169950,0.0098,0.0313,-0.4455,-0.0326
1861,2016-04-01,Mississippi,168300,0.0197,0.0595,0.6557,-0.1598
1912,2016-03-01,Mississippi,165050,0.0006,0.0063,0.0,-0.0759
1963,2016-02-01,Mississippi,164950,0.0179,0.1227,-0.0161,-0.0125
2014,2016-01-01,Mississippi,162050,0.0125,0.2982,0.3478,0.0667
2065,2015-12-01,Mississippi,160050,-0.0154,-0.0785,0.0952,0.0817
2116,2015-11-01,Mississippi,162550,-0.0025,-0.1912,-0.2222,0.0558
2167,2015-10-01,Mississippi,162964,-0.0093,-0.0748,-0.0182,0.026
2218,2015-09-01,Mississippi,164500,-0.0003,-0.0604,-0.2763,0.0213
2269,2015-08-01,Mississippi,164550,-0.0024,-0.1449,-0.013,0.0444
2320,2015-07-01,Mississippi,164950,0.0015,-0.0342,0.2833,0.0056
2371,2015-06-01,Mississippi,164700,-0.0015,0.1183,0.1538,-0.0579
2422,2015-05-01,Mississippi,164950,0.0195,-0.0572,-0.3659,-0.0155
2473,2015-04-01,Mississippi,161800,0.0116,0.1021,0.2424,-0.1958
2524,2015-03-01,Mississippi,159950,0.006,0.0455,0.0154,-0.0283
2575,2015-02-01,Mississippi,159000,0.016,-0.0459,0.1017,-0.004
2626,2015-01-01,Mississippi,156500,-0.0067,0.493,0.3409,0.042
2677,2014-12-01,Mississippi,157550,-0.0094,-0.2111,-0.0435,0.0818
2728,2014-11-01,Mississippi,159050,0.0127,-0.0982,-0.1636,0.0233
2779,2014-10-01,Mississippi,157050,0.0064,-0.026,-0.2857,0.0238
2830,2014-09-01,Mississippi,156050,-0.0182,0.002,-0.061,0.0194
2881,2014-08-01,Mississippi,158950,-0.0006,-0.1159,0.2813,0.0098
2932,2014-07-01,Mississippi,159050,0.0,0.0377,-0.0857,0.0149
2984,2014-06-01,Mississippi,159050,0.0192,-0.0279,0.0145,-0.029
3036,2014-05-01,Mississippi,156050,0.01,0.033,-0.0143,-0.1116
3088,2014-04-01,Mississippi,154500,0.0303,-0.003,0.5217,-0.1107
3139,2014-03-01,Mississippi,149950,0.0,0.0965,-0.2069,-0.0187
3190,2014-02-01,Mississippi,149950,0.0,0.012,-0.1343,0.0152
3242,2014-01-01,Mississippi,149950,0.0,0.4279,0.5227,0.0691
3294,2013-12-01,Mississippi,149950,0.0,-0.2401,-0.1373,0.0649
3346,2013-11-01,Mississippi,149950,0.0,-0.0388,-0.2273,0.0596
3398,2013-10-01,Mississippi,149950,-0.0007,-0.0809,0.2692,0.0583
3450,2013-09-01,Mississippi,150050,-0.0033,-0.1165,-0.1475,0.0049
3502,2013-08-01,Mississippi,150550,-0.0144,-0.0379,-0.1757,0.0099
3553,2013-07-01,Mississippi,152750,0.018,0.0318,0.0278,0.015
3604,2013-06-01,Mississippi,150050,0.0007,0.0693,0.0141,0.005
3655,2013-05-01,Mississippi,149950,0.0,-0.0494,-0.2022,-0.0245
3706,2013-04-01,Mississippi,149950,0.0,-0.0388,0.3485,-0.1707
3757,2013-03-01,Mississippi,149950,0.0067,0.109,-0.2667,-0.0465
3808,2013-02-01,Mississippi,148950,0.001,0.1177,0.5517,0.0039
3859,2013-01-01,Mississippi,148800,-0.005,0.2547,0.0,0.0118
3910,2012-12-01,Mississippi,149550,-0.0027,-0.115,0.0545,0.0453
3961,2012-11-01,Mississippi,149950,0.0,-0.1121,-0.321,0.021
4012,2012-10-01,Mississippi,149950,0.0,0.0926,0.4464,0.0085
4063,2012-09-01,Mississippi,149950,-0.0007,-0.0835,0.0182,0.0396
4114,2012-08-01,Mississippi,150050,0.0,-0.0279,0.0185,0.0413
4165,2012-07-01,Mississippi,150050,-0.0132,-0.0638,-0.0357,0.0235
4216,2012-06-01,Mississippi,152050,-0.003,-0.0403,0.037,-0.0093
4267,2012-05-01,Mississippi,152500,0.0003,-0.0283,-0.0847,-0.0487
