,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
26,2019-04-01,Montana,335000,0.0,0.5573,0.3182,-0.2199
77,2019-03-01,Montana,335000,0.0182,0.022,0.2222,0.0071
128,2019-02-01,Montana,329000,0.0,0.0739,-0.28,0.0294
179,2019-01-01,Montana,329000,-0.0009,0.3305,0.3889,0.0968
230,2018-12-01,Montana,329300,0.0009,-0.2047,-0.1818,0.1273
281,2018-11-01,Montana,329000,-0.0024,-0.2029,0.1,0.1224
332,2018-10-01,Montana,329800,0.0024,-0.2046,-0.3333,0.0889
383,2018-09-01,Montana,329000,-0.0179,-0.1148,-0.2683,0.1538
434,2018-08-01,Montana,335000,0.0015,-0.1,1.5625,0.1304
485,2018-07-01,Montana,334500,0.009,-0.1308,-0.5676,0.0455
536,2018-06-01,Montana,331500,0.0076,0.078,-0.119,-0.12
587,2018-05-01,Montana,329000,0.0123,0.2378,0.4,-0.2105
638,2018-04-01,Montana,325000,0.0163,0.1834,-0.0323,-0.2149
689,2018-03-01,Montana,319800,0.0009,0.3318,0.3478,-0.097
740,2018-02-01,Montana,319500,-0.0013,0.0252,0.2105,0.0075
791,2018-01-01,Montana,319900,0.0091,0.2451,0.3571,0.064
842,2017-12-01,Montana,317000,-0.0056,-0.0414,-0.2222,0.1161
893,2017-11-01,Montana,318800,-0.0038,-0.2549,-0.25,0.0467
944,2017-10-01,Montana,320050,-0.0054,-0.0881,0.0,0.163
995,2017-09-01,Montana,321800,0.0031,-0.2209,0.2,0.1288
1046,2017-08-01,Montana,320800,-0.0131,-0.0374,-0.5,0.0867
1097,2017-07-01,Montana,325050,0.002,-0.1182,-0.0476,0.0563
1148,2017-06-01,Montana,324392,0.0297,-0.0428,0.1667,-0.047
1199,2017-05-01,Montana,315050,0.0003,0.1963,0.2,-0.232
1250,2017-04-01,Montana,314950,-0.0003,0.2108,-0.25,-0.2868
1301,2017-03-01,Montana,315050,0.0082,0.2633,0.4815,0.1148
1352,2017-02-01,Montana,312500,-0.0081,0.2472,0.5,0.0
1403,2017-01-01,Montana,315050,0.0261,0.2723,-0.2174,0.0844
1454,2016-12-01,Montana,307050,0.0233,-0.2212,0.0952,0.087
1505,2016-11-01,Montana,300050,-0.04,-0.284,-0.25,-0.0591
1556,2016-10-01,Montana,312550,0.0084,-0.0193,-0.125,0.0628
1607,2016-09-01,Montana,309950,-0.0149,-0.1267,0.0667,0.0781
1658,2016-08-01,Montana,314625,0.0034,-0.1151,0.0714,0.1163
