,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
27,2019-04-01,North Carolina,295000,0.0176,0.0526,0.1354,-0.1977
78,2019-03-01,North Carolina,289900,0.0357,0.1864,-0.0352,-0.1731
129,2019-02-01,North Carolina,279900,0.0032,0.0976,0.166,-0.0459
180,2019-01-01,North Carolina,279000,0.0036,0.5379,0.3838,0.0187
231,2018-12-01,North Carolina,278000,-0.0036,-0.3191,-0.3058,0.1383
282,2018-11-01,North Carolina,279000,0.0072,-0.1046,-0.06,0.033
333,2018-10-01,North Carolina,277000,-0.0068,0.0559,0.2656,0.0581
384,2018-09-01,North Carolina,278900,0.0094,-0.2085,-0.1825,0.0886
435,2018-08-01,North Carolina,276300,-0.0302,-0.0385,-0.1821,0.0972
486,2018-07-01,North Carolina,284900,-0.0004,-0.0121,-0.0318,0.0746
537,2018-06-01,North Carolina,285000,0.0179,-0.1037,-0.0362,0.0
588,2018-05-01,North Carolina,280000,0.0182,0.0921,0.1184,-0.0694
639,2018-04-01,North Carolina,275000,0.0185,0.0393,0.0422,-0.1429
690,2018-03-01,North Carolina,270000,0.0286,0.1109,0.0336,-0.1683
741,2018-02-01,North Carolina,262500,-0.0274,0.2624,-0.0928,-0.0561
792,2018-01-01,North Carolina,269900,0.0147,0.3507,0.7951,0.0
843,2017-12-01,North Carolina,266000,-0.0112,-0.2779,-0.2989,0.1263
894,2017-11-01,North Carolina,269000,-0.0033,-0.0883,0.0276,0.0326
945,2017-10-01,North Carolina,269950,0.0026,-0.0477,0.0972,0.0514
996,2017-09-01,North Carolina,269261,0.0008,-0.0972,-0.1079,0.0542
1047,2017-08-01,North Carolina,269050,0.0269,-0.0427,-0.1263,0.0122
1098,2017-07-01,North Carolina,262000,0.0277,-0.0409,0.1716,0.0314
1149,2017-06-01,North Carolina,254950,-0.0269,-0.0664,-0.1536,0.0461
1200,2017-05-01,North Carolina,262000,0.0079,0.0524,-0.0611,0.0133
1251,2017-04-01,North Carolina,259950,0.0397,0.0128,-0.2035,-0.2188
1302,2017-03-01,North Carolina,250025,0.0205,0.1274,0.5085,-0.1688
1353,2017-02-01,North Carolina,245000,0.0206,0.3222,0.1395,-0.0455
1404,2017-01-01,North Carolina,240050,-0.0021,0.2249,0.1827,0.0522
1455,2016-12-01,North Carolina,240550,-0.0182,-0.2245,-0.1166,0.09
1506,2016-11-01,North Carolina,245000,-0.0002,-0.1096,0.009,0.0446
1557,2016-10-01,North Carolina,245050,0.0666,-0.1018,0.0807,-0.0194
1608,2016-09-01,North Carolina,229750,-0.0427,-0.0183,-0.1949,0.1638
1659,2016-08-01,North Carolina,240000,0.0002,-0.1053,0.041,0.1063
1710,2016-07-01,North Carolina,239950,0.0,-0.056,-0.0912,0.0884
1761,2016-06-01,North Carolina,239950,0.0096,-0.0603,-0.1449,-0.0068
1812,2016-05-01,North Carolina,237670,0.0333,-0.0411,0.0278,0.0207
1863,2016-04-01,North Carolina,230000,0.0222,0.065,-0.0363,-0.2246
1914,2016-03-01,North Carolina,225000,0.023,0.251,0.0856,-0.1422
1965,2016-02-01,North Carolina,219950,0.0228,0.2472,0.3273,-0.1066
2016,2016-01-01,North Carolina,215050,0.0,0.1904,0.1579,0.0339
2067,2015-12-01,North Carolina,215050,0.0312,-0.1973,-0.2245,0.3721
2118,2015-11-01,North Carolina,208550,-0.0381,-0.1604,0.0889,-0.0703
2169,2015-10-01,North Carolina,216800,-0.0103,-0.0803,-0.0405,-0.0976
2220,2015-09-01,North Carolina,219050,0.0,-0.0385,-0.1858,0.0567
2271,2015-08-01,North Carolina,219050,-0.0041,-0.1801,0.1684,0.0838
2322,2015-07-01,North Carolina,219950,0.0018,-0.0101,-0.0987,0.0347
2373,2015-06-01,North Carolina,219550,0.0037,-0.0202,0.0853,-0.017
2424,2015-05-01,North Carolina,218735,0.0221,-0.0242,-0.0418,-0.0737
2475,2015-04-01,North Carolina,214000,0.0344,0.113,-0.0113,-0.24
2526,2015-03-01,North Carolina,206878,0.0346,0.1299,-0.0345,-0.0347
2577,2015-02-01,North Carolina,199950,0.0045,0.0275,0.1926,-0.0077
2628,2015-01-01,North Carolina,199050,-0.004,0.4357,0.3088,0.0235
2679,2014-12-01,North Carolina,199850,-0.001,-0.1742,-0.1262,0.0805
2730,2014-11-01,North Carolina,200050,-0.023,-0.149,0.0125,0.0442
2781,2014-10-01,North Carolina,204750,-0.0015,-0.0321,-0.167,0.0415
2832,2014-09-01,North Carolina,205050,0.0005,-0.0402,-0.0788,0.0637
2883,2014-08-01,North Carolina,204950,0.0049,-0.075,-0.0731,0.0737
2934,2014-07-01,North Carolina,203950,0.0195,-0.0394,0.0506,0.0556
2986,2014-06-01,North Carolina,200050,0.0005,-0.1141,-0.0238,-0.0476
3038,2014-05-01,North Carolina,199950,0.0023,0.0352,-0.0838,-0.125
3090,2014-04-01,North Carolina,199488,0.0228,0.0349,-0.0554,-0.1692
3141,2014-03-01,North Carolina,195050,0.0196,0.2413,0.2515,-0.0335
3192,2014-02-01,North Carolina,191300,0.0071,0.0204,0.1075,0.0151
3244,2014-01-01,North Carolina,189950,-0.0005,0.4071,0.3571,0.06
3296,2013-12-01,North Carolina,190050,-0.0241,-0.2174,-0.2168,0.073
3348,2013-11-01,North Carolina,194750,-0.0142,-0.1007,-0.0138,0.013
3400,2013-10-01,North Carolina,197550,-0.0025,-0.04,-0.1761,0.0455
3452,2013-09-01,North Carolina,198050,-0.0035,-0.0535,-0.0943,0.0427
3504,2013-08-01,North Carolina,198750,-0.0015,-0.0249,0.1409,0.0394
3555,2013-07-01,North Carolina,199050,0.0,-0.0197,-0.1159,0.0573
3606,2013-06-01,North Carolina,199050,0.0101,-0.0702,-0.0586,0.0323
3657,2013-05-01,North Carolina,197050,0.0142,-0.0049,-0.1543,-0.0211
3708,2013-04-01,North Carolina,194300,0.0229,0.0255,0.1524,-0.2149
3759,2013-03-01,North Carolina,189950,0.024,0.1025,-0.1286,-0.0936
3810,2013-02-01,North Carolina,185500,0.0041,0.0704,0.3824,-0.0184
3861,2013-01-01,North Carolina,184750,-0.0011,0.4922,0.3141,0.0149
3912,2012-12-01,North Carolina,184950,-0.0096,-0.1707,0.1117,0.019
3963,2012-11-01,North Carolina,186750,-0.0122,-0.0888,-0.0428,0.0154
4014,2012-10-01,North Carolina,189050,-0.0045,-0.0103,-0.0833,0.0117
4065,2012-09-01,North Carolina,189912,-0.0002,-0.0303,0.0025,0.0579
4116,2012-08-01,North Carolina,189950,0.0,-0.0365,0.0383,0.0614
4167,2012-07-01,North Carolina,189950,-0.0029,-0.0307,0.0129,0.0556
4218,2012-06-01,North Carolina,190500,0.0024,-0.1078,-0.1342,0.0237
4269,2012-05-01,North Carolina,190050,0.0003,-0.0352,-0.0132,-0.0495
