,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
28,2019-04-01,North Dakota,239000,0.017,0.5677,-0.0556,-0.1957
79,2019-03-01,North Dakota,235000,0.0151,0.1327,0.3846,-0.1068
130,2019-02-01,North Dakota,231500,0.007,-0.1691,0.3,0.0
181,2019-01-01,North Dakota,229900,-0.0004,1.0,0.6667,0.0
232,2018-12-01,North Dakota,230000,-0.0167,-0.3419,-0.7778,0.1573
283,2018-11-01,North Dakota,233900,0.0165,-0.274,2.0,0.0854
334,2018-10-01,North Dakota,230100,-0.0209,-0.0553,-0.55,0.0933
385,2018-09-01,North Dakota,235000,-0.0147,-0.139,0.5385,0.0563
436,2018-08-01,North Dakota,238500,-0.0021,-0.0205,-0.35,0.0923
487,2018-07-01,North Dakota,239000,-0.0038,-0.0961,-0.3333,0.1207
538,2018-06-01,North Dakota,239900,0.0,-0.0661,0.7647,-0.0492
589,2018-05-01,North Dakota,239900,0.0038,0.2402,0.2143,-0.1408
640,2018-04-01,North Dakota,239000,0.0337,0.1278,-0.4167,-0.0405
691,2018-03-01,North Dakota,231200,0.0057,0.1407,1.6667,-0.2128
742,2018-02-01,North Dakota,229900,0.0,-0.0075,-0.1,-0.0874
793,2018-01-01,North Dakota,229900,0.0039,0.9095,-0.1667,0.0198
844,2017-12-01,North Dakota,229000,0.0,-0.2657,0.5,0.1609
895,2017-11-01,North Dakota,229000,-0.0039,-0.2513,-0.5556,0.1013
946,2017-10-01,North Dakota,229950,-0.0152,-0.2597,0.3846,0.0676
997,2017-09-01,North Dakota,233499,-0.0066,-0.0039,-0.2353,0.0803
1048,2017-08-01,North Dakota,235050,-0.0167,-0.0336,-0.3929,0.0538
1099,2017-07-01,North Dakota,239050,-0.0038,-0.1052,0.6471,0.1111
1150,2017-06-01,North Dakota,239950,-0.0153,-0.0116,-0.1905,-0.0168
1201,2017-05-01,North Dakota,243683,-0.0052,0.1744,-0.125,-0.1119
1252,2017-04-01,North Dakota,244950,0.0206,0.0955,1.0,-0.0563
1303,2017-03-01,North Dakota,240000,0.0058,0.423,-0.5,-0.2718
1354,2017-02-01,North Dakota,238613,0.0152,-0.0207,1.0,-0.0051
1405,2017-01-01,North Dakota,235050,0.0,0.7333,0.7143,-0.0025
1456,2016-12-01,North Dakota,235050,-0.0098,-0.3456,-0.4167,0.1491
1507,2016-11-01,North Dakota,237380,-0.007,-0.2359,-0.4,0.0823
1558,2016-10-01,North Dakota,239050,-0.0038,-0.1595,0.0526,0.0604
1609,2016-09-01,North Dakota,239950,-0.0002,-0.0645,0.0,0.0456
1660,2016-08-01,North Dakota,240000,-0.0202,0.1589,1.375,0.0478
1711,2016-07-01,North Dakota,244950,-0.0004,-0.1657,0.3333,0.0794
1762,2016-06-01,North Dakota,245050,-0.0161,0.0301,-0.625,0.0161
1813,2016-05-01,North Dakota,249050,0.0023,-0.0197,-0.5789,-0.0949
1864,2016-04-01,North Dakota,248475,-0.0059,0.239,0.5833,-0.1595
1915,2016-03-01,North Dakota,249950,0.0119,0.213,0.7143,-0.162
1966,2016-02-01,North Dakota,247000,0.029,-0.0663,-0.2222,0.0571
2017,2016-01-01,North Dakota,240040,0.0,0.5339,0.125,0.0824
2068,2015-12-01,North Dakota,240050,-0.0101,-0.3295,0.1429,0.1806
2119,2015-11-01,North Dakota,242491,-0.0183,-0.1982,0.0769,0.0868
2170,2015-10-01,North Dakota,247000,-0.0098,-0.0157,-0.2778,0.0433
2221,2015-09-01,North Dakota,249450,-0.0024,-0.0669,-0.25,0.041
2272,2015-08-01,North Dakota,250049,-0.0213,-0.0772,-0.2,0.0167
2323,2015-07-01,North Dakota,255500,-0.0084,0.0837,0.1111,0.0909
2374,2015-06-01,North Dakota,257655,-0.0015,-0.0165,0.125,0.0784
2425,2015-05-01,North Dakota,258050,-0.0039,-0.0041,0.0,-0.0467
2476,2015-04-01,North Dakota,259050,0.0041,0.1619,0.3333,-0.1508
2527,2015-03-01,North Dakota,258000,0.0013,0.2245,0.3846,-0.2841
2578,2015-02-01,North Dakota,257658,0.0217,0.1993,-0.6176,0.0086
2629,2015-01-01,North Dakota,252186,0.0025,0.2435,2.4,0.064
2680,2014-12-01,North Dakota,251547,0.006,-0.1727,-0.375,0.2059
2731,2014-11-01,North Dakota,250050,0.0002,-0.2567,-0.2,0.1057
2782,2014-10-01,North Dakota,250000,0.0192,-0.1558,-0.2,0.0424
2833,2014-09-01,North Dakota,245300,0.0205,-0.0242,-0.4048,-0.0167
2884,2014-08-01,North Dakota,240377,0.0018,0.0632,0.4,-0.0083
2935,2014-07-01,North Dakota,239950,-0.0107,0.0167,0.0714,0.0254
2987,2014-06-01,North Dakota,242550,0.0117,-0.0187,-0.3171,-0.0923
3039,2014-05-01,North Dakota,239750,0.02,0.049,-0.0238,-0.1447
3091,2014-04-01,North Dakota,235050,0.0,0.057,1.3333,-0.2083
3142,2014-03-01,North Dakota,235050,0.0091,0.4296,-0.28,-0.109
3193,2014-02-01,North Dakota,232922,0.0174,0.0506,-0.1071,0.0411
3245,2014-01-01,North Dakota,228950,0.0178,0.477,1.3333,0.1897
3297,2013-12-01,North Dakota,224950,0.0223,-0.4387,-0.3333,0.1918
3349,2013-11-01,North Dakota,220050,-0.0218,-0.1667,-0.28,0.0735
3401,2013-10-01,North Dakota,224950,-0.0004,-0.0882,0.0417,0.1148
3453,2013-09-01,North Dakota,225050,-0.0213,-0.1553,-0.4,0.0339
3505,2013-08-01,North Dakota,229950,0.0,0.0546,0.2121,0.0085
3556,2013-07-01,North Dakota,229950,0.0,0.0178,-0.25,0.125
3607,2013-06-01,North Dakota,229950,0.0009,-0.1107,0.0,-0.028
3658,2013-05-01,North Dakota,229750,0.0096,0.2843,0.5714,-0.1608
3709,2013-04-01,North Dakota,227575,0.0117,0.0,0.0,-0.1385
3760,2013-03-01,North Dakota,224950,0.0394,0.4432,-0.125,-0.2128
3811,2013-02-01,North Dakota,216429,0.0231,0.0037,0.1429,0.0444
3862,2013-01-01,North Dakota,211550,0.0007,0.2364,1.8,0.0345
3913,2012-12-01,North Dakota,211400,0.019,-0.2226,-0.375,0.2083
3964,2012-11-01,North Dakota,207450,0.0122,-0.2413,-0.0588,0.0992
4015,2012-10-01,North Dakota,204950,0.0254,-0.0902,-0.2273,0.1293
4066,2012-09-01,North Dakota,199875,0.0179,-0.0553,-0.2143,0.045
4117,2012-08-01,North Dakota,196362,0.0554,0.0284,0.4,0.0278
4168,2012-07-01,North Dakota,186050,0.0339,0.0024,-0.4118,0.0286
