,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
29,2019-04-01,Nebraska,251600,0.0068,0.3326,0.0385,-0.2424
80,2019-03-01,Nebraska,249900,0.0753,0.213,-0.6286,-0.0704
131,2019-02-01,Nebraska,232400,0.0224,-0.0806,1.0,-0.0274
182,2019-01-01,Nebraska,227300,0.0102,0.3955,0.1667,0.0735
233,2018-12-01,Nebraska,225000,0.0,-0.3647,-0.1176,0.2593
284,2018-11-01,Nebraska,225000,-0.0136,-0.1235,0.2143,0.0189
335,2018-10-01,Nebraska,228100,-0.0083,-0.0707,-0.2222,0.0192
386,2018-09-01,Nebraska,230000,-0.0204,0.0204,-0.3333,0.1064
437,2018-08-01,Nebraska,234800,-0.0009,-0.1035,0.5,0.0444
488,2018-07-01,Nebraska,235000,-0.0017,-0.0499,-0.3333,0.0714
539,2018-06-01,Nebraska,235400,-0.0008,0.1011,0.2857,-0.087
590,2018-05-01,Nebraska,235600,-0.0142,0.1135,0.1053,-0.0417
641,2018-04-01,Nebraska,239000,0.0231,0.0846,-0.3333,-0.2
692,2018-03-01,Nebraska,233600,0.0291,0.3232,0.6286,-0.2
743,2018-02-01,Nebraska,227000,0.0342,0.0579,-0.1463,-0.0132
794,2018-01-01,Nebraska,219500,0.0457,0.0435,0.4643,0.1515
845,2017-12-01,Nebraska,209900,0.0005,-0.215,0.3333,0.1379
896,2017-11-01,Nebraska,209800,-0.0192,-0.1245,-0.1923,0.0357
947,2017-10-01,Nebraska,213950,-0.0051,-0.0487,0.3684,0.037
998,2017-09-01,Nebraska,215050,-0.0115,-0.0198,-0.5581,0.0485
1049,2017-08-01,Nebraska,217550,-0.0091,-0.0406,0.4333,0.051
1100,2017-07-01,Nebraska,219550,-0.002,-0.0524,-0.1176,-0.0297
1151,2017-06-01,Nebraska,220000,-0.0056,0.0617,-0.2273,0.01
1202,2017-05-01,Nebraska,221250,0.0288,0.0483,0.4667,-0.0196
1253,2017-04-01,Nebraska,215050,0.0628,0.0904,-0.5946,-0.113
1304,2017-03-01,Nebraska,202348,0.023,0.2147,1.2424,-0.2069
1355,2017-02-01,Nebraska,197800,0.0463,0.1024,0.0313,-0.0823
1406,2017-01-01,Nebraska,189050,0.0222,0.2492,0.6,0.1127
1457,2016-12-01,Nebraska,184950,-0.0005,-0.2943,-0.2,0.1687
1508,2016-11-01,Nebraska,185037,-0.0001,-0.1938,-0.2188,0.0658
1559,2016-10-01,Nebraska,185050,0.0,-0.0094,0.1034,0.0556
