,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
30,2019-04-01,New Hampshire,339900,0.0625,0.169,0.2632,-0.175
81,2019-03-01,New Hampshire,319900,0.0156,0.3677,-0.2083,-0.2381
132,2019-02-01,New Hampshire,315000,0.0093,0.0543,0.6,0.0294
183,2019-01-01,New Hampshire,312100,0.0071,0.3566,0.0,0.0851
234,2018-12-01,New Hampshire,309900,0.0029,-0.3189,-0.0323,0.175
285,2018-11-01,New Hampshire,309000,0.0131,-0.1142,-0.0606,0.0811
336,2018-10-01,New Hampshire,305000,-0.0081,-0.3043,-0.1316,0.0882
387,2018-09-01,New Hampshire,307500,0.0149,-0.0987,-0.1556,0.1148
438,2018-08-01,New Hampshire,303000,-0.0223,-0.0314,0.1842,0.1296
489,2018-07-01,New Hampshire,309900,-0.0077,-0.1605,-0.2692,0.125
540,2018-06-01,New Hampshire,312300,0.0077,-0.0121,0.04,0.0
591,2018-05-01,New Hampshire,309900,0.033,0.1716,-0.1071,-0.1724
642,2018-04-01,New Hampshire,300000,0.0003,0.3974,0.4737,-0.2927
693,2018-03-01,New Hampshire,299900,0.0341,0.2113,-0.2549,-0.2545
744,2018-02-01,New Hampshire,290000,0.0003,0.3769,-0.1356,0.0092
795,2018-01-01,New Hampshire,289900,0.0031,0.2449,1.1071,0.1237
846,2017-12-01,New Hampshire,289000,0.0,-0.358,-0.2632,0.1149
897,2017-11-01,New Hampshire,289000,-0.0031,-0.3093,-0.1364,0.061
948,2017-10-01,New Hampshire,289950,0.0,-0.1016,-0.3016,0.025
999,2017-09-01,New Hampshire,289950,0.0026,-0.1147,0.4651,0.1765
1050,2017-08-01,New Hampshire,289196,0.0005,-0.0157,-0.2321,0.0968
1101,2017-07-01,New Hampshire,289050,-0.0023,-0.1395,0.1429,0.1376
1152,2017-06-01,New Hampshire,289706,0.0052,-0.0367,-0.3099,-0.0268
1203,2017-05-01,New Hampshire,288200,-0.0262,0.4338,0.3654,-0.3
1254,2017-04-01,New Hampshire,295950,0.0032,0.1113,0.0,-0.2889
