,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
31,2019-04-01,New Jersey,370000,0.0281,0.1271,0.0772,-0.1053
82,2019-03-01,New Jersey,359900,0.0298,0.2245,0.2746,-0.2192
133,2019-02-01,New Jersey,349500,0.0279,0.056,0.0376,-0.1098
184,2019-01-01,New Jersey,340000,-0.0216,0.53,0.2237,0.038
235,2018-12-01,New Jersey,347500,-0.0071,-0.2599,-0.2323,0.1618
286,2018-11-01,New Jersey,350000,-0.0251,-0.1883,-0.2296,0.0149
337,2018-10-01,New Jersey,359000,0.0,-0.0536,-0.1076,-0.0147
388,2018-09-01,New Jersey,359000,0.002,0.0437,0.1163,0.0462
439,2018-08-01,New Jersey,358300,-0.0044,-0.0977,-0.0584,0.0656
490,2018-07-01,New Jersey,359900,0.0,-0.0553,-0.0036,0.1509
541,2018-06-01,New Jersey,359900,0.021,-0.1007,-0.0741,0.0192
592,2018-05-01,New Jersey,352500,0.0398,0.024,0.1693,-0.0545
643,2018-04-01,New Jersey,339000,0.0351,0.1727,0.1189,-0.0179
694,2018-03-01,New Jersey,327500,0.0331,0.0787,-0.1236,-0.2632
745,2018-02-01,New Jersey,317000,0.0479,0.2252,0.3214,-0.1163
796,2018-01-01,New Jersey,302500,-0.0239,0.3721,0.0652,0.0488
847,2017-12-01,New Jersey,309900,-0.0313,-0.2509,-0.0707,0.1081
898,2017-11-01,New Jersey,319900,-0.0157,-0.1086,-0.2326,0.0137
949,2017-10-01,New Jersey,325050,-0.0122,-0.069,-0.0373,-0.0068
1000,2017-09-01,New Jersey,329050,0.0,-0.0208,0.0268,0.0208
1051,2017-08-01,New Jersey,329050,-0.0176,-0.0242,-0.1581,0.0588
1102,2017-07-01,New Jersey,334950,-0.0003,-0.1203,0.1191,0.1148
1153,2017-06-01,New Jersey,335050,0.0168,-0.0805,-0.1477,0.0339
1204,2017-05-01,New Jersey,329500,0.0295,0.0207,0.098,-0.0167
1255,2017-04-01,New Jersey,320050,0.0355,0.0594,0.0764,-0.0323
1306,2017-03-01,New Jersey,309064,0.0389,0.1477,0.0784,-0.2575
1357,2017-02-01,New Jersey,297500,0.0292,0.2272,0.2379,-0.1211
1408,2017-01-01,New Jersey,289050,-0.0249,0.4059,0.0842,0.0215
1459,2016-12-01,New Jersey,296422,-0.0119,-0.2207,-0.0452,0.0629
1510,2016-11-01,New Jersey,299999,-0.0198,-0.1258,-0.1422,0.0294
1561,2016-10-01,New Jersey,306050,-0.0033,-0.057,-0.1407,-0.0058
1612,2016-09-01,New Jersey,307050,-0.0122,-0.0112,-0.069,0.0491
1663,2016-08-01,New Jersey,310842,-0.0134,-0.0825,-0.0333,0.0584
1714,2016-07-01,New Jersey,315050,-0.0102,-0.0999,0.1236,0.0922
1765,2016-06-01,New Jersey,318300,0.0106,-0.1135,-0.1331,0.0682
1816,2016-05-01,New Jersey,314950,0.0497,-0.0241,-0.0345,0.0076
1867,2016-04-01,New Jersey,300045,0.0223,0.0244,0.0633,-0.1027
1918,2016-03-01,New Jersey,293500,0.0353,0.2616,0.1858,-0.2474
1969,2016-02-01,New Jersey,283500,0.0127,0.2983,0.1822,-0.0396
2020,2016-01-01,New Jersey,279950,-0.0101,0.4087,0.0047,0.0412
2071,2015-12-01,New Jersey,282800,-0.0477,-0.3085,-0.1744,0.0778
2122,2015-11-01,New Jersey,296950,-0.0085,-0.1458,-0.1623,0.0112
2173,2015-10-01,New Jersey,299500,-0.0015,-0.0727,0.037,-0.0111
