,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
32,2019-04-01,New Mexico,249700,0.0297,0.1496,-0.4429,-0.1667
83,2019-03-01,New Mexico,242500,0.0108,0.0123,0.6279,-0.0857
134,2019-02-01,New Mexico,239900,0.0046,0.1627,0.1622,-0.0455
185,2019-01-01,New Mexico,238800,-0.0008,0.1414,0.1563,0.068
236,2018-12-01,New Mexico,239000,-0.0038,-0.1318,-0.3962,0.0957
287,2018-11-01,New Mexico,239900,0.0,-0.1493,0.0392,0.0562
338,2018-10-01,New Mexico,239900,0.0,-0.0453,-0.0192,0.0349
389,2018-09-01,New Mexico,239900,-0.0004,-0.0913,-0.3659,0.0886
440,2018-08-01,New Mexico,240000,0.0,-0.0709,0.3667,0.0533
491,2018-07-01,New Mexico,240000,-0.0066,-0.0439,0.0345,0.0135
542,2018-06-01,New Mexico,241600,0.0109,0.0067,0.0741,-0.0133
593,2018-05-01,New Mexico,239000,0.0302,0.0521,0.125,-0.0964
644,2018-04-01,New Mexico,232000,0.0131,0.1076,-0.1111,-0.1782
695,2018-03-01,New Mexico,229000,0.0133,0.0491,0.2,-0.0648
746,2018-02-01,New Mexico,226000,-0.0026,0.1969,-0.0426,-0.0526
797,2018-01-01,New Mexico,226600,0.0071,0.2763,0.4688,0.0459
848,2017-12-01,New Mexico,225000,-0.0066,-0.2388,-0.2,0.101
899,2017-11-01,New Mexico,226500,-0.0152,-0.0845,-0.3333,0.0532
950,2017-10-01,New Mexico,230042,0.0,-0.0551,0.0,0.0503
1001,2017-09-01,New Mexico,230050,-0.0089,-0.1486,-0.1667,0.0592
1052,2017-08-01,New Mexico,232125,-0.0124,0.0035,0.44,0.0696
1103,2017-07-01,New Mexico,235050,0.0,-0.0826,-0.3151,0.0395
1154,2017-06-01,New Mexico,235050,0.0217,-0.0502,0.5532,-0.0194
1205,2017-05-01,New Mexico,230050,0.0083,0.0924,-0.0208,-0.1092
1256,2017-04-01,New Mexico,228165,0.0138,0.1091,-0.2,-0.2055
1307,2017-03-01,New Mexico,225050,0.0105,0.1889,-0.0625,-0.0875
1358,2017-02-01,New Mexico,222702,0.0125,0.0471,0.3333,-0.0083
1409,2017-01-01,New Mexico,219950,-0.005,0.3179,-0.3239,0.0298
1460,2016-12-01,New Mexico,221050,-0.0177,-0.169,0.6136,0.0981
1511,2016-11-01,New Mexico,225037,-0.0001,-0.1067,-0.12,0.0594
1562,2016-10-01,New Mexico,225050,-0.0044,-0.0822,-0.2188,0.0688
1613,2016-09-01,New Mexico,226050,-0.0022,-0.1007,-0.0303,0.05
1664,2016-08-01,New Mexico,226550,-0.0109,-0.0847,0.0645,0.0345
1715,2016-07-01,New Mexico,229050,0.0,-0.0298,-0.0462,0.0545
1766,2016-06-01,New Mexico,229050,0.0115,0.0393,0.3,0.0061
1817,2016-05-01,New Mexico,226450,0.0085,-0.0528,0.0417,-0.1038
1868,2016-04-01,New Mexico,224549,0.0159,0.0872,0.1429,-0.2043
1919,2016-03-01,New Mexico,221025,0.0162,0.1595,-0.125,-0.065
1970,2016-02-01,New Mexico,217512,0.0115,0.216,0.2632,-0.016
2021,2016-01-01,New Mexico,215050,-0.0023,0.171,0.1515,0.0549
2072,2015-12-01,New Mexico,215550,-0.0182,-0.1773,-0.3125,0.0773
2123,2015-11-01,New Mexico,219550,-0.002,-0.1013,-0.1273,0.0501
2174,2015-10-01,New Mexico,220000,-0.0182,-0.022,0.0185,0.0475
2225,2015-09-01,New Mexico,224073,-0.0043,-0.138,0.08,0.0526
2276,2015-08-01,New Mexico,225050,-0.0044,-0.1595,-0.3151,0.0734
2327,2015-07-01,New Mexico,226050,0.0044,-0.0496,0.2586,0.0057
2378,2015-06-01,New Mexico,225050,0.0067,0.0344,0.1154,-0.0112
2429,2015-05-01,New Mexico,223550,0.0299,-0.0113,-0.1746,-0.0825
2480,2015-04-01,New Mexico,217050,0.0333,0.1225,0.0862,-0.2049
2531,2015-03-01,New Mexico,210050,0.008,0.1191,0.3488,-0.0469
2582,2015-02-01,New Mexico,208375,0.0137,0.0206,-0.1042,-0.0154
2633,2015-01-01,New Mexico,205550,-0.0188,0.411,0.1429,0.04
2684,2014-12-01,New Mexico,209497,-0.0026,-0.1911,-0.087,0.087
2735,2014-11-01,New Mexico,210050,-0.0294,-0.1109,-0.0612,0.055
2786,2014-10-01,New Mexico,216422,-0.0103,-0.0986,-0.125,0.0686
2837,2014-09-01,New Mexico,218665,0.0079,-0.1063,-0.2632,0.0737
2888,2014-08-01,New Mexico,216950,0.0007,-0.066,0.1515,0.044
2939,2014-07-01,New Mexico,216800,0.0081,-0.0888,0.1786,0.0341
2991,2014-06-01,New Mexico,215050,0.0,0.045,-0.0968,-0.0383
3043,2014-05-01,New Mexico,215050,0.0141,0.0715,0.0164,-0.085
3095,2014-04-01,New Mexico,212050,0.0119,0.0163,-0.1286,-0.2063
3146,2014-03-01,New Mexico,209550,0.0224,0.1851,0.129,-0.0418
