,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
33,2019-04-01,Nevada,331000,0.0122,0.0845,0.0616,-0.098
84,2019-03-01,Nevada,327000,0.0062,0.1286,-0.0875,-0.1356
135,2019-02-01,Nevada,325000,-0.0116,-0.0169,0.203,-0.1194
186,2019-01-01,Nevada,328800,-0.0173,0.5128,0.3854,0.0806
237,2018-12-01,Nevada,334600,-0.0115,-0.2833,-0.2066,0.2157
288,2018-11-01,Nevada,338500,-0.0044,-0.0611,-0.1879,0.0851
339,2018-10-01,Nevada,340000,-0.0258,-0.1101,-0.1813,0.0682
390,2018-09-01,Nevada,349000,-0.0099,0.0062,0.0168,0.0732
441,2018-08-01,Nevada,352500,0.0714,0.0857,-0.1311,0.0
492,2018-07-01,Nevada,329000,0.0123,-0.0958,0.0249,0.0
543,2018-06-01,Nevada,325000,0.0031,0.0091,-0.1762,0.0
594,2018-05-01,Nevada,324000,0.0157,0.0704,-0.0394,-0.0238
645,2018-04-01,Nevada,319000,0.029,0.0516,0.1759,-0.0233
696,2018-03-01,Nevada,310000,0.0003,0.0217,0.0746,-0.1042
747,2018-02-01,Nevada,309900,0.0006,0.1847,0.0635,-0.2615
798,2018-01-01,Nevada,309700,0.0323,0.2942,0.2434,0.0484
849,2017-12-01,Nevada,300000,0.0,-0.2617,-0.1412,0.1273
900,2017-11-01,Nevada,300000,0.0,-0.1188,-0.0484,0.0377
951,2017-10-01,Nevada,300049,0.0,0.0161,-0.1733,0.0095
1002,2017-09-01,Nevada,300049,0.0003,-0.1204,-0.1573,0.0096
1053,2017-08-01,Nevada,299950,0.0013,0.0079,0.0595,0.0
1104,2017-07-01,Nevada,299550,0.011,-0.0647,-0.0701,0.0196
1155,2017-06-01,Nevada,296300,0.022,-0.0087,0.0037,-0.0097
1206,2017-05-01,Nevada,289934,0.0175,0.006,0.063,-0.0096
1257,2017-04-01,Nevada,284950,0.0195,0.0397,0.004,-0.0796
1308,2017-03-01,Nevada,279494,0.0162,0.1514,0.1195,-0.2042
1359,2017-02-01,Nevada,275050,0.0036,0.0605,0.1649,-0.1235
1410,2017-01-01,Nevada,274050,0.0148,0.3389,0.0659,0.0554
1461,2016-12-01,Nevada,270050,0.0,-0.2143,0.04,0.0964
1512,2016-11-01,Nevada,270050,0.0,-0.1074,-0.2257,0.0448
1563,2016-10-01,Nevada,270050,0.0004,-0.0852,0.0044,0.0229
1614,2016-09-01,Nevada,269950,0.0,-0.0347,0.009,0.0315
1665,2016-08-01,Nevada,269950,0.0071,-0.022,0.0045,0.0242
1716,2016-07-01,Nevada,268050,0.031,-0.0458,0.0423,0.0081
1767,2016-06-01,Nevada,259994,-0.1033,0.0382,0.034,0.0789
1818,2016-05-01,Nevada,289950,0.037,0.0145,-0.0804,-0.0087
1869,2016-04-01,Nevada,279600,0.0357,0.0396,0.0,-0.0336
1920,2016-03-01,Nevada,269950,0.0189,0.0536,0.0718,-0.15
1971,2016-02-01,Nevada,264950,0.0192,0.0697,0.1359,-0.1358
2022,2016-01-01,Nevada,259950,0.0,0.3694,0.1572,0.0385
2073,2015-12-01,Nevada,259950,-0.0004,-0.1456,-0.0756,0.1304
2124,2015-11-01,Nevada,260050,-0.0093,-0.1496,-0.2712,0.0376
2175,2015-10-01,Nevada,262500,-0.0096,-0.0437,0.0727,0.0472
2226,2015-09-01,Nevada,265050,0.0004,-0.0313,-0.1057,0.0242
2277,2015-08-01,Nevada,264950,0.0044,-0.2289,0.0468,0.0508
