,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
34,2019-04-01,New York,449900,0.0227,0.0864,-0.0636,-0.2
85,2019-03-01,New York,439900,0.0242,0.334,0.2582,-0.1429
136,2019-02-01,New York,429500,0.03,-0.0062,-0.0864,0.0096
187,2019-01-01,New York,417000,0.0048,0.393,0.3087,0.0947
238,2018-12-01,New York,415000,-0.0095,-0.2802,-0.145,0.1047
289,2018-11-01,New York,419000,0.0282,-0.2586,-0.1774,0.0361
340,2018-10-01,New York,407500,0.0092,-0.0083,-0.0917,0.0122
391,2018-09-01,New York,403800,0.0095,0.0886,-0.0217,0.1081
442,2018-08-01,New York,400000,-0.0453,-0.1287,-0.1598,0.0882
493,2018-07-01,New York,419000,-0.0183,-0.1118,0.0683,0.0968
544,2018-06-01,New York,426800,-0.0051,-0.0103,0.0302,-0.0462
595,2018-05-01,New York,429000,0.0337,0.0964,-0.0829,-0.1216
646,2018-04-01,New York,415000,0.0388,0.2361,0.1391,-0.2043
697,2018-03-01,New York,399500,0.0296,0.1087,0.233,-0.1308
748,2018-02-01,New York,388000,0.0793,0.2455,0.2023,-0.0093
799,2018-01-01,New York,359500,0.0184,0.462,0.0198,0.08
850,2017-12-01,New York,353000,0.0086,-0.3621,-0.2632,0.0753
901,2017-11-01,New York,350000,0.0,-0.1778,0.0301,0.0449
952,2017-10-01,New York,350050,0.0003,-0.0452,-0.17,0.0349
1003,2017-09-01,New York,349950,0.0011,-0.0564,0.061,0.075
1054,2017-08-01,New York,349550,-0.0124,-0.066,-0.0383,0.0959
1105,2017-07-01,New York,353950,-0.0142,-0.0658,-0.105,0.0896
1156,2017-06-01,New York,359050,0.0,-0.0909,0.0355,-0.0147
1207,2017-05-01,New York,359050,0.0286,0.1142,0.1016,-0.1053
1258,2017-04-01,New York,349050,0.0421,0.3722,0.1925,-0.2585
1309,2017-03-01,New York,334950,0.0242,0.0101,-0.0904,-0.0682
1360,2017-02-01,New York,327050,0.0582,0.1428,0.1959,-0.0351
1411,2017-01-01,New York,309050,-0.0015,0.284,-0.0543,0.0806
1462,2016-12-01,New York,309500,-0.0175,-0.3096,0.0129,0.0446
1513,2016-11-01,New York,315000,0.0499,-0.0218,-0.1511,0.0412
1564,2016-10-01,New York,300040,0.0018,-0.054,-0.1012,0.0104
1615,2016-09-01,New York,299500,0.0015,0.0222,0.3545,0.0787
1666,2016-08-01,New York,299050,-0.003,-0.1237,-0.2173,0.141
1717,2016-07-01,New York,299950,-0.0214,-0.1509,-0.0104,0.0759
1768,2016-06-01,New York,306500,0.0051,-0.0555,-0.035,-0.0068
1819,2016-05-01,New York,304950,0.0197,0.0292,-0.0244,-0.1412
1870,2016-04-01,New York,299050,0.0312,0.1131,0.0567,-0.213
1921,2016-03-01,New York,290000,0.0359,0.2791,0.289,-0.1074
1972,2016-02-01,New York,279950,0.0178,0.1318,0.0308,0.0083
2023,2016-01-01,New York,275050,0.0,0.3635,0.1451,0.0345
2074,2015-12-01,New York,275050,-0.0143,-0.287,-0.1667,0.0741
2125,2015-11-01,New York,279050,-0.0016,-0.1695,-0.1232,0.0588
2176,2015-10-01,New York,279500,0.0016,-0.0656,-0.0767,0.0355
2227,2015-09-01,New York,279050,-0.0032,-0.0639,0.0442,0.1067
2278,2015-08-01,New York,279950,0.0,-0.2152,-0.019,0.141
2329,2015-07-01,New York,279950,-0.0074,-0.0097,-0.0238,0.1064
2380,2015-06-01,New York,282050,0.0,-0.0697,-0.0913,-0.0342
2431,2015-05-01,New York,282050,0.0091,0.0683,0.0667,-0.1978
