,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
35,2019-04-01,Ohio,182200,0.0417,0.2048,0.3441,-0.2167
86,2019-03-01,Ohio,174900,0.0505,0.2216,0.1273,-0.2308
137,2019-02-01,Ohio,166500,0.0109,0.1067,0.0714,-0.025
188,2019-01-01,Ohio,164700,-0.0012,0.1454,0.4528,0.1594
239,2018-12-01,Ohio,164900,-0.0243,-0.2767,-0.3161,0.15
290,2018-11-01,Ohio,169000,-0.0053,-0.1555,-0.1243,0.0169
341,2018-10-01,Ohio,169900,-0.0006,-0.0239,-0.1571,0.0926
392,2018-09-01,Ohio,170000,-0.028,-0.1165,-0.0411,0.08
443,2018-08-01,Ohio,174900,-0.0174,-0.0506,-0.0641,0.0638
494,2018-07-01,Ohio,178000,0.0028,-0.0289,-0.064,0.0444
545,2018-06-01,Ohio,177500,0.0236,0.0202,-0.2114,-0.0217
596,2018-05-01,Ohio,173400,0.0515,0.0908,0.1569,-0.1154
647,2018-04-01,Ohio,164900,0.0537,0.1093,0.0418,-0.1186
698,2018-03-01,Ohio,156500,0.044,0.2285,0.1741,-0.2716
749,2018-02-01,Ohio,149900,0.0128,0.2244,0.1789,-0.0581
800,2018-01-01,Ohio,148000,-0.0127,0.1265,0.25,0.1467
851,2017-12-01,Ohio,149900,-0.0323,-0.2589,-0.283,0.1194
902,2017-11-01,Ohio,154900,0.0124,-0.1427,0.0192,0.0308
953,2017-10-01,Ohio,153050,-0.0126,-0.0671,0.0452,0.0744
1004,2017-09-01,Ohio,155000,-0.0003,-0.0983,-0.0478,0.0342
1055,2017-08-01,Ohio,155050,0.0,-0.0271,-0.0048,0.0263
1106,2017-07-01,Ohio,155050,0.0006,-0.0324,-0.0323,0.0459
1157,2017-06-01,Ohio,154950,0.0333,0.0167,0.0188,-0.018
1208,2017-05-01,Ohio,149950,0.0,0.0083,-0.2947,-0.0089
1259,2017-04-01,Ohio,149950,0.0449,0.0898,0.1144,-0.145
1310,2017-03-01,Ohio,143500,0.0471,0.2019,0.2488,-0.2514
1361,2017-02-01,Ohio,137050,0.0156,0.1824,0.0637,-0.0278
1412,2017-01-01,Ohio,134950,-0.0063,0.1823,0.0303,0.0909
1463,2016-12-01,Ohio,135800,-0.0283,-0.2434,0.0259,0.082
1514,2016-11-01,Ohio,139750,-0.0014,-0.1455,-0.2025,0.0445
1565,2016-10-01,Ohio,139950,-0.0007,-0.0191,-0.0163,0.0657
1616,2016-09-01,Ohio,140050,-0.0106,-0.0846,-0.1488,0.0458
1667,2016-08-01,Ohio,141550,-0.0098,-0.0897,0.0248,0.0565
1718,2016-07-01,Ohio,142950,0.0067,-0.0396,-0.0473,0.0164
1769,2016-06-01,Ohio,142000,0.0146,0.0012,-0.075,-0.0161
1820,2016-05-01,Ohio,139950,0.016,0.0044,-0.0303,-0.0677
1871,2016-04-01,Ohio,137750,0.0335,0.0639,0.2406,-0.1529
1922,2016-03-01,Ohio,133287,0.0302,0.1875,0.0556,-0.1907
1973,2016-02-01,Ohio,129375,0.0272,0.2387,0.5,-0.0102
2024,2016-01-01,Ohio,125950,-0.0198,0.2745,0.0566,0.1011
2075,2015-12-01,Ohio,128500,-0.0112,-0.269,-0.3375,0.0988
2126,2015-11-01,Ohio,129950,-0.0178,-0.1867,0.2183,0.0658
2177,2015-10-01,Ohio,132300,-0.0183,-0.0409,-0.1126,0.027
2228,2015-09-01,Ohio,134762,-0.0014,-0.1374,-0.0902,0.0725
2279,2015-08-01,Ohio,134950,-0.0007,-0.1327,-0.0963,0.0534
2330,2015-07-01,Ohio,135050,0.0004,0.0416,0.063,0.0738
2381,2015-06-01,Ohio,135000,0.0004,-0.0182,0.0079,0.0
2432,2015-05-01,Ohio,134950,0.0522,0.069,0.0909,-0.1701
2483,2015-04-01,Ohio,128250,0.0264,0.2114,0.1667,-0.2423
2534,2015-03-01,Ohio,124950,0.0413,0.1453,-0.066,-0.0806
2585,2015-02-01,Ohio,120000,0.0004,0.043,0.0242,0.0048
2636,2015-01-01,Ohio,119950,0.0,0.301,0.5109,0.0714
2687,2014-12-01,Ohio,119950,-0.04,-0.201,-0.3716,0.0889
2738,2014-11-01,Ohio,124950,-0.0083,-0.1533,0.172,0.0651
2789,2014-10-01,Ohio,126000,-0.016,-0.0827,-0.1733,0.0563
2840,2014-09-01,Ohio,128050,-0.0146,-0.0956,-0.1541,0.0811
2891,2014-08-01,Ohio,129950,0.0,-0.1007,0.1928,0.0647
2942,2014-07-01,Ohio,129950,0.0,-0.0501,-0.122,0.0221
2994,2014-06-01,Ohio,129950,0.0008,-0.0054,0.004,-0.049
3046,2014-05-01,Ohio,129851,0.0347,0.0399,0.0243,-0.1488
3098,2014-04-01,Ohio,125500,0.0454,0.1468,0.0833,-0.1845
3149,2014-03-01,Ohio,120050,0.0084,0.296,0.0556,-0.0636
3200,2014-02-01,Ohio,119050,0.018,0.0713,-0.129,0.0185
3252,2014-01-01,Ohio,116950,-0.0093,0.351,0.2917,0.1134
3304,2013-12-01,Ohio,118050,-0.0158,-0.3146,-0.1312,0.0718
3356,2013-11-01,Ohio,119950,0.0,-0.0964,-0.0905,0.0462
3408,2013-10-01,Ohio,119950,-0.0008,-0.1008,-0.1066,0.0549
3460,2013-09-01,Ohio,120050,-0.0315,-0.1015,-0.0811,0.0789
3512,2013-08-01,Ohio,123950,-0.008,-0.0207,0.1341,0.034
3563,2013-07-01,Ohio,124950,0.0,-0.0619,-0.0261,0.05
3614,2013-06-01,Ohio,124950,0.0,-0.0717,-0.0853,-0.0411
3665,2013-05-01,Ohio,124950,0.0284,0.0515,0.0812,-0.0641
