,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
36,2019-04-01,Oklahoma,205000,0.0302,0.0965,-0.1887,-0.0769
87,2019-03-01,Oklahoma,199000,0.0474,0.0987,-0.0093,-0.1875
138,2019-02-01,Oklahoma,190000,0.0005,0.0056,0.5286,-0.0476
189,2019-01-01,Oklahoma,189900,0.0021,0.2695,0.1667,0.0244
240,2018-12-01,Oklahoma,189500,-0.0026,-0.1751,-0.3182,0.1081
291,2018-11-01,Oklahoma,190000,0.0005,-0.0346,-0.4014,0.0137
342,2018-10-01,Oklahoma,189900,0.0,-0.0839,0.5,0.058
393,2018-09-01,Oklahoma,189900,0.0,-0.0586,-0.0101,0.0455
444,2018-08-01,Oklahoma,189900,-0.0005,-0.1218,-0.1316,0.0313
495,2018-07-01,Oklahoma,190000,0.0005,0.0027,-0.0256,0.0847
546,2018-06-01,Oklahoma,189900,0.0,-0.0325,-0.1333,0.0
597,2018-05-01,Oklahoma,189900,0.0048,0.0539,0.2273,-0.0328
648,2018-04-01,Oklahoma,189000,0.0216,0.2248,0.0891,-0.1159
699,2018-03-01,Oklahoma,185000,0.0283,-0.0594,-0.0901,-0.1266
750,2018-02-01,Oklahoma,179900,0.0011,0.0689,0.0183,-0.0482
801,2018-01-01,Oklahoma,179700,-0.0011,0.2534,0.0686,0.0247
852,2017-12-01,Oklahoma,179900,0.0,-0.159,-0.1282,0.0946
903,2017-11-01,Oklahoma,179900,-0.0115,-0.0753,0.0446,0.0137
954,2017-10-01,Oklahoma,182050,-0.0149,-0.0729,0.0182,0.0815
1005,2017-09-01,Oklahoma,184800,-0.0014,-0.0468,-0.2029,0.0305
1056,2017-08-01,Oklahoma,185050,-0.0237,-0.0906,0.1311,0.0077
1107,2017-07-01,Oklahoma,189550,-0.0011,0.0036,-0.0543,0.0
1158,2017-06-01,Oklahoma,189750,0.0001,0.0218,0.1121,0.0484
1209,2017-05-01,Oklahoma,189725,0.0253,0.0383,0.0175,0.0164
1260,2017-04-01,Oklahoma,185050,0.0221,-0.0449,0.1753,-0.0317
1311,2017-03-01,Oklahoma,181050,0.0136,0.1803,-0.0102,-0.1871
1362,2017-02-01,Oklahoma,178625,0.0089,0.0688,0.1667,-0.0663
1413,2017-01-01,Oklahoma,177050,-0.0038,0.2684,0.1831,0.0184
1464,2016-12-01,Oklahoma,177725,-0.0069,-0.1586,-0.3364,0.0867
1515,2016-11-01,Oklahoma,178960,-0.0005,-0.0338,-0.0932,0.087
1566,2016-10-01,Oklahoma,179050,0.0027,-0.0678,-0.0167,0.0299
1617,2016-09-01,Oklahoma,178560,-0.0055,-0.0976,-0.0625,0.0075
1668,2016-08-01,Oklahoma,179550,-0.0022,-0.0079,0.2075,-0.0075
1719,2016-07-01,Oklahoma,179950,-0.0006,-0.0226,-0.1719,0.0308
1770,2016-06-01,Oklahoma,180050,0.0006,-0.0098,0.0847,0.0484
1821,2016-05-01,Oklahoma,179950,0.0115,-0.0489,0.0442,-0.0159
1872,2016-04-01,Oklahoma,177900,0.0257,0.1326,-0.0813,-0.0455
1923,2016-03-01,Oklahoma,173450,0.0206,0.0271,0.1081,-0.1592
1974,2016-02-01,Oklahoma,169950,0.0113,0.0798,0.0882,-0.0765
2025,2016-01-01,Oklahoma,168050,0.003,0.2378,0.0,0.0429
2076,2015-12-01,Oklahoma,167550,-0.0141,-0.2151,0.0,0.1164
2127,2015-11-01,Oklahoma,169950,0.0013,-0.0337,-0.2867,0.0504
2178,2015-10-01,Oklahoma,169723,0.004,-0.0471,0.0,0.0296
2229,2015-09-01,Oklahoma,169050,0.006,-0.0836,0.0515,0.0075
2280,2015-08-01,Oklahoma,168050,-0.0088,-0.1457,0.2593,-0.0074
2331,2015-07-01,Oklahoma,169550,-0.0024,0.0665,-0.1074,0.0385
2382,2015-06-01,Oklahoma,169950,0.0053,-0.0311,-0.097,0.0656
2433,2015-05-01,Oklahoma,169050,0.0076,-0.037,-0.2209,-0.0758
2484,2015-04-01,Oklahoma,167775,0.0483,0.1017,0.5357,-0.0294
2535,2015-03-01,Oklahoma,160050,0.016,0.0642,-0.0088,-0.1807
2586,2015-02-01,Oklahoma,157525,0.003,0.0627,0.018,-0.0405
2637,2015-01-01,Oklahoma,157050,0.0149,0.2729,0.1563,0.0
2688,2014-12-01,Oklahoma,154750,-0.0013,-0.2066,0.0213,0.109
2739,2014-11-01,Oklahoma,154950,0.0013,0.016,-0.1376,0.047
2790,2014-10-01,Oklahoma,154750,-0.0019,-0.0913,-0.0992,0.0276
2841,2014-09-01,Oklahoma,155043,0.0689,-0.1522,0.1204,0.0507
2892,2014-08-01,Oklahoma,145050,-0.0373,0.0709,-0.027,-0.035
2943,2014-07-01,Oklahoma,150677,-0.009,0.0052,-0.1462,0.0672
2995,2014-06-01,Oklahoma,152050,0.014,-0.0214,-0.4715,0.0
3047,2014-05-01,Oklahoma,149950,0.0034,-0.0372,0.7698,-0.0496
3099,2014-04-01,Oklahoma,149447,0.0198,-0.0351,0.0859,-0.06
