,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
37,2019-04-01,Oregon,415000,0.0147,0.2695,0.1375,-0.1525
88,2019-03-01,Oregon,409000,0.0228,0.1793,-0.1011,-0.2133
139,2019-02-01,Oregon,399900,0.0,-0.0468,-0.0532,-0.1279
190,2019-01-01,Oregon,399900,0.0,0.578,0.8077,0.075
241,2018-12-01,Oregon,399900,0.0,-0.3201,-0.302,0.1765
292,2018-11-01,Oregon,399900,-0.0003,-0.1893,-0.1768,0.0625
343,2018-10-01,Oregon,400000,0.0,-0.0945,0.0056,0.1034
394,2018-09-01,Oregon,400000,-0.0123,-0.1485,-0.1176,0.1373
445,2018-08-01,Oregon,405000,-0.0239,-0.0201,0.1591,0.0625
496,2018-07-01,Oregon,414900,-0.0002,-0.011,-0.0974,0.0667
547,2018-06-01,Oregon,415000,0.0,-0.0313,0.0894,0.0227
598,2018-05-01,Oregon,415000,0.0275,0.132,-0.096,-0.0435
649,2018-04-01,Oregon,403900,0.0136,0.1009,0.1186,-0.1786
700,2018-03-01,Oregon,398500,0.0218,0.3435,0.0172,-0.2432
751,2018-02-01,Oregon,390000,0.0026,0.0572,0.1154,-0.1084
802,2018-01-01,Oregon,389000,0.0,0.411,0.0986,0.0247
853,2017-12-01,Oregon,389000,-0.0018,-0.313,-0.0658,0.125
904,2017-11-01,Oregon,389700,0.0018,-0.2048,-0.0732,0.0909
955,2017-10-01,Oregon,389050,0.0138,-0.0824,-0.123,0.1282
1006,2017-09-01,Oregon,383750,-0.0117,-0.1408,0.0747,0.1143
1057,2017-08-01,Oregon,388300,-0.0044,-0.0297,-0.2689,0.05
1108,2017-07-01,Oregon,390000,0.0013,-0.0187,0.0769,0.087
1159,2017-06-01,Oregon,389500,0.0012,-0.0279,0.0676,0.0222
1210,2017-05-01,Oregon,389050,0.032,0.2021,0.2778,-0.1176
1261,2017-04-01,Oregon,377000,0.0272,0.1489,-0.1,-0.184
1312,2017-03-01,Oregon,367000,0.0221,0.2347,0.1321,-0.3094
1363,2017-02-01,Oregon,359050,0.0257,0.2836,0.3947,-0.067
1414,2017-01-01,Oregon,350050,0.0,0.2205,-0.0339,0.0659
1465,2016-12-01,Oregon,350050,0.0,-0.2547,-0.0484,0.1375
1516,2016-11-01,Oregon,350050,0.0,-0.2276,-0.2439,0.1268
1567,2016-10-01,Oregon,350050,0.0,-0.143,-0.1183,0.1008
1618,2016-09-01,Oregon,350050,0.0,-0.1597,-0.0558,0.084
1669,2016-08-01,Oregon,350050,0.0,-0.0509,0.0051,0.1226
1720,2016-07-01,Oregon,350050,0.0003,-0.0017,0.0481,-0.0093
1771,2016-06-01,Oregon,349950,0.0057,0.0288,-0.065,-0.0093
1822,2016-05-01,Oregon,347950,0.0464,0.0898,-0.0196,-0.0924
1873,2016-04-01,Oregon,332512,0.0167,0.1771,0.1271,-0.1119
1924,2016-03-01,Oregon,327050,0.0235,0.1286,-0.0524,-0.2891
1975,2016-02-01,Oregon,319550,0.0175,0.0955,0.1506,-0.0938
2026,2016-01-01,Oregon,314050,0.0033,0.5525,0.2117,0.0196
2077,2015-12-01,Oregon,313017,-0.0189,-0.3258,-0.1543,0.1087
2128,2015-11-01,Oregon,319050,-0.0028,-0.1292,0.0318,0.0888
2179,2015-10-01,Oregon,319950,0.0107,-0.1247,-0.1737,0.0974
2230,2015-09-01,Oregon,316549,0.008,-0.1471,-0.0777,0.0845
2281,2015-08-01,Oregon,314050,0.0147,-0.1881,0.0198,0.1008
2332,2015-07-01,Oregon,309500,0.0317,-0.0191,-0.1477,0.0488
2383,2015-06-01,Oregon,300000,0.0002,0.0488,0.185,-0.0391
2434,2015-05-01,Oregon,299950,0.0133,0.0605,-0.1489,-0.0791
2485,2015-04-01,Oregon,296000,0.0384,0.0975,0.0682,-0.2191
2536,2015-03-01,Oregon,285050,0.0215,0.1809,0.2644,-0.2489
2587,2015-02-01,Oregon,279050,0.0,0.0859,0.1013,-0.0287
2638,2015-01-01,Oregon,279050,0.0009,0.4247,0.0897,0.0252
2689,2014-12-01,Oregon,278800,-0.0041,-0.194,-0.0461,0.1442
2740,2014-11-01,Oregon,279950,-0.0074,-0.1521,-0.1412,0.1064
2791,2014-10-01,Oregon,282050,-0.0105,-0.1358,-0.0876,0.0836
2842,2014-09-01,Oregon,285050,0.0,-0.1704,-0.1261,0.071
2893,2014-08-01,Oregon,285050,0.0,-0.0195,-0.0513,0.0872
2944,2014-07-01,Oregon,285050,0.0,-0.0191,0.0833,0.0347
2996,2014-06-01,Oregon,285050,0.0276,-0.0186,-0.0769,-0.0526
3048,2014-05-01,Oregon,277400,0.0131,0.1033,-0.1333,-0.1111
3100,2014-04-01,Oregon,273800,0.0177,0.1578,0.3366,-0.2815
3151,2014-03-01,Oregon,269050,0.0162,0.2993,0.0919,-0.0846
3202,2014-02-01,Oregon,264750,0.0181,-0.0493,-0.1629,-0.0076
3254,2014-01-01,Oregon,260050,-0.0185,0.6752,1.0463,0.065
3306,2013-12-01,Oregon,264950,-0.0004,-0.3383,-0.4375,0.1233
3358,2013-11-01,Oregon,265050,-0.0182,-0.114,-0.0154,0.1005
3410,2013-10-01,Oregon,269950,0.0,-0.1415,-0.1216,0.0699
3462,2013-09-01,Oregon,269950,-0.0002,-0.1239,-0.0306,0.0751
3514,2013-08-01,Oregon,270000,0.0002,-0.0635,-0.0691,0.0813
3565,2013-07-01,Oregon,269950,0.0033,0.0334,0.0082,0.0526
3616,2013-06-01,Oregon,269050,0.0299,-0.0467,0.0991,0.0
3667,2013-05-01,Oregon,261250,0.0289,0.0765,-0.1685,-0.0646
3718,2013-04-01,Oregon,253900,0.0158,0.1047,0.0191,-0.2188
3769,2013-03-01,Oregon,249950,0.0202,0.2013,0.1909,-0.1843
3820,2013-02-01,Oregon,245000,0.021,0.0462,0.0233,-0.0659
3871,2013-01-01,Oregon,239950,-0.0204,0.3791,0.1685,0.042
3922,2012-12-01,Oregon,244950,-0.0154,-0.1281,0.0055,0.0962
3973,2012-11-01,Oregon,248786,-0.0047,-0.1281,0.0167,0.0717
4024,2012-10-01,Oregon,249950,0.0,-0.1204,-0.0217,0.0825
4075,2012-09-01,Oregon,249950,0.0,-0.1058,-0.0891,0.0842
4126,2012-08-01,Oregon,249950,0.0,-0.07,0.0521,0.0326
