,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
38,2019-04-01,Pennsylvania,220000,0.0481,0.2044,0.0344,-0.2529
89,2019-03-01,Pennsylvania,209900,0.0511,0.2647,0.0053,-0.1471
140,2019-02-01,Pennsylvania,199700,0.0246,0.0383,0.2921,0.0099
191,2019-01-01,Pennsylvania,194900,-0.0036,0.291,0.2652,0.1222
242,2018-12-01,Pennsylvania,195600,-0.0215,-0.2468,-0.0417,0.125
293,2018-11-01,Pennsylvania,199900,0.0,-0.1835,-0.2814,0.0667
344,2018-10-01,Pennsylvania,199900,-0.0005,-0.0565,-0.0773,0.0274
395,2018-09-01,Pennsylvania,200000,-0.0123,-0.0008,0.0742,0.0735
446,2018-08-01,Pennsylvania,202500,-0.0357,-0.0882,-0.0989,0.0462
497,2018-07-01,Pennsylvania,210000,-0.0047,-0.0555,0.0595,0.0833
548,2018-06-01,Pennsylvania,211000,0.0149,-0.0639,-0.2521,-0.0625
599,2018-05-01,Pennsylvania,207900,0.04,0.0609,0.2041,-0.1351
650,2018-04-01,Pennsylvania,199900,0.0262,0.2224,-0.0051,-0.2128
701,2018-03-01,Pennsylvania,194800,0.0296,0.1658,0.2313,-0.1215
752,2018-02-01,Pennsylvania,189200,0.0233,0.1796,-0.0184,0.0094
803,2018-01-01,Pennsylvania,184900,-0.016,0.2771,0.5673,0.1042
854,2017-12-01,Pennsylvania,187900,-0.0254,-0.3411,-0.3864,0.1034
905,2017-11-01,Pennsylvania,192800,-0.0108,-0.1765,-0.0088,0.061
956,2017-10-01,Pennsylvania,194950,0.0049,0.0153,-0.0058,0.0186
1007,2017-09-01,Pennsylvania,194000,-0.0049,-0.0766,-0.0497,0.0662
1058,2017-08-01,Pennsylvania,194950,-0.0132,-0.0626,-0.1084,0.0486
1109,2017-07-01,Pennsylvania,197550,-0.0075,-0.0245,0.1567,0.0667
1160,2017-06-01,Pennsylvania,199050,0.0063,-0.0927,-0.0304,0.0075
1211,2017-05-01,Pennsylvania,197800,0.0413,0.0086,-0.2096,-0.0946
1262,2017-04-01,Pennsylvania,189950,0.0268,0.163,-0.0858,-0.241
1313,2017-03-01,Pennsylvania,185000,0.0423,0.1916,0.3726,-0.1216
1364,2017-02-01,Pennsylvania,177500,0.0146,0.1982,0.0673,0.0
1415,2017-01-01,Pennsylvania,174950,-0.0144,0.2647,0.1104,0.0882
1466,2016-12-01,Pennsylvania,177500,-0.0139,-0.2613,0.1667,0.0737
1517,2016-11-01,Pennsylvania,180000,-0.0268,-0.1357,-0.1801,0.044
1568,2016-10-01,Pennsylvania,184950,-0.0005,-0.0496,-0.2088,0.0225
1619,2016-09-01,Pennsylvania,185050,0.0005,-0.0036,-0.0097,0.0409
1670,2016-08-01,Pennsylvania,184950,-0.0159,-0.0881,0.0989,0.0688
1721,2016-07-01,Pennsylvania,187947,-0.0058,-0.0829,-0.0788,0.0738
1772,2016-06-01,Pennsylvania,189050,0.0167,-0.0732,-0.0193,0.0205
1823,2016-05-01,Pennsylvania,185950,0.0331,-0.0152,-0.1,-0.1043
1874,2016-04-01,Pennsylvania,180000,0.0031,0.0551,0.1031,-0.2238
1925,2016-03-01,Pennsylvania,179450,0.0467,0.4045,0.0638,-0.1026
1976,2016-02-01,Pennsylvania,171450,0.0142,-0.0012,0.2174,0.0541
2027,2016-01-01,Pennsylvania,169050,-0.0053,0.318,0.1378,0.0571
2078,2015-12-01,Pennsylvania,169950,-0.0179,-0.2253,-0.1914,0.1053
