,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
39,2019-04-01,Rhode Island,357000,0.0203,0.3566,-0.4,-0.2034
90,2019-03-01,Rhode Island,349900,0.0267,0.2433,0.1111,-0.2027
141,2019-02-01,Rhode Island,340800,0.025,0.0909,0.8,-0.0263
192,2019-01-01,Rhode Island,332500,0.0079,0.1364,-0.5,0.1343
243,2018-12-01,Rhode Island,329900,-0.012,-0.2588,0.4286,0.1754
294,2018-11-01,Rhode Island,333900,-0.0165,-0.2208,-0.4167,0.0364
345,2018-10-01,Rhode Island,339500,-0.0258,-0.1289,0.2,0.0577
396,2018-09-01,Rhode Island,348500,-0.0014,0.0042,0.1111,0.04
447,2018-08-01,Rhode Island,349000,0.0,-0.0124,-0.4375,0.087
498,2018-07-01,Rhode Island,349000,0.0035,-0.0744,-0.2,0.0952
549,2018-06-01,Rhode Island,347800,-0.0034,-0.0029,0.25,0.0244
600,2018-05-01,Rhode Island,349000,0.0268,0.2053,0.0,-0.1087
651,2018-04-01,Rhode Island,339900,0.0012,0.2213,0.3333,-0.1636
702,2018-03-01,Rhode Island,339500,0.0291,0.2865,1.0,-0.3125
753,2018-02-01,Rhode Island,329900,0.0151,0.2306,-0.4545,-0.0698
804,2018-01-01,Rhode Island,325000,0.0015,0.1564,1.75,0.1622
855,2017-12-01,Rhode Island,324500,-0.0648,-0.2935,-0.7333,0.1563
906,2017-11-01,Rhode Island,347000,-0.0057,-0.2376,0.5,0.0667
957,2017-10-01,Rhode Island,349050,-0.0013,-0.0321,-0.1667,0.0169
1008,2017-09-01,Rhode Island,349500,0.0013,-0.0298,-0.0769,0.0442
1059,2017-08-01,Rhode Island,349050,-0.0026,-0.0688,-0.1875,0.066
1110,2017-07-01,Rhode Island,349950,-0.0003,-0.0316,-0.3333,0.1042
1161,2017-06-01,Rhode Island,350050,0.0088,-0.1066,0.8462,0.0105
1212,2017-05-01,Rhode Island,347000,0.0207,0.1447,-0.1875,-0.1364
1263,2017-04-01,Rhode Island,339950,0.0414,0.1943,0.7778,-0.1538
1314,2017-03-01,Rhode Island,326425,0.0883,1.3102,0.5,-0.2442
1365,2017-02-01,Rhode Island,299950,0.0345,-0.4511,-0.4,0.0238
1416,2017-01-01,Rhode Island,289950,-0.0002,0.3663,0.0,0.0633
1467,2016-12-01,Rhode Island,290000,-0.0303,-0.3355,-0.0909,0.1367
1518,2016-11-01,Rhode Island,299050,-0.003,-0.1314,-0.0833,0.053
1569,2016-10-01,Rhode Island,299950,0.0,-0.1347,-0.25,0.0394
1620,2016-09-01,Rhode Island,299950,0.0,-0.038,0.0667,0.0325
1671,2016-08-01,Rhode Island,299950,-0.0003,0.0206,-0.1667,0.0424
1722,2016-07-01,Rhode Island,300042,0.0003,-0.1479,-0.1,0.1028
1773,2016-06-01,Rhode Island,299950,0.0,0.0073,-0.2308,0.0288
