,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
41,2019-04-01,South Dakota,239900,0.0144,0.4304,-0.1429,-0.1528
92,2019-03-01,South Dakota,236500,0.0115,0.2707,0.5556,-0.1529
143,2019-02-01,South Dakota,233800,0.0099,-0.1319,-0.3077,-0.023
194,2019-01-01,South Dakota,231500,0.0065,0.4281,0.3,0.0741
245,2018-12-01,South Dakota,230000,-0.0103,-0.2878,-0.0909,0.209
296,2018-11-01,South Dakota,232400,0.0052,-0.273,-0.1538,0.1167
347,2018-10-01,South Dakota,231200,0.0052,-0.1048,-0.1875,0.0345
398,2018-09-01,South Dakota,230000,-0.0184,-0.0248,0.0,0.0943
449,2018-08-01,South Dakota,234300,-0.003,-0.0952,0.1429,0.0192
500,2018-07-01,South Dakota,235000,-0.0204,0.0333,-0.2222,0.0833
551,2018-06-01,South Dakota,239900,0.0063,-0.0521,-0.1818,-0.0769
602,2018-05-01,South Dakota,238400,0.0188,0.207,0.5714,-0.0545
653,2018-04-01,South Dakota,234000,0.0178,0.1206,0.75,-0.1667
704,2018-03-01,South Dakota,229900,0.0026,0.2278,-0.6667,-0.1951
755,2018-02-01,South Dakota,229300,0.0173,0.0403,0.6,-0.0465
806,2018-01-01,South Dakota,225400,0.0018,0.4552,0.875,0.1026
857,2017-12-01,South Dakota,225000,0.0022,-0.3095,0.0,0.1642
908,2017-11-01,South Dakota,224500,-0.0022,-0.1797,-0.3333,0.0308
959,2017-10-01,South Dakota,225050,0.0004,-0.0906,0.0,0.0833
1010,2017-09-01,South Dakota,224950,-0.0002,-0.057,-0.25,0.0714
1061,2017-08-01,South Dakota,225000,-0.0002,-0.0524,-0.2,0.0566
1112,2017-07-01,South Dakota,225050,0.0002,-0.1038,0.1111,0.0816
1163,2017-06-01,South Dakota,225000,-0.0098,-0.025,1.0,0.0208
1214,2017-05-01,South Dakota,227225,0.0101,0.0603,-0.55,-0.0588
1265,2017-04-01,South Dakota,224950,0.0237,0.2454,0.25,-0.1774
1316,2017-03-01,South Dakota,219750,0.0088,0.3684,1.0,-0.2508
1367,2017-02-01,South Dakota,217831,0.0129,0.1271,-0.3333,-0.0597
1418,2017-01-01,South Dakota,215050,0.0005,0.3828,1.0,0.0864
1469,2016-12-01,South Dakota,214950,0.0,-0.3632,-0.25,0.1096
1520,2016-11-01,South Dakota,214950,0.0,-0.0987,-0.3333,0.0735
1571,2016-10-01,South Dakota,214950,0.0,-0.1832,-0.0769,0.0382
1622,2016-09-01,South Dakota,214950,-0.0002,-0.0404,-0.0714,0.0565
1673,2016-08-01,South Dakota,215000,-0.009,-0.0641,0.0,0.0333
1724,2016-07-01,South Dakota,216950,0.0077,-0.0241,-0.0667,0.0909
1775,2016-06-01,South Dakota,215300,0.0016,-0.0674,-0.0625,0.0577
1826,2016-05-01,South Dakota,214950,0.0068,0.1041,-0.2381,-0.0796
1877,2016-04-01,South Dakota,213500,0.0057,0.1287,0.9091,-0.163
1928,2016-03-01,South Dakota,212300,0.0047,0.3137,-0.1538,-0.2416
1979,2016-02-01,South Dakota,211300,0.0064,0.193,0.625,0.0114
2030,2016-01-01,South Dakota,209950,0.0021,0.2482,0.3333,0.0539
2081,2015-12-01,South Dakota,209500,-0.0021,-0.3116,-0.5,0.1438
2132,2015-11-01,South Dakota,209950,-0.0004,-0.0934,-0.4783,0.0735
2183,2015-10-01,South Dakota,210037,0.0122,-0.1392,0.9167,0.0382
2234,2015-09-01,South Dakota,207500,0.0119,-0.1146,-0.25,0.0077
2285,2015-08-01,South Dakota,205050,-0.0189,-0.1312,-0.2,0.0236
2336,2015-07-01,South Dakota,209000,0.0094,-0.0391,0.4286,0.0672
2387,2015-06-01,South Dakota,207050,0.0355,0.0518,0.1667,0.0259
2438,2015-05-01,South Dakota,199950,0.0045,-0.0437,-0.1429,-0.0492
2489,2015-04-01,South Dakota,199050,0.0474,0.151,-0.125,-0.1867
2540,2015-03-01,South Dakota,190050,0.0005,0.1968,-0.0588,-0.2574
2591,2015-02-01,South Dakota,189950,0.0077,0.1581,0.3077,0.01
2642,2015-01-01,South Dakota,188500,0.0189,0.5088,1.1667,0.087
2693,2014-12-01,South Dakota,185000,-0.0003,-0.2127,-0.5,0.15
2744,2014-11-01,South Dakota,185050,-0.0212,-0.2612,0.5,0.0738
2795,2014-10-01,South Dakota,189050,0.0,-0.0239,-0.2727,0.0797
2846,2014-09-01,South Dakota,189050,-0.0047,-0.1577,-0.45,0.0455
2897,2014-08-01,South Dakota,189950,0.0011,-0.0555,0.5385,0.0394
2948,2014-07-01,South Dakota,189750,0.0011,-0.041,-0.35,0.114
3000,2014-06-01,South Dakota,189550,0.0218,-0.1132,-0.0909,-0.0256
3052,2014-05-01,South Dakota,185500,-0.0201,0.1192,0.8333,-0.2403
3104,2014-04-01,South Dakota,189300,0.018,0.5861,-0.1429,-0.23
3155,2014-03-01,South Dakota,185950,0.0333,0.0773,-0.4167,-0.0698
3206,2014-02-01,South Dakota,179950,0.0011,-0.0372,0.5,-0.0092
3258,2014-01-01,South Dakota,179750,-0.0011,0.3707,1.6667,0.0637
3310,2013-12-01,South Dakota,179950,0.0056,-0.3257,-0.6471,0.1148
3362,2013-11-01,South Dakota,178950,-0.0033,-0.086,0.3077,0.0828
3414,2013-10-01,South Dakota,179550,-0.0022,-0.0792,-0.2778,0.0696
3466,2013-09-01,South Dakota,179950,0.0,-0.1424,-0.1818,0.0822
3518,2013-08-01,South Dakota,179950,0.0,-0.065,0.6923,0.0657
3569,2013-07-01,South Dakota,179950,0.0,-0.0152,-0.1875,0.0873
3620,2013-06-01,South Dakota,179950,0.005,-0.0989,0.3333,0.0161
3671,2013-05-01,South Dakota,179050,0.0201,0.1742,-0.0769,-0.0534
3722,2013-04-01,South Dakota,175525,0.0328,0.0197,-0.1875,-0.1149
3773,2013-03-01,South Dakota,169950,0.0041,0.3103,-0.0588,-0.2637
3824,2013-02-01,South Dakota,169250,0.0042,0.0175,0.0625,-0.0651
3875,2013-01-01,South Dakota,168550,0.009,0.6765,0.6,0.0437
3926,2012-12-01,South Dakota,167050,-0.0054,-0.2668,0.0,0.0537
3977,2012-11-01,South Dakota,167950,-0.0105,-0.1606,-0.0909,0.0922
4028,2012-10-01,South Dakota,169725,-0.0013,-0.1265,0.1,0.0407
4079,2012-09-01,South Dakota,169950,-0.0136,-0.1746,-0.2857,0.0552
4130,2012-08-01,South Dakota,172300,0.0015,0.0217,0.1667,0.0316
4181,2012-07-01,South Dakota,172050,-0.0166,0.0118,0.2,0.0822
4232,2012-06-01,South Dakota,174950,-0.0004,0.0154,-0.375,0.0657
4283,2012-05-01,South Dakota,175025,0.0004,-0.1512,0.3333,-0.1104
