,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
42,2019-04-01,Tennessee,279500,0.0167,0.1194,0.0027,-0.1167
93,2019-03-01,Tennessee,274900,0.0257,0.094,0.1375,-0.1892
144,2019-02-01,Tennessee,268000,0.0034,0.067,0.0458,-0.075
195,2019-01-01,Tennessee,267100,0.0083,0.3618,0.3661,0.0959
246,2018-12-01,Tennessee,264900,-0.0023,-0.2673,-0.2381,0.1231
297,2018-11-01,Tennessee,265500,-0.0108,-0.0959,-0.0233,0.0656
348,2018-10-01,Tennessee,268400,-0.0022,-0.0793,-0.1639,0.0517
399,2018-09-01,Tennessee,269000,0.0094,-0.0536,0.0315,0.0545
450,2018-08-01,Tennessee,266500,-0.0126,-0.0125,-0.0718,0.0377
501,2018-07-01,Tennessee,269900,0.0,-0.0399,-0.0716,0.0392
552,2018-06-01,Tennessee,269900,0.0,0.0316,0.1281,0.0
603,2018-05-01,Tennessee,269900,0.0282,0.0359,-0.0888,-0.0377
654,2018-04-01,Tennessee,262500,0.0306,0.1054,-0.0223,-0.1167
705,2018-03-01,Tennessee,254700,0.0192,0.1274,0.0468,-0.2105
756,2018-02-01,Tennessee,249900,0.0,0.2155,0.2748,-0.0732
807,2018-01-01,Tennessee,249900,0.0036,0.0826,0.2689,0.1081
858,2017-12-01,Tennessee,249000,-0.0012,-0.2248,-0.2323,0.0882
909,2017-11-01,Tennessee,249300,-0.0024,-0.0606,0.0915,0.0149
960,2017-10-01,Tennessee,249950,0.0,-0.0172,-0.2,0.0229
1011,2017-09-01,Tennessee,249950,0.0036,-0.0352,0.0693,0.0234
1062,2017-08-01,Tennessee,249050,0.004,-0.051,-0.0514,0.0323
1113,2017-07-01,Tennessee,248050,0.0043,-0.0247,-0.0113,0.042
1164,2017-06-01,Tennessee,247000,0.0133,-0.0079,0.0536,0.0085
1215,2017-05-01,Tennessee,243750,0.0197,0.0364,-0.1805,-0.0328
1266,2017-04-01,Tennessee,239050,0.0396,0.0343,0.0963,-0.0758
1317,2017-03-01,Tennessee,229950,0.022,0.1268,-0.101,-0.2281
1368,2017-02-01,Tennessee,225000,0.023,0.1487,0.3333,-0.05
1419,2017-01-01,Tennessee,219950,0.0,0.1652,0.2683,0.0651
1470,2016-12-01,Tennessee,219950,0.0,-0.1857,-0.1119,0.0563
1521,2016-11-01,Tennessee,219950,0.0041,-0.0926,-0.0036,0.0526
1572,2016-10-01,Tennessee,219050,0.0,-0.0803,0.0146,0.034
1623,2016-09-01,Tennessee,219050,0.0069,-0.0502,-0.2514,0.028
1674,2016-08-01,Tennessee,217550,0.0116,-0.0557,-0.0161,0.0515
1725,2016-07-01,Tennessee,215050,0.0,-0.0266,0.0027,0.0226
1776,2016-06-01,Tennessee,215050,0.0118,-0.0209,0.0306,0.0076
1827,2016-05-01,Tennessee,212550,0.0443,-0.0188,-0.1111,-0.0365
1878,2016-04-01,Tennessee,203525,0.0189,0.0724,0.0686,-0.1438
1929,2016-03-01,Tennessee,199750,0.0307,0.192,0.118,-0.1753
1980,2016-02-01,Tennessee,193800,0.0203,0.1139,0.13,-0.03
2031,2016-01-01,Tennessee,189950,0.0,0.2298,0.0989,0.0695
2082,2015-12-01,Tennessee,189950,-0.0005,-0.2272,0.2523,0.0872
2133,2015-11-01,Tennessee,190050,-0.0117,-0.1122,-0.3894,0.0361
2184,2015-10-01,Tennessee,192300,0.0118,-0.0135,0.0562,0.0247
2235,2015-09-01,Tennessee,190050,-0.0058,-0.0696,-0.0398,0.0658
2286,2015-08-01,Tennessee,191150,-0.0083,-0.1799,-0.1134,0.0629
2337,2015-07-01,Tennessee,192750,0.0142,0.0076,0.1058,0.0593
2388,2015-06-01,Tennessee,190049,0.0005,-0.0263,0.0685,0.0075
2439,2015-05-01,Tennessee,189950,0.003,0.0029,0.012,-0.1519
2490,2015-04-01,Tennessee,189387,0.024,0.1959,0.1067,-0.1856
2541,2015-03-01,Tennessee,184950,0.0278,0.0802,-0.0854,-0.0628
2592,2015-02-01,Tennessee,179950,0.0,-0.0147,-0.0575,-0.0461
2643,2015-01-01,Tennessee,179950,0.0,0.4345,0.3647,0.0534
2694,2014-12-01,Tennessee,179950,0.0,-0.2245,0.0451,0.0729
2745,2014-11-01,Tennessee,179950,0.0,-0.0511,0.0167,0.0323
2796,2014-10-01,Tennessee,179950,0.0,-0.0659,-0.1459,0.0391
2847,2014-09-01,Tennessee,179950,0.005,-0.0526,-0.2151,0.0287
2898,2014-08-01,Tennessee,179050,-0.0014,-0.0506,0.0881,0.061
2949,2014-07-01,Tennessee,179300,0.002,-0.0846,-0.015,0.038
3001,2014-06-01,Tennessee,178950,0.0142,-0.0618,-0.1523,-0.0733
3053,2014-05-01,Tennessee,176450,0.017,0.0213,0.1257,-0.1763
3105,2014-04-01,Tennessee,173500,0.0209,0.1104,0.1076,-0.1229
3156,2014-03-01,Tennessee,169950,0.0027,0.2236,0.1326,-0.0042
3207,2014-02-01,Tennessee,169500,0.0027,0.0502,0.0898,0.0441
3259,2014-01-01,Tennessee,169050,-0.0029,0.3238,0.2308,0.0913
3311,2013-12-01,Tennessee,169550,-0.0024,-0.2727,-0.362,0.0833
3363,2013-11-01,Tennessee,169950,0.0,-0.0708,0.0516,0.0378
3415,2013-10-01,Tennessee,169950,0.0,-0.0397,0.0544,0.0278
3467,2013-09-01,Tennessee,169950,0.0,-0.0864,-0.1788,0.0345
3519,2013-08-01,Tennessee,169950,0.0,-0.018,0.0719,0.0419
3570,2013-07-01,Tennessee,169950,0.0,0.0057,0.057,0.0309
3621,2013-06-01,Tennessee,169950,0.0,-0.0675,-0.0814,0.0125
3672,2013-05-01,Tennessee,169950,0.0083,-0.0116,-0.1313,-0.0184
3723,2013-04-01,Tennessee,168550,0.0281,0.0683,0.0532,-0.185
3774,2013-03-01,Tennessee,163950,0.025,0.1246,0.1824,-0.115
3825,2013-02-01,Tennessee,159950,0.0,0.0949,-0.1067,-0.0259
3876,2013-01-01,Tennessee,159950,0.0,0.2635,0.2714,0.045
3927,2012-12-01,Tennessee,159950,-0.0006,-0.1422,0.098,0.0423
3978,2012-11-01,Tennessee,160050,-0.0276,-0.0501,-0.0625,0.034
4029,2012-10-01,Tennessee,164600,-0.0021,-0.046,-0.1447,0.0198
4080,2012-09-01,Tennessee,164950,0.0,-0.0708,-0.0124,0.0151
4131,2012-08-01,Tennessee,164950,-0.0006,-0.0281,0.2481,0.0365
4182,2012-07-01,Tennessee,165050,0.0,-0.04,-0.1342,0.0608
4233,2012-06-01,Tennessee,165050,0.0,0.0062,0.1203,0.0284
4284,2012-05-01,Tennessee,165050,0.0006,-0.0991,-0.05,0.0
