,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
44,2019-04-01,Utah,399900,0.0124,0.1265,0.5227,-0.1034
95,2019-03-01,Utah,395000,0.0144,0.2261,0.0954,-0.1343
146,2019-02-01,Utah,389400,0.0234,-0.0195,0.0524,-0.0822
197,2019-01-01,Utah,380500,0.0147,0.2654,0.5066,0.1231
248,2018-12-01,Utah,375000,0.0,-0.2823,-0.1364,0.2264
299,2018-11-01,Utah,375000,-0.0064,-0.1105,-0.0833,0.0392
350,2018-10-01,Utah,377400,-0.0066,-0.0645,-0.2782,0.0625
401,2018-09-01,Utah,379900,-0.0005,-0.0522,-0.257,0.0435
452,2018-08-01,Utah,380100,-0.0125,0.0401,0.3984,0.0455
503,2018-07-01,Utah,384900,-0.0003,-0.0441,-0.1523,0.0732
554,2018-06-01,Utah,385000,0.0,0.0417,-0.1065,-0.0238
605,2018-05-01,Utah,385000,0.0052,0.0844,-0.3899,-0.0667
656,2018-04-01,Utah,383000,0.0159,0.1004,0.6439,-0.1
707,2018-03-01,Utah,377000,0.0192,0.1313,-0.471,-0.2424
758,2018-02-01,Utah,369900,0.035,0.1126,0.3611,-0.0833
809,2018-01-01,Utah,357400,0.0211,0.1552,1.5435,0.0909
860,2017-12-01,Utah,350000,0.0003,-0.1927,-0.284,0.1186
911,2017-11-01,Utah,349900,0.0,-0.2045,-0.1318,0.0926
962,2017-10-01,Utah,349950,-0.0001,-0.043,0.2333,0.0485
1013,2017-09-01,Utah,349975,0.0,-0.1071,-0.0083,0.03
1064,2017-08-01,Utah,349975,-0.0143,0.0707,0.0522,0.1111
1115,2017-07-01,Utah,355050,0.0,-0.0729,-0.1606,0.0227
1166,2017-06-01,Utah,355050,-0.0096,0.086,0.0111,-0.0435
1217,2017-05-01,Utah,358500,0.0101,0.1347,-0.0719,-0.098
1268,2017-04-01,Utah,354900,-0.0003,0.1026,-0.1487,-0.1639
1319,2017-03-01,Utah,355000,0.0159,0.1987,-0.2495,-0.2422
1370,2017-02-01,Utah,349450,0.043,0.0935,1.4309,-0.0301
1421,2017-01-01,Utah,335050,0.0155,0.1031,0.3824,0.1141
1472,2016-12-01,Utah,329950,0.0123,-0.2158,-0.3366,0.1037
1523,2016-11-01,Utah,325949,0.0028,-0.1291,-0.1992,0.0547
1574,2016-10-01,Utah,325050,0.0023,-0.0626,0.1532,0.0667
1625,2016-09-01,Utah,324300,0.0103,-0.1254,-0.0133,0.0345
1676,2016-08-01,Utah,321000,-0.0056,0.0052,-0.0217,0.0741
1727,2016-07-01,Utah,322820,-0.0081,-0.0565,0.0177,0.0189
1778,2016-06-01,Utah,325450,0.0172,0.0035,7.6923,-0.0862
1829,2016-05-01,Utah,319950,0.0271,0.0511,-0.4468,-0.0794
1880,2016-04-01,Utah,311506,0.0163,0.1044,1.2381,-0.087
1931,2016-03-01,Utah,306500,0.0218,0.0933,-0.4324,-0.2291
1982,2016-02-01,Utah,299950,0.0142,0.2442,0.4231,-0.0376
2033,2016-01-01,Utah,295750,0.0146,0.3289,0.04,0.0629
2084,2015-12-01,Utah,291500,-0.0036,-0.2921,-0.1071,0.1076
2135,2015-11-01,Utah,292550,-0.0017,-0.119,-0.1515,0.0748
2186,2015-10-01,Utah,293050,0.0103,-0.0643,0.1,0.0576
2237,2015-09-01,Utah,290050,0.0003,-0.1291,-0.4,0.0221
2288,2015-08-01,Utah,289950,0.0022,-0.15,0.3514,0.0303
2339,2015-07-01,Utah,289300,0.0009,-0.0223,0.0571,0.0154
2390,2015-06-01,Utah,289050,0.0144,0.0097,0.0294,0.0484
2441,2015-05-01,Utah,284950,0.0179,-0.0148,-0.8661,-0.0534
2492,2015-04-01,Utah,279950,0.0178,0.0391,-0.0379,-0.0076
2543,2015-03-01,Utah,275050,0.0341,0.0982,0.1478,-0.2747
2594,2015-02-01,Utah,265987,-0.0039,0.1098,0.1795,-0.0471
2645,2015-01-01,Utah,267031,0.0058,0.369,0.1471,0.0552
2696,2014-12-01,Utah,265500,0.0021,-0.2169,-0.0341,0.1173
2747,2014-11-01,Utah,264950,0.0192,-0.1633,-0.1244,0.0253
2798,2014-10-01,Utah,259950,0.0,-0.0276,0.2036,0.026
2849,2014-09-01,Utah,259950,0.0,-0.0919,-0.1566,0.0548
2900,2014-08-01,Utah,259950,0.0,0.0059,-0.005,0.0735
2951,2014-07-01,Utah,259950,0.0192,-0.055,-0.0613,0.0149
3003,2014-06-01,Utah,255050,0.0222,0.03,0.0192,-0.0629
3055,2014-05-01,Utah,249500,0.0182,0.054,0.8246,-0.0467
3107,2014-04-01,Utah,245050,0.0208,0.0136,0.3902,-0.0625
3158,2014-03-01,Utah,240050,0.0004,0.3342,-0.3692,-0.1579
3209,2014-02-01,Utah,239950,0.0038,-0.1181,-0.4091,-0.0155
3261,2014-01-01,Utah,239050,0.0,0.5819,0.1702,0.0722
3313,2013-12-01,Utah,239050,-0.0038,-0.3046,-0.1296,0.1043
3365,2013-11-01,Utah,239950,0.0,-0.103,0.0335,0.094
3417,2013-10-01,Utah,239950,0.0,-0.0767,-0.05,0.0205
3469,2013-09-01,Utah,239950,0.0038,-0.1061,-0.3038,0.0657
3521,2013-08-01,Utah,239050,0.0044,0.041,0.2441,0.0379
3572,2013-07-01,Utah,238000,0.013,-0.0955,-0.1181,0.0154
3623,2013-06-01,Utah,234950,0.0149,0.0436,0.0105,-0.0076
3674,2013-05-01,Utah,231500,0.0107,0.0966,-0.2083,-0.0643
3725,2013-04-01,Utah,229050,0.0178,0.061,0.1842,-0.1411
3776,2013-03-01,Utah,225050,0.0137,0.2556,-0.1085,-0.2087
3827,2013-02-01,Utah,222000,0.0093,0.0594,0.2583,-0.0374
3878,2013-01-01,Utah,219950,0.0,0.25,0.1886,0.049
3929,2012-12-01,Utah,219950,-0.0179,-0.1763,-0.1264,0.0251
3980,2012-11-01,Utah,223950,-0.0044,-0.109,0.0,0.0365
4031,2012-10-01,Utah,224950,0.0,-0.0822,0.0966,0.0213
4082,2012-09-01,Utah,224950,0.0065,-0.087,-0.0916,0.0444
4133,2012-08-01,Utah,223500,0.0157,0.0665,0.1391,0.0345
4184,2012-07-01,Utah,220050,0.0,-0.0852,-0.1901,0.0296
4235,2012-06-01,Utah,220050,0.0025,-0.0401,0.1137,0.0
4286,2012-05-01,Utah,219500,0.0209,-0.1116,-0.1584,-0.0398
