,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
45,2019-04-01,Virginia,325000,0.0367,0.1273,-0.0191,-0.1875
96,2019-03-01,Virginia,313500,0.0492,0.3041,0.3358,-0.2644
147,2019-02-01,Virginia,298800,0.0132,0.1585,-0.1384,-0.0645
198,2019-01-01,Virginia,294900,-0.0003,0.4941,0.5588,0.069
249,2018-12-01,Virginia,295000,-0.0167,-0.3391,-0.3014,0.1757
300,2018-11-01,Virginia,300000,-0.0323,-0.1817,-0.0489,0.0571
351,2018-10-01,Virginia,310000,-0.0137,-0.0492,-0.1023,0.0294
402,2018-09-01,Virginia,314300,-0.0022,-0.0766,-0.1276,0.0462
453,2018-08-01,Virginia,315000,-0.0153,-0.0561,0.1073,0.0833
504,2018-07-01,Virginia,319900,-0.0154,-0.0505,-0.149,0.1321
555,2018-06-01,Virginia,324900,-0.0003,-0.1065,0.1751,0.06
606,2018-05-01,Virginia,325000,0.0156,0.0068,-0.2063,-0.0196
657,2018-04-01,Virginia,320000,0.0509,0.1085,0.1122,-0.1053
708,2018-03-01,Virginia,304500,0.0322,0.2513,0.197,-0.3049
759,2018-02-01,Virginia,295000,0.0208,0.2844,-0.1253,-0.1183
810,2018-01-01,Virginia,289000,-0.0034,0.3373,0.2767,0.0568
861,2017-12-01,Virginia,290000,-0.0476,-0.2759,0.0381,0.1139
912,2017-11-01,Virginia,304500,-0.0016,-0.1697,-0.1836,0.0822
963,2017-10-01,Virginia,305050,0.0003,-0.0711,-0.0354,0.021
1014,2017-09-01,Virginia,304950,0.0163,-0.0156,-0.1283,0.0672
1065,2017-08-01,Virginia,300050,0.0003,-0.0841,0.1079,-0.0147
1116,2017-07-01,Virginia,299950,-0.0001,-0.0401,0.1243,0.1057
1167,2017-06-01,Virginia,299975,0.0001,-0.0859,-0.2009,0.0603
1218,2017-05-01,Virginia,299950,0.0341,-0.0031,0.1371,-0.0169
1269,2017-04-01,Virginia,290050,0.0268,0.0895,-0.1058,-0.1061
