,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
46,2019-04-01,Vermont,283400,0.0194,0.1192,0.5,0.0345
97,2019-03-01,Vermont,278000,0.0036,0.1254,0.6667,0.0235
148,2019-02-01,Vermont,277000,0.0073,0.2163,-0.6,0.0366
199,2019-01-01,Vermont,275000,0.0,0.41,2.75,0.1007
250,2018-12-01,Vermont,275000,0.0,-0.2424,-0.6364,0.1203
301,2018-11-01,Vermont,275000,0.0,-0.2258,-0.0833,0.0992
352,2018-10-01,Vermont,275000,0.0,-0.2806,-0.1429,0.1
403,2018-09-01,Vermont,275000,0.0148,-0.0937,0.1667,0.134
454,2018-08-01,Vermont,271000,0.0037,-0.1225,-0.3333,0.043
505,2018-07-01,Vermont,270000,0.0189,-0.1078,-0.1818,-0.0971
556,2018-06-01,Vermont,265000,0.0196,-0.0565,0.1,-0.2016
607,2018-05-01,Vermont,259900,0.0035,0.4568,0.4286,-0.2753
658,2018-04-01,Vermont,259000,0.0,0.2526,0.0,-0.043
709,2018-03-01,Vermont,259000,0.0,0.0808,0.0,0.0054
760,2018-02-01,Vermont,259000,0.0,0.2914,0.2727,0.0393
811,2018-01-01,Vermont,259000,0.0,0.2411,-0.0833,0.092
862,2017-12-01,Vermont,259000,0.0,-0.2302,-0.0769,0.1164
913,2017-11-01,Vermont,259000,0.0058,-0.2971,0.0833,0.0815
964,2017-10-01,Vermont,257550,0.0031,-0.1229,-0.0769,0.1066
1015,2017-09-01,Vermont,256750,0.027,-0.1078,-0.2778,0.1244
1066,2017-08-01,Vermont,250000,-0.0002,-0.0752,0.0,0.014
1117,2017-07-01,Vermont,250050,0.0004,-0.1104,0.125,-0.1046
1168,2017-06-01,Vermont,249950,0.0,-0.124,-0.1111,-0.2413
1219,2017-05-01,Vermont,249950,-0.0161,0.6096,0.5,-0.2391
1270,2017-04-01,Vermont,254050,0.016,0.1662,-0.2941,-0.0096
1321,2017-03-01,Vermont,250050,0.0004,0.1301,-0.2273,0.0121
1372,2017-02-01,Vermont,249950,0.0036,0.2183,0.5714,0.0644
1423,2017-01-01,Vermont,249050,-0.001,0.1736,0.5556,0.0868
1474,2016-12-01,Vermont,249300,-0.0026,-0.0692,-0.3077,0.1019
1525,2016-11-01,Vermont,249950,0.0036,-0.3011,0.3,0.0872
1576,2016-10-01,Vermont,249050,0.0289,-0.2201,-0.4444,0.1161
1627,2016-09-01,Vermont,242050,-0.0049,-0.0021,0.0588,0.0595
1678,2016-08-01,Vermont,243250,-0.0073,-0.2265,-0.15,0.0244
1729,2016-07-01,Vermont,245050,0.0124,-0.0608,0.1111,-0.0575
1780,2016-06-01,Vermont,242050,0.0088,-0.0464,0.0,-0.1844
1831,2016-05-01,Vermont,239950,0.0038,0.1256,0.0588,-0.1579
1882,2016-04-01,Vermont,239050,0.0104,0.1903,0.2143,-0.044
1933,2016-03-01,Vermont,236600,0.0066,0.1894,-0.3636,0.014
1984,2016-02-01,Vermont,235050,0.0086,0.0665,0.1,0.0538
2035,2016-01-01,Vermont,233050,-0.0085,0.4818,0.5385,0.0814
2086,2015-12-01,Vermont,235050,-0.0167,-0.1491,0.0833,0.1097
2137,2015-11-01,Vermont,239050,0.0,-0.199,-0.4545,0.1314
2188,2015-10-01,Vermont,239050,0.0,-0.159,-0.1852,0.1093
2239,2015-09-01,Vermont,239050,0.0,-0.2086,0.9286,0.133
2290,2015-08-01,Vermont,239050,0.0042,-0.3144,-0.3,0.0456
2341,2015-07-01,Vermont,238049,0.0021,-0.0785,-0.3103,-0.1203
2392,2015-06-01,Vermont,237550,0.0107,-0.0124,0.3182,-0.315
2443,2015-05-01,Vermont,235025,-0.0001,0.4556,0.0476,-0.1551
2494,2015-04-01,Vermont,235050,0.0004,0.1585,1.625,-0.025
2545,2015-03-01,Vermont,234950,0.006,0.2643,-0.6,0.0526
2596,2015-02-01,Vermont,233550,0.0119,-0.0278,0.25,0.0668
2647,2015-01-01,Vermont,230800,-0.0127,0.3899,0.0,0.0809
2698,2014-12-01,Vermont,233775,-0.0054,-0.2533,-0.1111,0.109
2749,2014-11-01,Vermont,235050,0.0,-0.2228,-0.1429,0.1264
2800,2014-10-01,Vermont,235050,0.0,-0.0302,-0.087,0.0906
2851,2014-09-01,Vermont,235050,-0.0084,-0.2103,0.0455,0.114
2902,2014-08-01,Vermont,237050,-0.0015,-0.0574,-0.2414,0.0044
2953,2014-07-01,Vermont,237400,0.0057,-0.1029,0.1154,-0.0847
3005,2014-06-01,Vermont,236050,0.0211,-0.0499,0.0833,-0.3168
3057,2014-05-01,Vermont,231175,0.0053,0.4455,-0.1111,-0.1843
3109,2014-04-01,Vermont,229950,0.0,0.2237,0.5,0.0349
3160,2014-03-01,Vermont,229950,0.0,0.1392,0.0,0.0591
3211,2014-02-01,Vermont,229950,0.0001,0.1646,0.2,0.0741
3263,2014-01-01,Vermont,229925,-0.0001,0.2771,0.875,0.1317
3315,2013-12-01,Vermont,229950,-0.0002,-0.3319,-0.4667,0.106
3367,2013-11-01,Vermont,230000,-0.0002,-0.1165,-0.0625,0.0786
3419,2013-10-01,Vermont,230050,-0.0158,-0.1556,0.0,0.0938
3471,2013-09-01,Vermont,233750,-0.0051,-0.1463,-0.2727,0.0894
3523,2013-08-01,Vermont,234950,0.0,-0.0599,-0.2143,0.0129
3574,2013-07-01,Vermont,234950,0.0082,-0.0829,0.2727,-0.0645
3625,2013-06-01,Vermont,233050,0.0135,-0.0686,0.375,-0.2322
3676,2013-05-01,Vermont,229950,0.0,0.2503,-0.2727,-0.1739
3727,2013-04-01,Vermont,229950,0.0039,0.2209,0.1,-0.0225
3778,2013-03-01,Vermont,229050,0.0,0.2918,0.25,0.0152
3829,2013-02-01,Vermont,229050,0.0,-0.0169,0.2308,0.0382
3880,2013-01-01,Vermont,229050,0.0,0.324,0.625,0.072
3931,2012-12-01,Vermont,229050,-0.003,-0.0653,-0.619,0.1028
3982,2012-11-01,Vermont,229750,0.0031,-0.2534,0.1667,0.0772
4033,2012-10-01,Vermont,229050,0.0,-0.1094,0.125,0.0876
4084,2012-09-01,Vermont,229050,-0.003,-0.0972,0.1429,0.062
4135,2012-08-01,Vermont,229750,-0.0221,-0.0963,-0.2222,0.0078
4186,2012-07-01,Vermont,234950,0.0,-0.1273,0.5,-0.089
4237,2012-06-01,Vermont,234950,0.0136,0.0253,-0.4,-0.1994
4288,2012-05-01,Vermont,231800,0.0076,0.1794,0.0526,-0.129
