,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
48,2019-04-01,Wisconsin,239900,0.0209,0.404,0.2273,-0.2432
99,2019-03-01,Wisconsin,235000,0.024,0.3891,0.0476,-0.26
150,2019-02-01,Wisconsin,229500,0.0338,-0.0466,0.4483,0.0
201,2019-01-01,Wisconsin,222000,0.0095,0.3883,0.16,0.1236
252,2018-12-01,Wisconsin,219900,-0.017,-0.3027,-0.0566,0.1867
303,2018-11-01,Wisconsin,223700,-0.0053,-0.2039,-0.2933,0.0714
354,2018-10-01,Wisconsin,224900,0.0,-0.1496,-0.0854,0.129
405,2018-09-01,Wisconsin,224900,0.0,-0.1284,-0.1183,0.0508
456,2018-08-01,Wisconsin,224900,-0.0004,-0.0663,-0.0106,0.0926
507,2018-07-01,Wisconsin,225000,-0.0205,-0.0343,0.0,0.0588
558,2018-06-01,Wisconsin,229700,0.0209,-0.0622,-0.248,-0.0377
609,2018-05-01,Wisconsin,225000,0.0232,0.2022,0.3298,-0.0364
660,2018-04-01,Wisconsin,219900,0.0233,0.0865,-0.1132,-0.2857
711,2018-03-01,Wisconsin,214900,0.0382,0.368,0.7966,-0.2804
762,2018-02-01,Wisconsin,207000,0.0355,0.2805,-0.0635,-0.0183
813,2018-01-01,Wisconsin,199900,0.0,0.3486,-0.1,0.09
864,2017-12-01,Wisconsin,199900,0.0,-0.3001,-0.0789,0.1494
915,2017-11-01,Wisconsin,199900,-0.0005,-0.2569,-0.1364,0.0875
966,2017-10-01,Wisconsin,200050,-0.0265,-0.1644,-0.0538,0.0526
1017,2017-09-01,Wisconsin,205500,-0.0062,-0.0796,-0.1308,0.0857
1068,2017-08-01,Wisconsin,206775,0.0084,-0.0556,0.1889,0.0769
1119,2017-07-01,Wisconsin,205050,0.0148,-0.101,-0.1667,0.1111
1170,2017-06-01,Wisconsin,202050,0.0105,-0.0781,0.1739,0.0086
1221,2017-05-01,Wisconsin,199950,0.0251,0.0531,-0.2203,-0.0645
1272,2017-04-01,Wisconsin,195050,0.0268,0.1681,0.1683,-0.3261
1323,2017-03-01,Wisconsin,189950,0.0298,0.3361,0.2317,-0.2137
1374,2017-02-01,Wisconsin,184450,0.025,0.3145,0.64,-0.0085
1425,2017-01-01,Wisconsin,179950,0.0,0.4172,-0.1803,0.0876
1476,2016-12-01,Wisconsin,179950,-0.0236,-0.3327,-0.1159,0.1015
1527,2016-11-01,Wisconsin,184300,-0.0041,-0.2088,-0.2159,0.0591
1578,2016-10-01,Wisconsin,185050,-0.0078,-0.1144,-0.1698,0.0508
1629,2016-09-01,Wisconsin,186500,-0.0096,-0.104,0.1042,0.0994
1680,2016-08-01,Wisconsin,188300,-0.0013,-0.1065,-0.1273,0.1027
1731,2016-07-01,Wisconsin,188550,0.0,-0.0749,0.0784,0.0977
1782,2016-06-01,Wisconsin,188550,0.0195,-0.0828,-0.15,-0.0075
1833,2016-05-01,Wisconsin,184950,0.0278,0.0424,0.0909,-0.141
1884,2016-04-01,Wisconsin,179950,0.0254,0.1328,0.25,-0.2844
1935,2016-03-01,Wisconsin,175500,0.0201,0.337,-0.0112,-0.1138
1986,2016-02-01,Wisconsin,172050,0.0124,0.2041,0.2361,-0.0081
2037,2016-01-01,Wisconsin,169950,0.0,0.4342,0.3091,0.0377
2088,2015-12-01,Wisconsin,169950,-0.0286,-0.2589,-0.2949,0.1168
2139,2015-11-01,Wisconsin,174950,-0.0003,-0.2094,-0.1789,0.0542
2190,2015-10-01,Wisconsin,175000,0.0,-0.0615,-0.0206,0.0628
2241,2015-09-01,Wisconsin,175000,0.0003,-0.1723,-0.1182,0.0977
2292,2015-08-01,Wisconsin,174950,-0.0006,-0.2888,-0.12,0.1154
2343,2015-07-01,Wisconsin,175050,-0.0009,0.1163,0.0504,0.0759
2394,2015-06-01,Wisconsin,175200,0.0014,-0.1132,-0.0703,0.0069
2445,2015-05-01,Wisconsin,174950,0.0264,0.0382,0.2308,-0.1111
2496,2015-04-01,Wisconsin,170450,0.0029,0.1037,-0.0545,-0.3306
2547,2015-03-01,Wisconsin,169950,0.0331,0.3332,0.1,-0.097
2598,2015-02-01,Wisconsin,164500,0.028,0.2021,0.2987,0.019
2649,2015-01-01,Wisconsin,160025,-0.0271,0.4722,0.0694,0.0437
2700,2014-12-01,Wisconsin,164475,-0.0242,-0.2188,-0.1628,0.1053
2751,2014-11-01,Wisconsin,168550,-0.0082,-0.2265,-0.1042,0.0755
2802,2014-10-01,Wisconsin,169950,0.0,-0.1266,-0.0495,0.0928
