,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
49,2019-04-01,West Virginia,175000,0.03,0.1787,-0.0833,-0.2521
100,2019-03-01,West Virginia,169900,0.0235,0.2011,0.3333,-0.0165
151,2019-02-01,West Virginia,166000,0.0061,0.0236,0.3333,0.0168
202,2019-01-01,West Virginia,165000,0.0,0.3515,0.6875,0.0721
253,2018-12-01,West Virginia,165000,-0.012,-0.2849,-0.3333,0.0882
304,2018-11-01,West Virginia,167000,-0.0118,-0.0462,-0.4545,0.0625
355,2018-10-01,West Virginia,169000,0.0,-0.154,0.375,0.0323
406,2018-09-01,West Virginia,169000,0.0,-0.0853,-0.1111,0.0449
457,2018-08-01,West Virginia,169000,-0.0053,-0.0382,0.2857,0.0349
508,2018-07-01,West Virginia,169900,0.0,-0.0332,-0.3,0.0361
559,2018-06-01,West Virginia,169900,0.0018,-0.0037,0.0811,-0.046
610,2018-05-01,West Virginia,169600,0.0279,0.0751,-0.2292,-0.0842
661,2018-04-01,West Virginia,165000,0.0248,0.1232,0.2308,-0.2149
712,2018-03-01,West Virginia,161000,0.0126,0.1137,0.1471,-0.0163
763,2018-02-01,West Virginia,159000,0.0225,0.1776,1.125,0.0
814,2018-01-01,West Virginia,155500,-0.022,0.1566,-0.3846,0.0885
865,2017-12-01,West Virginia,159000,-0.0056,-0.1739,-0.1613,0.0865
916,2017-11-01,West Virginia,159900,0.0,-0.1975,-0.1842,0.0505
967,2017-10-01,West Virginia,159950,-0.0006,-0.0078,0.1176,0.0421
1018,2017-09-01,West Virginia,160050,0.0001,-0.1095,0.3077,0.027
1069,2017-08-01,West Virginia,160035,-0.0001,0.0222,-0.2778,0.0278
1120,2017-07-01,West Virginia,160050,0.0,-0.0606,1.0,0.0345
1171,2017-06-01,West Virginia,160050,0.0003,-0.0417,-0.4545,-0.0057
1222,2017-05-01,West Virginia,160000,0.006,0.0998,-0.2143,-0.0885
1273,2017-04-01,West Virginia,159050,0.0258,0.047,0.6154,-0.232
1324,2017-03-01,West Virginia,155050,0.0073,0.1657,0.0833,-0.0421
1375,2017-02-01,West Virginia,153918,0.021,0.3199,-0.0769,0.0195
1426,2017-01-01,West Virginia,150750,-0.0225,0.1848,-0.2353,0.0802
1477,2016-12-01,West Virginia,154225,-0.0145,-0.2637,0.2593,0.0872
1528,2016-11-01,West Virginia,156500,-0.016,-0.1805,-0.25,0.0583
1579,2016-10-01,West Virginia,159050,-0.0028,-0.0011,0.1613,0.0249
1630,2016-09-01,West Virginia,159500,-0.0031,-0.1121,-0.0882,0.0524
1681,2016-08-01,West Virginia,160000,-0.03,0.0757,0.2143,0.038
1732,2016-07-01,West Virginia,164950,0.0073,-0.1197,-0.0968,0.0279
1783,2016-06-01,West Virginia,163750,0.0043,0.0117,0.0333,-0.0056
1834,2016-05-01,West Virginia,163049,0.0207,-0.0562,-0.0909,-0.1892
1885,2016-04-01,West Virginia,159750,0.0124,0.1654,-0.2326,-0.1462
1936,2016-03-01,West Virginia,157800,0.028,0.3338,1.5294,-0.0226
1987,2016-02-01,West Virginia,153500,0.0095,0.1952,-0.3929,0.064
2038,2016-01-01,West Virginia,152050,-0.0174,0.0936,0.1667,0.0823
2089,2015-12-01,West Virginia,154750,-0.0175,-0.2521,-0.0769,0.0794
2140,2015-11-01,West Virginia,157500,-0.0097,-0.1387,-0.2973,0.0388
2191,2015-10-01,West Virginia,159050,0.0079,-0.088,0.3214,0.0198
2242,2015-09-01,West Virginia,157800,0.0177,-0.24,0.5556,0.0978
2293,2015-08-01,West Virginia,155050,0.0,-0.0008,-0.3077,0.0888
2344,2015-07-01,West Virginia,155050,-0.0032,-0.0244,-0.2973,0.0497
2395,2015-06-01,West Virginia,155550,0.0032,-0.0152,0.1563,-0.0852
2446,2015-05-01,West Virginia,155050,0.0006,0.0298,-0.1795,-0.1889
2497,2015-04-01,West Virginia,154950,0.0333,0.2322,0.3929,-0.2138
2548,2015-03-01,West Virginia,149950,0.006,0.2094,0.0,0.0494
2599,2015-02-01,West Virginia,149050,0.0,-0.0699,0.0769,0.0194
2650,2015-01-01,West Virginia,149050,-0.0042,0.4288,0.2381,0.0445
2701,2014-12-01,West Virginia,149675,-0.0018,-0.2305,-0.3438,0.0833
2752,2014-11-01,West Virginia,149950,0.0,-0.1217,0.3333,0.0556
2803,2014-10-01,West Virginia,149950,0.0,-0.0163,-0.3333,0.0588
2854,2014-09-01,West Virginia,149950,-0.0006,-0.1491,0.2,0.0851
2905,2014-08-01,West Virginia,150040,-0.019,0.0198,-0.0625,0.0621
2956,2014-07-01,West Virginia,152950,0.0126,-0.0545,0.1429,0.0291
3008,2014-06-01,West Virginia,151050,0.0073,-0.058,-0.2821,-0.2217
3060,2014-05-01,West Virginia,149950,0.003,0.0504,0.56,-0.2079
3112,2014-04-01,West Virginia,149500,0.0314,0.1275,0.1364,-0.07
