,Month,State,Median Listing Price,Median Listing Price M/M,New Listing Count M/M,Price Increase Count M/M,Days on Market M/M
50,2019-04-01,Wyoming,251500,0.0064,0.1584,0.25,-0.1832
101,2019-03-01,Wyoming,249900,0.0016,0.2393,-0.4,0.0077
152,2019-02-01,Wyoming,249500,0.0,0.0316,0.4286,0.0484
203,2019-01-01,Wyoming,249500,-0.002,0.5192,0.75,0.0508
254,2018-12-01,Wyoming,250000,-0.0196,-0.4206,-0.2727,0.1569
305,2018-11-01,Wyoming,255000,0.0,-0.0602,-0.3529,0.0737
356,2018-10-01,Wyoming,255000,-0.0154,-0.1198,0.7,0.0556
407,2018-09-01,Wyoming,259000,-0.0038,-0.1161,-0.2308,0.0976
458,2018-08-01,Wyoming,260000,-0.0185,-0.0594,0.0833,0.0789
509,2018-07-01,Wyoming,264900,0.0188,-0.0457,-0.5385,0.0133
560,2018-06-01,Wyoming,260000,0.0,-0.0617,0.0833,-0.0132
611,2018-05-01,Wyoming,260000,0.0196,0.1522,0.2,-0.1264
662,2018-04-01,Wyoming,255000,0.0159,0.014,-0.1304,-0.2869
713,2018-03-01,Wyoming,251000,0.008,0.3378,0.6429,-0.0687
764,2018-02-01,Wyoming,249000,0.0093,0.039,0.2727,0.0077
815,2018-01-01,Wyoming,246700,0.0102,0.4246,0.375,0.0484
866,2017-12-01,Wyoming,244200,0.007,-0.1923,0.1429,0.1273
917,2017-11-01,Wyoming,242500,-0.0257,-0.1429,-0.5,0.1
968,2017-10-01,Wyoming,248950,-0.0004,-0.251,0.0,0.0929
1019,2017-09-01,Wyoming,249050,0.005,-0.1164,-0.0667,0.1296
1070,2017-08-01,Wyoming,247800,-0.005,-0.0248,-0.0625,0.08
1121,2017-07-01,Wyoming,249050,0.0163,-0.162,-0.1579,0.0274
1172,2017-06-01,Wyoming,245050,0.0,0.1254,0.7273,-0.0331
1223,2017-05-01,Wyoming,245050,0.0213,0.1199,-0.2143,-0.2053
1274,2017-04-01,Wyoming,239950,0.0008,0.2361,-0.0667,-0.2549
1325,2017-03-01,Wyoming,239750,0.02,0.1644,-0.0625,-0.0556
1376,2017-02-01,Wyoming,235050,0.0,0.2045,0.3333,0.0
1427,2017-01-01,Wyoming,235050,-0.0057,0.1365,-0.2941,0.0588
1478,2016-12-01,Wyoming,236400,-0.0121,-0.0814,0.5455,0.1087
1529,2016-11-01,Wyoming,239300,-0.0231,-0.2358,-0.5,0.0748
1580,2016-10-01,Wyoming,244950,-0.0118,-0.0831,0.1579,0.0863
1631,2016-09-01,Wyoming,247875,0.0057,-0.1155,0.0,0.1006
1682,2016-08-01,Wyoming,246475,-0.01,-0.0916,0.1875,0.0783
1733,2016-07-01,Wyoming,248975,0.016,-0.0626,-0.2727,0.0993
1784,2016-06-01,Wyoming,245050,0.0002,0.0164,-0.0833,0.0067
1835,2016-05-01,Wyoming,245000,0.0206,-0.0231,0.7143,-0.1228
1886,2016-04-01,Wyoming,240050,-0.0204,0.1513,-0.2632,-0.2629
1937,2016-03-01,Wyoming,245050,0.0109,0.3932,0.2667,-0.072
1988,2016-02-01,Wyoming,242400,0.0098,0.0263,0.5,0.0163
2039,2016-01-01,Wyoming,240050,-0.02,0.5688,0.4286,0.0558
2090,2015-12-01,Wyoming,244950,-0.0163,-0.3057,-0.65,0.1311
2141,2015-11-01,Wyoming,249000,-0.0012,-0.199,0.4286,0.0899
2192,2015-10-01,Wyoming,249300,-0.0028,-0.0508,-0.125,0.0925
2243,2015-09-01,Wyoming,250000,-0.0081,-0.1287,-0.1111,0.0949
2294,2015-08-01,Wyoming,252050,-0.0006,-0.25,-0.0526,0.0604
