Location,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,3528,3605.4,3505.5,3347.9,3179.4,2982.9,2947.4,2957.3
Alaska,2836.8,2637.8,2743.6,2877,2758.9,2820.4,3354.7,3542.1
Arizona,3536.5,3554.7,3536.8,3365.4,3171.5,2914.9,3000.8,3039
Arkansas,3553.5,3757.9,3708.3,3598.7,3352.1,3270.5,3282.6,3078.6
California,2629.9,2584.2,2761.8,2651.2,2441.7,2628.4,2550,2496.7
Colorado,2674.5,2595.3,2685.3,2655,2535.5,2643.6,2751.2,2701.6
Connecticut,2188.8,2152.5,2148.5,1980.2,1928.5,1830.3,1808.3,1769.9
Delaware,3453.9,3431.5,3348.4,3134.4,2982.5,2705.8,2767.9,2440.6
District Of Columbia,4761.4,4790.5,4855.7,4790.7,5175.1,4690.5,4731.2,4283.9
Florida,3551.4,3517.4,3276.2,3097.8,2932.7,2816.9,2681,2512.4
Georgia,3639.2,3640.6,3423.6,3399.9,3358.8,3098.3,2979.6,2860.2
Hawaii,3566.5,3668.7,3349.6,3183.6,3123.5,3796.2,3212.7,3240.4
Idaho,2000.9,2075.8,1994.6,1874.3,1862,1749.2,1747.4,1635.4
Illinois,2718.1,2678.7,2585.5,2296.6,2093.2,2001.4,2051,2011.4
Indiana,3070.2,3161.5,3028.5,2853.1,2651,2599.2,2539.3,2416.9
Iowa,2253.6,2351.2,2288,2198.2,2093.6,2072,2104.5,2125.3
Kansas,3116.6,3088.6,3156.1,2959.6,2757.2,2754.3,2830.1,2800.9
Kentucky,2557.3,2725.9,2575.5,2374,2264.2,2204.6,2202.7,2129.1
Louisiana,3644.8,3683.9,3534.7,3578.9,3297.2,3366.8,3377.8,3467.2
Maine,2478.6,2546.3,2514,2292,1986.6,1832.4,1646.9,1507.1
Maryland,2995.5,2857.2,2758.1,2659.1,2516.8,2377.8,2319,2222.3
Massachusetts,2356.8,2252.6,2156.8,2046.2,1857.6,1688.4,1559.7,1437
Michigan,2748.8,2544.6,2522.1,2325,2044,1927.8,1915.2,1800
Minnesota,2569,2546.8,2568.1,2419.6,2297.5,2225,2130.7,2191.5
Mississippi,2983,3016.3,2810.5,2725.3,2902.6,2869.6,2764.1,2733.9
Missouri,3350,3313.1,3316.7,3137.4,2909.6,2860.1,2801.8,2833.9
Montana,2564.1,2394.1,2595.9,2581.1,2494.5,2642.8,2710.8,2591.6
Nebraska,2667.9,2762.6,2759.7,2632.3,2524,2249.3,2264.5,2274
Nevada,2773.5,2576.3,2814.1,2836.4,2627.4,2674.9,2583,2612.4
New Hampshire,2219.8,2485.6,2426.9,2299.2,1965.2,1763.2,1522.3,1381.8
New Jersey,2080.1,2147.4,2046.5,1881.1,1733.4,1630.6,1537.2,1555.5
New Mexico,3425.9,3538.3,3604.2,3783.5,3542.3,3711.5,3928.7,3941.7
New York,1957.8,1906.7,1917,1820.7,1717.1,1606.4,1538.7,1514.2
North Carolina,3443.5,3500.2,3370.8,3103.2,2872.1,2749.5,2734.8,2545.3
North Dakota,1780.2,1947.3,2038.5,2121.4,2142.7,2340.8,2309.7,2197.8
Ohio,3266.1,3297.6,3206.4,2924.4,2781,2617.3,2589.3,2419.1
Oklahoma,3443,3372.4,3432.3,3280.9,3027.2,2918.9,3009.5,2876.4
Oregon,3039.3,3150.5,3241.6,3184.3,3100.9,2975.5,2978.9,2986.5
Pennsylvania,2173.1,2224.1,2166.7,2059.1,1930.5,1813.2,1739.2,1649.4
Rhode Island,2561.4,2662.7,2574.4,2443.7,2178.6,1898.2,1788.1,1751.6
South Carolina,,,,,,,,
South Dakota,1859.9,1857.6,2077.3,1924.8,1879.3,1951.1,1997.2,1876.2
Tennessee,3662.7,3607.9,3376.1,3196.5,3068.4,2972.6,2875.4,2940.6
Texas,3766.8,3483.2,3363.1,3253.2,3015.4,2840.8,2759,2562.6
Utah,3182,2987.7,3022.3,3043.1,2902.8,3002.6,2974.8,2780.2
Vermont,2262.3,2407.6,2500.7,2214.5,1551,1447.7,1556.9,1436.7
Virginia,2335.5,2256.8,2179.6,2074.4,1944.4,1885.9,1869.3,1792.9
Washington,3699.1,3579.1,3689.1,3715.9,3698.9,3484.1,3502.2,3173.6
West Virginia,2227.2,2103,2396.8,2154.1,2070.7,2101.7,2038.8,1852
Wisconsin,2508.6,2450.4,2459.2,2188.7,2092.8,1979.4,1938.6,1808.3
Wyoming,2456.6,2269.8,2293,2196.2,1964.2,1901.1,1959.3,1830.4
