Location,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,383.7,419.8,450.3,431,427.7,473,532.4,524.2
Alaska,635.3,610.1,604.1,638.7,635.5,730.8,804.6,829
Arizona,413.6,414.2,428.6,415.6,392.7,410.2,471,508
Arkansas,503.5,482.3,469.6,463.2,480.2,529.5,554.3,554.9
California,439.6,411.2,423.5,402.6,396.4,428,444.8,449.3
Colorado,323.7,314.4,307.4,305.4,307.8,318.4,344.1,368.1
Connecticut,282,275.7,283.5,262.2,238.5,221.4,227.7,228
Delaware,623.3,566.4,550.5,500.7,488.1,504.2,510,453.4
District Of Columbia,1326.8,1200.8,1241.8,1296.4,1242.6,1273.6,1203.5,1004.9
Florida,541.3,514.6,487,469.3,458.9,462.5,429.4,408
Georgia,402.3,374.6,380,375.4,385.8,381.3,390.4,357.2
Hawaii,264.3,251.4,243,254.4,236.7,293.4,241.6,250.6
Idaho,220.5,202.2,209.8,215.2,210.4,217.4,230.7,226.4
Illinois,444.9,424,416.2,403.1,370.9,387.5,436.7,438.8
Indiana,323.3,331.8,344.8,359.6,365.3,383.7,399.7,399
Iowa,268.5,257.3,265.6,273,272.8,276.1,292.9,293.4
Kansas,370.8,355.7,356.7,342.8,352.6,395,401.2,413
Kentucky,243.9,239.6,224.9,210.9,215.2,223.5,235.6,225.8
Louisiana,555.3,554.6,496.3,521.2,515.9,539.8,565,557
Maine,122.1,123.3,122.4,132.5,127.6,129.8,124,121
Maryland,546.3,493.5,477.3,475.4,448,470.1,481.7,500.2
Massachusetts,468.9,427.3,407,406.4,395.1,389.9,380.7,358
Michigan,493,442.8,455,452.2,429.1,420.6,460.9,450
Minnesota,235.7,230.5,230.9,234.4,229.1,242.9,241.9,238.3
Mississippi,269.3,269,260.1,277.5,278.3,274,281.7,285.7
Missouri,457.7,447.5,451.3,433.7,443.3,498.5,520.8,530.3
Montana,275.8,276.1,278.8,288.1,328.5,353.4,374.1,377.1
Nebraska,278.3,253.6,258.8,264.8,276.2,272.8,296.8,305.9
Nevada,663,568.1,608.6,605,635.7,697.6,677.9,555.9
New Hampshire,167.4,217.3,215,223.2,197.7,202.4,199.8,198.7
New Jersey,307.5,307.9,290.1,288.9,260.9,256,243.5,228.8
New Mexico,588,572.7,559.6,622.5,597.7,657.2,699.4,783.5
New York,394.4,397.2,406.3,393.8,384.7,380.4,374.6,356.7
North Carolina,362.7,346.3,353.5,341,329.1,346.1,371.8,363.7
North Dakota,229.5,248.1,245.7,273.4,270.4,257.5,252.1,281.3
Ohio,314.7,305.2,301.5,291.4,285.7,296.2,307.7,297.5
Oklahoma,481.4,457.5,474.4,446.1,413.8,428.6,455.3,456.2
Oregon,251.4,249.3,247.1,242.8,259.2,265.4,268.8,281.8
Pennsylvania,366.5,362.4,355.5,335.1,315,315.4,315.9,313.3
Rhode Island,257.4,246.1,253,257.3,219.9,243,239.1,232.2
South Carolina,602.2,596.9,560.5,508.5,497.8,499.5,506.8,506.2
South Dakota,268.9,255.6,323.8,323.2,328.3,384.9,422,433.6
Tennessee,612,607.8,638.5,585.8,610.7,618.9,638.5,651.5
Texas,448.4,408.6,408.6,410.3,406.7,412.7,433.8,438.9
Utah,213.5,197.1,208,228.9,219.5,238.7,243.3,238.9
Vermont,131,147.6,142.3,123.6,102.6,119.3,136.5,165.8
Virginia,214.2,197.6,191.5,197.8,198.4,199.6,219.8,208.2
Washington,313.5,295.3,298.1,290,285.8,286.4,303.5,304.5
West Virginia,301.2,296.3,320.1,305.2,316.4,347.5,362.7,350.7
Wisconsin,248.9,249.9,283.9,280.7,291.1,304.3,306.9,319.9
Wyoming,197.9,219.4,201.3,207.8,195.4,221.6,244.7,237.5
